manudur,atvinnugrein,fjoldi,heildarfjoldi,hlutur
2001-10,Ýmis þjónustustarfsemi,75,2208,0.033967
2001-10,"Opinber þjónusta, fræðsla, heilbrigðis- og félagsþjónusta",357,2208,0.161685
2001-10,"Listir, söfn, tómstundir, félög, persónuleg þjónusta o.fl.",106,2208,0.048007
2001-10,Annað,95,2208,0.043025
2001-11,Landbúnaður og skógrækt,33,2712,0.012168
2001-11,"Fiskveiðar, -eldi og -vinnsla",262,2712,0.096608
2001-11,Iðnaður,393,2712,0.144912
2001-11,Sorp og veitur,21,2712,0.007743
2001-11,Byggingastarfsemi og mannvirkjagerð,177,2712,0.065265
2001-11,Verslun og vöruflutningar,564,2712,0.207965
2001-11,Farþegaflutningar með flugi,23,2712,0.008481
2001-11,Gistiþjónusta,64,2712,0.023599
2001-11,Veitingaþjónusta,105,2712,0.038717
2001-11,Ferðaþjónusta ýmis,110,2712,0.040560
2001-11,Upplýsingar og fjarskipti,117,2712,0.043142
2001-11,Fjármála- og vátryggingastarfsemi,57,2712,0.021018
2001-11,Fasteignaviðskipti,8,2712,0.002950
2001-11,"Sérfræðileg, vísindaleg og tæknileg starfsemi",56,2712,0.020649
2001-11,Ýmis þjónustustarfsemi,98,2712,0.036136
2001-11,"Opinber þjónusta, fræðsla, heilbrigðis- og félagsþjónusta",381,2712,0.140487
2001-11,"Listir, söfn, tómstundir, félög, persónuleg þjónusta o.fl.",118,2712,0.043510
2001-11,Annað,125,2712,0.046091
2001-12,Landbúnaður og skógrækt,51,3119,0.016351
2001-12,"Fiskveiðar, -eldi og -vinnsla",398,3119,0.127605
2001-12,Iðnaður,458,3119,0.146842
2001-12,Sorp og veitur,18,3119,0.005771
2001-12,Byggingastarfsemi og mannvirkjagerð,246,3119,0.078871
2001-12,Verslun og vöruflutningar,612,3119,0.196217
2001-12,Farþegaflutningar með flugi,24,3119,0.007695
2001-12,Gistiþjónusta,76,3119,0.024367
2001-12,Veitingaþjónusta,117,3119,0.037512
2001-12,Ferðaþjónusta ýmis,122,3119,0.039115
2001-12,Upplýsingar og fjarskipti,124,3119,0.039756
2001-12,Fjármála- og vátryggingastarfsemi,54,3119,0.017313
2001-12,Fasteignaviðskipti,8,3119,0.002565
2001-12,"Sérfræðileg, vísindaleg og tæknileg starfsemi",54,3119,0.017313
2001-12,Ýmis þjónustustarfsemi,99,3119,0.031741
2001-12,"Opinber þjónusta, fræðsla, heilbrigðis- og félagsþjónusta",381,3119,0.122155
2001-12,"Listir, söfn, tómstundir, félög, persónuleg þjónusta o.fl.",125,3119,0.040077
2001-12,Annað,152,3119,0.048734
2002-01,Landbúnaður og skógrækt,59,3827,0.015417
2002-01,"Fiskveiðar, -eldi og -vinnsla",399,3827,0.104259
2002-01,Iðnaður,549,3827,0.143454
2002-01,Sorp og veitur,24,3827,0.006271
2002-01,Byggingastarfsemi og mannvirkjagerð,353,3827,0.092239
2002-01,Verslun og vöruflutningar,785,3827,0.205122
2002-01,Farþegaflutningar með flugi,41,3827,0.010713
2002-01,Gistiþjónusta,89,3827,0.023256
2002-01,Veitingaþjónusta,178,3827,0.046512
2002-01,Ferðaþjónusta ýmis,128,3827,0.033447
2002-01,Upplýsingar og fjarskipti,145,3827,0.037889
2002-01,Fjármála- og vátryggingastarfsemi,63,3827,0.016462
2002-01,Fasteignaviðskipti,8,3827,0.002090
2002-01,"Sérfræðileg, vísindaleg og tæknileg starfsemi",60,3827,0.015678
2002-01,Ýmis þjónustustarfsemi,139,3827,0.036321
2002-01,"Opinber þjónusta, fræðsla, heilbrigðis- og félagsþjónusta",472,3827,0.123334
2002-01,"Listir, söfn, tómstundir, félög, persónuleg þjónusta o.fl.",144,3827,0.037627
2002-01,Annað,191,3827,0.049909
2002-02,Landbúnaður og skógrækt,59,3949,0.014940
2002-02,"Fiskveiðar, -eldi og -vinnsla",355,3949,0.089896
2002-02,Iðnaður,586,3949,0.148392
2002-02,Sorp og veitur,36,3949,0.009116
2002-02,Byggingastarfsemi og mannvirkjagerð,371,3949,0.093948
2002-02,Verslun og vöruflutningar,864,3949,0.218790
2002-02,Farþegaflutningar með flugi,49,3949,0.012408
2002-02,Gistiþjónusta,89,3949,0.022537
2002-02,Veitingaþjónusta,182,3949,0.046088
2002-02,Ferðaþjónusta ýmis,102,3949,0.025829
2002-02,Upplýsingar og fjarskipti,158,3949,0.040010
2002-02,Fjármála- og vátryggingastarfsemi,53,3949,0.013421
2002-02,Fasteignaviðskipti,10,3949,0.002532
2002-02,"Sérfræðileg, vísindaleg og tæknileg starfsemi",70,3949,0.017726
2002-02,Ýmis þjónustustarfsemi,143,3949,0.036212
2002-02,"Opinber þjónusta, fræðsla, heilbrigðis- og félagsþjónusta",487,3949,0.123322
2002-02,"Listir, söfn, tómstundir, félög, persónuleg þjónusta o.fl.",149,3949,0.037731
2002-02,Annað,186,3949,0.047101
2002-03,Landbúnaður og skógrækt,57,4046,0.014088
2002-03,"Fiskveiðar, -eldi og -vinnsla",347,4046,0.085764
2002-03,Iðnaður,596,4046,0.147306
2002-03,Sorp og veitur,34,4046,0.008403
2002-03,Byggingastarfsemi og mannvirkjagerð,384,4046,0.094909
2002-03,Verslun og vöruflutningar,922,4046,0.227879
2002-03,Farþegaflutningar með flugi,34,4046,0.008403
2002-03,Gistiþjónusta,75,4046,0.018537
2002-03,Veitingaþjónusta,210,4046,0.051903
2002-03,Ferðaþjónusta ýmis,91,4046,0.022491
2002-03,Upplýsingar og fjarskipti,163,4046,0.040287
2002-03,Fjármála- og vátryggingastarfsemi,52,4046,0.012852
2002-03,Fasteignaviðskipti,13,4046,0.003213
2002-03,"Sérfræðileg, vísindaleg og tæknileg starfsemi",79,4046,0.019525
2002-03,Ýmis þjónustustarfsemi,149,4046,0.036826
2002-03,"Opinber þjónusta, fræðsla, heilbrigðis- og félagsþjónusta",514,4046,0.127039
2002-03,"Listir, söfn, tómstundir, félög, persónuleg þjónusta o.fl.",164,4046,0.040534
2002-03,Annað,162,4046,0.040040
2002-04,Landbúnaður og skógrækt,42,3972,0.010574
2002-04,"Fiskveiðar, -eldi og -vinnsla",399,3972,0.100453
2002-04,Iðnaður,572,3972,0.144008
2002-04,Sorp og veitur,27,3972,0.006798
2002-04,Byggingastarfsemi og mannvirkjagerð,346,3972,0.087110
2002-04,Verslun og vöruflutningar,892,3972,0.224572
2002-04,Farþegaflutningar með flugi,30,3972,0.007553
2002-04,Gistiþjónusta,76,3972,0.019134
2002-04,Veitingaþjónusta,210,3972,0.052870
2002-04,Ferðaþjónusta ýmis,82,3972,0.020645
2002-04,Upplýsingar og fjarskipti,176,3972,0.044310
2002-04,Fjármála- og vátryggingastarfsemi,58,3972,0.014602
2002-04,Fasteignaviðskipti,10,3972,0.002518
2002-04,"Sérfræðileg, vísindaleg og tæknileg starfsemi",76,3972,0.019134
2002-04,Ýmis þjónustustarfsemi,144,3972,0.036254
2002-04,"Opinber þjónusta, fræðsla, heilbrigðis- og félagsþjónusta",522,3972,0.131420
2002-04,"Listir, söfn, tómstundir, félög, persónuleg þjónusta o.fl.",162,3972,0.040785
2002-04,Annað,148,3972,0.037261
2002-05,Landbúnaður og skógrækt,49,3970,0.012343
2002-05,"Fiskveiðar, -eldi og -vinnsla",403,3970,0.101511
2002-05,Iðnaður,533,3970,0.134257
2002-05,Sorp og veitur,33,3970,0.008312
2002-05,Byggingastarfsemi og mannvirkjagerð,298,3970,0.075063
2002-05,Verslun og vöruflutningar,910,3970,0.229219
2002-05,Farþegaflutningar með flugi,28,3970,0.007053
2002-05,Gistiþjónusta,66,3970,0.016625
2002-05,Veitingaþjónusta,202,3970,0.050882
2002-05,Ferðaþjónusta ýmis,73,3970,0.018388
2002-05,Upplýsingar og fjarskipti,170,3970,0.042821
2002-05,Fjármála- og vátryggingastarfsemi,60,3970,0.015113
2002-05,Fasteignaviðskipti,10,3970,0.002519
2002-05,"Sérfræðileg, vísindaleg og tæknileg starfsemi",83,3970,0.020907
2002-05,Ýmis þjónustustarfsemi,152,3970,0.038287
2002-05,"Opinber þjónusta, fræðsla, heilbrigðis- og félagsþjónusta",569,3970,0.143325
2002-05,"Listir, söfn, tómstundir, félög, persónuleg þjónusta o.fl.",176,3970,0.044332
2002-05,Annað,155,3970,0.039043
2002-06,Landbúnaður og skógrækt,33,3900,0.008462
2002-06,"Fiskveiðar, -eldi og -vinnsla",404,3900,0.103590
2002-06,Iðnaður,507,3900,0.130000
2002-06,Sorp og veitur,24,3900,0.006154
2002-06,Byggingastarfsemi og mannvirkjagerð,259,3900,0.066410
2002-06,Verslun og vöruflutningar,878,3900,0.225128
2002-06,Farþegaflutningar með flugi,18,3900,0.004615
2002-06,Gistiþjónusta,47,3900,0.012051
2002-06,Veitingaþjónusta,196,3900,0.050256
2002-06,Ferðaþjónusta ýmis,64,3900,0.016410
2002-06,Upplýsingar og fjarskipti,191,3900,0.048974
2002-06,Fjármála- og vátryggingastarfsemi,70,3900,0.017949
2002-06,Fasteignaviðskipti,10,3900,0.002564
2002-06,"Sérfræðileg, vísindaleg og tæknileg starfsemi",82,3900,0.021026
2002-06,Ýmis þjónustustarfsemi,144,3900,0.036923
2002-06,"Opinber þjónusta, fræðsla, heilbrigðis- og félagsþjónusta",655,3900,0.167949
2002-06,"Listir, söfn, tómstundir, félög, persónuleg þjónusta o.fl.",175,3900,0.044872
2002-06,Annað,143,3900,0.036667
2002-07,Landbúnaður og skógrækt,27,3903,0.006918
