Ársfjórðungur,Landsvæði,Kyn,Aldur,Eining,value
2014Q1,Total,Females,25-54,Unemployed (Estimated number),3200
2014Q1,Total,Females,55-74,"Unemployment rate, % (Ratio of labour force)",2.4
2014Q1,Total,Females,55-74,Unemployed (Estimated number),400
2014Q1,Capital region,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",7.5
2014Q1,Capital region,Males and females,16-74,Unemployed (Estimated number),8500
2014Q1,Capital region,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",13.5
2014Q1,Capital region,Males and females,16-24,Unemployed (Estimated number),2800
2014Q1,Capital region,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",7.4
2014Q1,Capital region,Males and females,25-54,Unemployed (Estimated number),5100
2014Q1,Capital region,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",2.6
2014Q1,Capital region,Males and females,55-74,Unemployed (Estimated number),600
2014Q1,Capital region,Males,16-74,"Unemployment rate, % (Ratio of labour force)",8.7
2014Q1,Capital region,Males,16-74,Unemployed (Estimated number),5200
2014Q1,Capital region,Males,16-24,"Unemployment rate, % (Ratio of labour force)",21.1
2014Q1,Capital region,Males,16-24,Unemployed (Estimated number),2100
2014Q1,Capital region,Males,25-54,"Unemployment rate, % (Ratio of labour force)",7.3
2014Q1,Capital region,Males,25-54,Unemployed (Estimated number),2700
2014Q1,Capital region,Males,55-74,"Unemployment rate, % (Ratio of labour force)",3.2
2014Q1,Capital region,Males,55-74,Unemployed (Estimated number),400
2014Q1,Capital region,Females,16-74,"Unemployment rate, % (Ratio of labour force)",6.1
2014Q1,Capital region,Females,16-74,Unemployed (Estimated number),3300
2014Q1,Capital region,Females,16-24,"Unemployment rate, % (Ratio of labour force)",6.5
2014Q1,Capital region,Females,16-24,Unemployed (Estimated number),700
2014Q1,Capital region,Females,25-54,"Unemployment rate, % (Ratio of labour force)",7.4
2014Q1,Capital region,Females,25-54,Unemployed (Estimated number),2400
2014Q1,Capital region,Females,55-74,"Unemployment rate, % (Ratio of labour force)",1.8
2014Q1,Capital region,Females,55-74,Unemployed (Estimated number),200
2014Q1,Outside Capital region,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",4.7
2014Q1,Outside Capital region,Males and females,16-74,Unemployed (Estimated number),3000
2014Q1,Outside Capital region,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",10.9
2014Q1,Outside Capital region,Males and females,16-24,Unemployed (Estimated number),1000
2014Q1,Outside Capital region,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",3.7
2014Q1,Outside Capital region,Males and females,25-54,Unemployed (Estimated number),1500
2014Q1,Outside Capital region,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",4
2014Q1,Outside Capital region,Males and females,55-74,Unemployed (Estimated number),600
2014Q1,Outside Capital region,Males,16-74,"Unemployment rate, % (Ratio of labour force)",4.8
2014Q1,Outside Capital region,Males,16-74,Unemployed (Estimated number),1700
2014Q1,Outside Capital region,Males,16-24,"Unemployment rate, % (Ratio of labour force)",12.7
2014Q1,Outside Capital region,Males,16-24,Unemployed (Estimated number),600
2014Q1,Outside Capital region,Males,25-54,"Unemployment rate, % (Ratio of labour force)",3.3
2014Q1,Outside Capital region,Males,25-54,Unemployed (Estimated number),700
2014Q1,Outside Capital region,Males,55-74,"Unemployment rate, % (Ratio of labour force)",4.3
2014Q1,Outside Capital region,Males,55-74,Unemployed (Estimated number),400
2014Q1,Outside Capital region,Females,16-74,"Unemployment rate, % (Ratio of labour force)",4.7
2014Q1,Outside Capital region,Females,16-74,Unemployed (Estimated number),1400
2014Q1,Outside Capital region,Females,16-24,"Unemployment rate, % (Ratio of labour force)",8.9
2014Q1,Outside Capital region,Females,16-24,Unemployed (Estimated number),400
2014Q1,Outside Capital region,Females,25-54,"Unemployment rate, % (Ratio of labour force)",4.1
2014Q1,Outside Capital region,Females,25-54,Unemployed (Estimated number),800
2014Q1,Outside Capital region,Females,55-74,"Unemployment rate, % (Ratio of labour force)",3.5
2014Q1,Outside Capital region,Females,55-74,Unemployed (Estimated number),200
2014Q2,Total,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",6.4
2014Q2,Total,Males and females,16-74,Unemployed (Estimated number),12000
2014Q2,Total,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",13
2014Q2,Total,Males and females,16-24,Unemployed (Estimated number),4500
2014Q2,Total,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",5.3
2014Q2,Total,Males and females,25-54,Unemployed (Estimated number),6000
2014Q2,Total,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",3.7
2014Q2,Total,Males and females,55-74,Unemployed (Estimated number),1500
2014Q2,Total,Males,16-74,"Unemployment rate, % (Ratio of labour force)",6.4
2014Q2,Total,Males,16-74,Unemployed (Estimated number),6300
2014Q2,Total,Males,16-24,"Unemployment rate, % (Ratio of labour force)",16
2014Q2,Total,Males,16-24,Unemployed (Estimated number),2800
2014Q2,Total,Males,25-54,"Unemployment rate, % (Ratio of labour force)",4.4
2014Q2,Total,Males,25-54,Unemployed (Estimated number),2600
2014Q2,Total,Males,55-74,"Unemployment rate, % (Ratio of labour force)",4
2014Q2,Total,Males,55-74,Unemployed (Estimated number),900
2014Q2,Total,Females,16-74,"Unemployment rate, % (Ratio of labour force)",6.3
2014Q2,Total,Females,16-74,Unemployed (Estimated number),5600
2014Q2,Total,Females,16-24,"Unemployment rate, % (Ratio of labour force)",9.9
2014Q2,Total,Females,16-24,Unemployed (Estimated number),1600
2014Q2,Total,Females,25-54,"Unemployment rate, % (Ratio of labour force)",6.2
2014Q2,Total,Females,25-54,Unemployed (Estimated number),3400
2014Q2,Total,Females,55-74,"Unemployment rate, % (Ratio of labour force)",3.3
2014Q2,Total,Females,55-74,Unemployed (Estimated number),600
2014Q2,Capital region,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",6.9
2014Q2,Capital region,Males and females,16-74,Unemployed (Estimated number),8400
2014Q2,Capital region,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",13.2
2014Q2,Capital region,Males and females,16-24,Unemployed (Estimated number),3000
2014Q2,Capital region,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",6.2
2014Q2,Capital region,Males and females,25-54,Unemployed (Estimated number),4500
2014Q2,Capital region,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",3.5
2014Q2,Capital region,Males and females,55-74,Unemployed (Estimated number),900
2014Q2,Capital region,Males,16-74,"Unemployment rate, % (Ratio of labour force)",6.6
2014Q2,Capital region,Males,16-74,Unemployed (Estimated number),4100
2014Q2,Capital region,Males,16-24,"Unemployment rate, % (Ratio of labour force)",17.1
2014Q2,Capital region,Males,16-24,Unemployed (Estimated number),1900
2014Q2,Capital region,Males,25-54,"Unemployment rate, % (Ratio of labour force)",4.5
2014Q2,Capital region,Males,25-54,Unemployed (Estimated number),1700
2014Q2,Capital region,Males,55-74,"Unemployment rate, % (Ratio of labour force)",3.5
2014Q2,Capital region,Males,55-74,Unemployed (Estimated number),500
2014Q2,Capital region,Females,16-74,"Unemployment rate, % (Ratio of labour force)",7.3
2014Q2,Capital region,Females,16-74,Unemployed (Estimated number),4300
2014Q2,Capital region,Females,16-24,"Unemployment rate, % (Ratio of labour force)",9.3
2014Q2,Capital region,Females,16-24,Unemployed (Estimated number),1000
2014Q2,Capital region,Females,25-54,"Unemployment rate, % (Ratio of labour force)",7.9
2014Q2,Capital region,Females,25-54,Unemployed (Estimated number),2800
2014Q2,Capital region,Females,55-74,"Unemployment rate, % (Ratio of labour force)",3.5
2014Q2,Capital region,Females,55-74,Unemployed (Estimated number),400
2014Q2,Outside Capital region,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",5.3
2014Q2,Outside Capital region,Males and females,16-74,Unemployed (Estimated number),3600
2014Q2,Outside Capital region,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",12.7
2014Q2,Outside Capital region,Males and females,16-24,Unemployed (Estimated number),1500
2014Q2,Outside Capital region,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",3.6
2014Q2,Outside Capital region,Males and females,25-54,Unemployed (Estimated number),1500
2014Q2,Outside Capital region,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",4.1
2014Q2,Outside Capital region,Males and females,55-74,Unemployed (Estimated number),600
2014Q2,Outside Capital region,Males,16-74,"Unemployment rate, % (Ratio of labour force)",6.1
2014Q2,Outside Capital region,Males,16-74,Unemployed (Estimated number),2200
2014Q2,Outside Capital region,Males,16-24,"Unemployment rate, % (Ratio of labour force)",14
2014Q2,Outside Capital region,Males,16-24,Unemployed (Estimated number),900
2014Q2,Outside Capital region,Males,25-54,"Unemployment rate, % (Ratio of labour force)",4.2
2014Q2,Outside Capital region,Males,25-54,Unemployed (Estimated number),900
2014Q2,Outside Capital region,Males,55-74,"Unemployment rate, % (Ratio of labour force)",4.9
2014Q2,Outside Capital region,Males,55-74,Unemployed (Estimated number),400
2014Q2,Outside Capital region,Females,16-74,"Unemployment rate, % (Ratio of labour force)",4.4
2014Q2,Outside Capital region,Females,16-74,Unemployed (Estimated number),1300
2014Q2,Outside Capital region,Females,16-24,"Unemployment rate, % (Ratio of labour force)",11.2
2014Q2,Outside Capital region,Females,16-24,Unemployed (Estimated number),600
2014Q2,Outside Capital region,Females,25-54,"Unemployment rate, % (Ratio of labour force)",3
2014Q2,Outside Capital region,Females,25-54,Unemployed (Estimated number),600
2014Q2,Outside Capital region,Females,55-74,"Unemployment rate, % (Ratio of labour force)",2.9
2014Q2,Outside Capital region,Females,55-74,Unemployed (Estimated number),200
2014Q3,Total,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",4.6
2014Q3,Total,Males and females,16-74,Unemployed (Estimated number),8600
2014Q3,Total,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",8
2014Q3,Total,Males and females,16-24,Unemployed (Estimated number),2600
2014Q3,Total,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",4.4
2014Q3,Total,Males and females,25-54,Unemployed (Estimated number),4900
2014Q3,Total,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",2.6
2014Q3,Total,Males and females,55-74,Unemployed (Estimated number),1000
2014Q3,Total,Males,16-74,"Unemployment rate, % (Ratio of labour force)",4
2014Q3,Total,Males,16-74,Unemployed (Estimated number),3900
2014Q3,Total,Males,16-24,"Unemployment rate, % (Ratio of labour force)",9.4
2014Q3,Total,Males,16-24,Unemployed (Estimated number),1600
2014Q3,Total,Males,25-54,"Unemployment rate, % (Ratio of labour force)",3.2
2014Q3,Total,Males,25-54,Unemployed (Estimated number),1900
2014Q3,Total,Males,55-74,"Unemployment rate, % (Ratio of labour force)",2
2014Q3,Total,Males,55-74,Unemployed (Estimated number),400
2014Q3,Total,Females,16-74,"Unemployment rate, % (Ratio of labour force)",5.3
2014Q3,Total,Females,16-74,Unemployed (Estimated number),4700
2014Q3,Total,Females,16-24,"Unemployment rate, % (Ratio of labour force)",6.5
2014Q3,Total,Females,16-24,Unemployed (Estimated number),1000
2014Q3,Total,Females,25-54,"Unemployment rate, % (Ratio of labour force)",5.6
2014Q3,Total,Females,25-54,Unemployed (Estimated number),3100
2014Q3,Total,Females,55-74,"Unemployment rate, % (Ratio of labour force)",3.3
2014Q3,Total,Females,55-74,Unemployed (Estimated number),600
2014Q3,Capital region,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",5
2014Q3,Capital region,Males and females,16-74,Unemployed (Estimated number),6000
2014Q3,Capital region,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",7.9
2014Q3,Capital region,Males and females,16-24,Unemployed (Estimated number),1700
2014Q3,Capital region,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",4.8
2014Q3,Capital region,Males and females,25-54,Unemployed (Estimated number),3500
2014Q3,Capital region,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",3
2014Q3,Capital region,Males and females,55-74,Unemployed (Estimated number),800
2014Q3,Capital region,Males,16-74,"Unemployment rate, % (Ratio of labour force)",4.2
2014Q3,Capital region,Males,16-74,Unemployed (Estimated number),2600
2014Q3,Capital region,Males,16-24,"Unemployment rate, % (Ratio of labour force)",10.6
2014Q3,Capital region,Males,16-24,Unemployed (Estimated number),1200
2014Q3,Capital region,Males,25-54,"Unemployment rate, % (Ratio of labour force)",2.9
2014Q3,Capital region,Males,25-54,Unemployed (Estimated number),1100
2014Q3,Capital region,Males,55-74,"Unemployment rate, % (Ratio of labour force)",2.1
2014Q3,Capital region,Males,55-74,Unemployed (Estimated number),300
2014Q3,Capital region,Females,16-74,"Unemployment rate, % (Ratio of labour force)",5.9
2014Q3,Capital region,Females,16-74,Unemployed (Estimated number),3500
2014Q3,Capital region,Females,16-24,"Unemployment rate, % (Ratio of labour force)",5.1
2014Q3,Capital region,Females,16-24,Unemployed (Estimated number),500
2014Q3,Capital region,Females,25-54,"Unemployment rate, % (Ratio of labour force)",6.8
2014Q3,Capital region,Females,25-54,Unemployed (Estimated number),2400
2014Q3,Capital region,Females,55-74,"Unemployment rate, % (Ratio of labour force)",3.9
2014Q3,Capital region,Females,55-74,Unemployed (Estimated number),500
2014Q3,Outside Capital region,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",3.9
2014Q3,Outside Capital region,Males and females,16-74,Unemployed (Estimated number),2600
2014Q3,Outside Capital region,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",8
2014Q3,Outside Capital region,Males and females,16-24,Unemployed (Estimated number),900
2014Q3,Outside Capital region,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",3.6
2014Q3,Outside Capital region,Males and females,25-54,Unemployed (Estimated number),1400
2014Q3,Outside Capital region,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",1.9
2014Q3,Outside Capital region,Males and females,55-74,Unemployed (Estimated number),300
2014Q3,Outside Capital region,Males,16-74,"Unemployment rate, % (Ratio of labour force)",3.7
2014Q3,Outside Capital region,Males,16-74,Unemployed (Estimated number),1300
2014Q3,Outside Capital region,Males,16-24,"Unemployment rate, % (Ratio of labour force)",6.8
2014Q3,Outside Capital region,Males,16-24,Unemployed (Estimated number),400
2014Q3,Outside Capital region,Males,25-54,"Unemployment rate, % (Ratio of labour force)",3.7
2014Q3,Outside Capital region,Males,25-54,Unemployed (Estimated number),800
2014Q3,Outside Capital region,Males,55-74,"Unemployment rate, % (Ratio of labour force)",1.6
2014Q3,Outside Capital region,Males,55-74,Unemployed (Estimated number),100
2014Q3,Outside Capital region,Females,16-74,"Unemployment rate, % (Ratio of labour force)",4.2
2014Q3,Outside Capital region,Females,16-74,Unemployed (Estimated number),1300
2014Q3,Outside Capital region,Females,16-24,"Unemployment rate, % (Ratio of labour force)",9.2
2014Q3,Outside Capital region,Females,16-24,Unemployed (Estimated number),500
2014Q3,Outside Capital region,Females,25-54,"Unemployment rate, % (Ratio of labour force)",3.4
2014Q3,Outside Capital region,Females,25-54,Unemployed (Estimated number),600
2014Q3,Outside Capital region,Females,55-74,"Unemployment rate, % (Ratio of labour force)",2.2
2014Q3,Outside Capital region,Females,55-74,Unemployed (Estimated number),100
2014Q4,Total,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",4.5
2014Q4,Total,Males and females,16-74,Unemployed (Estimated number),8300
2014Q4,Total,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",9.5
2014Q4,Total,Males and females,16-24,Unemployed (Estimated number),2700
2014Q4,Total,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",4.1
2014Q4,Total,Males and females,25-54,Unemployed (Estimated number),4700
2014Q4,Total,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",2.2
2014Q4,Total,Males and females,55-74,Unemployed (Estimated number),900
2014Q4,Total,Males,16-74,"Unemployment rate, % (Ratio of labour force)",4.7
2014Q4,Total,Males,16-74,Unemployed (Estimated number),4500
2014Q4,Total,Males,16-24,"Unemployment rate, % (Ratio of labour force)",14
2014Q4,Total,Males,16-24,Unemployed (Estimated number),2100
2014Q4,Total,Males,25-54,"Unemployment rate, % (Ratio of labour force)",3.4
2014Q4,Total,Males,25-54,Unemployed (Estimated number),2000
2014Q4,Total,Males,55-74,"Unemployment rate, % (Ratio of labour force)",1.9
2014Q4,Total,Males,55-74,Unemployed (Estimated number),400
2014Q4,Total,Females,16-74,"Unemployment rate, % (Ratio of labour force)",4.3
2014Q4,Total,Females,16-74,Unemployed (Estimated number),3800
2014Q4,Total,Females,16-24,"Unemployment rate, % (Ratio of labour force)",4.4
2014Q4,Total,Females,16-24,Unemployed (Estimated number),600
2014Q4,Total,Females,25-54,"Unemployment rate, % (Ratio of labour force)",4.9
2014Q4,Total,Females,25-54,Unemployed (Estimated number),2700
2014Q4,Total,Females,55-74,"Unemployment rate, % (Ratio of labour force)",2.6
2014Q4,Total,Females,55-74,Unemployed (Estimated number),500
2014Q4,Capital region,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",5.1
2014Q4,Capital region,Males and females,16-74,Unemployed (Estimated number),6200
2014Q4,Capital region,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",9.8
2014Q4,Capital region,Males and females,16-24,Unemployed (Estimated number),2000
2014Q4,Capital region,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",4.7
2014Q4,Capital region,Males and females,25-54,Unemployed (Estimated number),3500
2014Q4,Capital region,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",2.6
2014Q4,Capital region,Males and females,55-74,Unemployed (Estimated number),600
2014Q4,Capital region,Males,16-74,"Unemployment rate, % (Ratio of labour force)",5.1
2014Q4,Capital region,Males,16-74,Unemployed (Estimated number),3100
2014Q4,Capital region,Males,16-24,"Unemployment rate, % (Ratio of labour force)",16.1
2014Q4,Capital region,Males,16-24,Unemployed (Estimated number),1700
2014Q4,Capital region,Males,25-54,"Unemployment rate, % (Ratio of labour force)",3
2014Q4,Capital region,Males,25-54,Unemployed (Estimated number),1100
2014Q4,Capital region,Males,55-74,"Unemployment rate, % (Ratio of labour force)",2.1
2014Q4,Capital region,Males,55-74,Unemployed (Estimated number),300
2014Q4,Capital region,Females,16-74,"Unemployment rate, % (Ratio of labour force)",5.1
2014Q4,Capital region,Females,16-74,Unemployed (Estimated number),3000
2014Q4,Capital region,Females,16-24,"Unemployment rate, % (Ratio of labour force)",2.8
2014Q4,Capital region,Females,16-24,Unemployed (Estimated number),300
2014Q4,Capital region,Females,25-54,"Unemployment rate, % (Ratio of labour force)",6.5
2014Q4,Capital region,Females,25-54,Unemployed (Estimated number),2400
2014Q4,Capital region,Females,55-74,"Unemployment rate, % (Ratio of labour force)",3.1
2014Q4,Capital region,Females,55-74,Unemployed (Estimated number),400
2014Q4,Outside Capital region,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",3.4
2014Q4,Outside Capital region,Males and females,16-74,Unemployed (Estimated number),2100
2014Q4,Outside Capital region,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",8.7
2014Q4,Outside Capital region,Males and females,16-24,Unemployed (Estimated number),700
2014Q4,Outside Capital region,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",3.1
2014Q4,Outside Capital region,Males and females,25-54,Unemployed (Estimated number),1100
2014Q4,Outside Capital region,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",1.7
2014Q4,Outside Capital region,Males and females,55-74,Unemployed (Estimated number),300
2014Q4,Outside Capital region,Males,16-74,"Unemployment rate, % (Ratio of labour force)",4.1
2014Q4,Outside Capital region,Males,16-74,Unemployed (Estimated number),1400
2014Q4,Outside Capital region,Males,16-24,"Unemployment rate, % (Ratio of labour force)",9
2014Q4,Outside Capital region,Males,16-24,Unemployed (Estimated number),400
2014Q4,Outside Capital region,Males,25-54,"Unemployment rate, % (Ratio of labour force)",4.3
2014Q4,Outside Capital region,Males,25-54,Unemployed (Estimated number),800
2014Q4,Outside Capital region,Males,55-74,"Unemployment rate, % (Ratio of labour force)",1.6
2014Q4,Outside Capital region,Males,55-74,Unemployed (Estimated number),200
2014Q4,Outside Capital region,Females,16-74,"Unemployment rate, % (Ratio of labour force)",2.6
2014Q4,Outside Capital region,Females,16-74,Unemployed (Estimated number),800
2014Q4,Outside Capital region,Females,16-24,"Unemployment rate, % (Ratio of labour force)",8.4
2014Q4,Outside Capital region,Females,16-24,Unemployed (Estimated number),300
2014Q4,Outside Capital region,Females,25-54,"Unemployment rate, % (Ratio of labour force)",1.7
2014Q4,Outside Capital region,Females,25-54,Unemployed (Estimated number),300
2014Q4,Outside Capital region,Females,55-74,"Unemployment rate, % (Ratio of labour force)",1.8
2014Q4,Outside Capital region,Females,55-74,Unemployed (Estimated number),100
2015Q1,Total,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",5.2
2015Q1,Total,Males and females,16-74,Unemployed (Estimated number),9500
2015Q1,Total,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",11.3
2015Q1,Total,Males and females,16-24,Unemployed (Estimated number),3400
2015Q1,Total,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",4.1
2015Q1,Total,Males and females,25-54,Unemployed (Estimated number),4600
2015Q1,Total,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",3.5
2015Q1,Total,Males and females,55-74,Unemployed (Estimated number),1400
2015Q1,Total,Males,16-74,"Unemployment rate, % (Ratio of labour force)",5.2
2015Q1,Total,Males,16-74,Unemployed (Estimated number),5000
2015Q1,Total,Males,16-24,"Unemployment rate, % (Ratio of labour force)",12.1
2015Q1,Total,Males,16-24,Unemployed (Estimated number),1800
2015Q1,Total,Males,25-54,"Unemployment rate, % (Ratio of labour force)",4.1
2015Q1,Total,Males,25-54,Unemployed (Estimated number),2400
2015Q1,Total,Males,55-74,"Unemployment rate, % (Ratio of labour force)",3.5
2015Q1,Total,Males,55-74,Unemployed (Estimated number),800
2015Q1,Total,Females,16-74,"Unemployment rate, % (Ratio of labour force)",5.1
2015Q1,Total,Females,16-74,Unemployed (Estimated number),4500
2015Q1,Total,Females,16-24,"Unemployment rate, % (Ratio of labour force)",10.6
2015Q1,Total,Females,16-24,Unemployed (Estimated number),1600
2015Q1,Total,Females,25-54,"Unemployment rate, % (Ratio of labour force)",4.2
2015Q1,Total,Females,25-54,Unemployed (Estimated number),2200
2015Q1,Total,Females,55-74,"Unemployment rate, % (Ratio of labour force)",3.5
2015Q1,Total,Females,55-74,Unemployed (Estimated number),700
2015Q1,Capital region,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",5.9
2015Q1,Capital region,Males and females,16-74,Unemployed (Estimated number),7100
2015Q1,Capital region,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",12.5
2015Q1,Capital region,Males and females,16-24,Unemployed (Estimated number),2700
2015Q1,Capital region,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",4.7
2015Q1,Capital region,Males and females,25-54,Unemployed (Estimated number),3500
2015Q1,Capital region,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",3.7
2015Q1,Capital region,Males and females,55-74,Unemployed (Estimated number),900
2015Q1,Capital region,Males,16-74,"Unemployment rate, % (Ratio of labour force)",6.5
2015Q1,Capital region,Males,16-74,Unemployed (Estimated number),4100
2015Q1,Capital region,Males,16-24,"Unemployment rate, % (Ratio of labour force)",14.2
2015Q1,Capital region,Males,16-24,Unemployed (Estimated number),1500
2015Q1,Capital region,Males,25-54,"Unemployment rate, % (Ratio of labour force)",5.2
2015Q1,Capital region,Males,25-54,Unemployed (Estimated number),2000
2015Q1,Capital region,Males,55-74,"Unemployment rate, % (Ratio of labour force)",4.6
2015Q1,Capital region,Males,55-74,Unemployed (Estimated number),600
2015Q1,Capital region,Females,16-74,"Unemployment rate, % (Ratio of labour force)",5.2
2015Q1,Capital region,Females,16-74,Unemployed (Estimated number),3000
2015Q1,Capital region,Females,16-24,"Unemployment rate, % (Ratio of labour force)",11
2015Q1,Capital region,Females,16-24,Unemployed (Estimated number),1200
2015Q1,Capital region,Females,25-54,"Unemployment rate, % (Ratio of labour force)",4.2
2015Q1,Capital region,Females,25-54,Unemployed (Estimated number),1500
2015Q1,Capital region,Females,55-74,"Unemployment rate, % (Ratio of labour force)",2.7
2015Q1,Capital region,Females,55-74,Unemployed (Estimated number),300
2015Q1,Outside Capital region,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",3.8
2015Q1,Outside Capital region,Males and females,16-74,Unemployed (Estimated number),2400
2015Q1,Outside Capital region,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",8.4
2015Q1,Outside Capital region,Males and females,16-24,Unemployed (Estimated number),700
2015Q1,Outside Capital region,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",3
2015Q1,Outside Capital region,Males and females,25-54,Unemployed (Estimated number),1100
2015Q1,Outside Capital region,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",3.2
2015Q1,Outside Capital region,Males and females,55-74,Unemployed (Estimated number),600
2015Q1,Outside Capital region,Males,16-74,"Unemployment rate, % (Ratio of labour force)",2.7
2015Q1,Outside Capital region,Males,16-74,Unemployed (Estimated number),900
2015Q1,Outside Capital region,Males,16-24,"Unemployment rate, % (Ratio of labour force)",7.6
2015Q1,Outside Capital region,Males,16-24,Unemployed (Estimated number),400
2015Q1,Outside Capital region,Males,25-54,"Unemployment rate, % (Ratio of labour force)",1.8
2015Q1,Outside Capital region,Males,25-54,Unemployed (Estimated number),400
2015Q1,Outside Capital region,Males,55-74,"Unemployment rate, % (Ratio of labour force)",2.1
2015Q1,Outside Capital region,Males,55-74,Unemployed (Estimated number),200
2015Q1,Outside Capital region,Females,16-74,"Unemployment rate, % (Ratio of labour force)",5.1
2015Q1,Outside Capital region,Females,16-74,Unemployed (Estimated number),1500
2015Q1,Outside Capital region,Females,16-24,"Unemployment rate, % (Ratio of labour force)",9.4
2015Q1,Outside Capital region,Females,16-24,Unemployed (Estimated number),400
2015Q1,Outside Capital region,Females,25-54,"Unemployment rate, % (Ratio of labour force)",4.3
2015Q1,Outside Capital region,Females,25-54,Unemployed (Estimated number),800
2015Q1,Outside Capital region,Females,55-74,"Unemployment rate, % (Ratio of labour force)",4.7
2015Q1,Outside Capital region,Females,55-74,Unemployed (Estimated number),400
2015Q2,Total,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",5.6
2015Q2,Total,Males and females,16-74,Unemployed (Estimated number),10900
2015Q2,Total,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",13.3
2015Q2,Total,Males and females,16-24,Unemployed (Estimated number),4800
2015Q2,Total,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",4.2
2015Q2,Total,Males and females,25-54,Unemployed (Estimated number),4900
2015Q2,Total,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",3
2015Q2,Total,Males and females,55-74,Unemployed (Estimated number),1200
2015Q2,Total,Males,16-74,"Unemployment rate, % (Ratio of labour force)",5
2015Q2,Total,Males,16-74,Unemployed (Estimated number),5100
2015Q2,Total,Males,16-24,"Unemployment rate, % (Ratio of labour force)",14.6
2015Q2,Total,Males,16-24,Unemployed (Estimated number),2700
2015Q2,Total,Males,25-54,"Unemployment rate, % (Ratio of labour force)",2.9
2015Q2,Total,Males,25-54,Unemployed (Estimated number),1800
2015Q2,Total,Males,55-74,"Unemployment rate, % (Ratio of labour force)",3
2015Q2,Total,Males,55-74,Unemployed (Estimated number),700
2015Q2,Total,Females,16-74,"Unemployment rate, % (Ratio of labour force)",6.3
2015Q2,Total,Females,16-74,Unemployed (Estimated number),5800
2015Q2,Total,Females,16-24,"Unemployment rate, % (Ratio of labour force)",12
2015Q2,Total,Females,16-24,Unemployed (Estimated number),2100
2015Q2,Total,Females,25-54,"Unemployment rate, % (Ratio of labour force)",5.6
2015Q2,Total,Females,25-54,Unemployed (Estimated number),3100
