Ársfjórðungur,Landsvæði,Kyn,Aldur,Eining,value
2003Q3,Capital region,Males and females,55-74,Unemployed (Estimated number),300
2003Q3,Capital region,Males,16-74,"Unemployment rate, % (Ratio of labour force)",3.8
2003Q3,Capital region,Males,16-74,Unemployed (Estimated number),2100
2003Q3,Capital region,Males,16-24,"Unemployment rate, % (Ratio of labour force)",7.4
2003Q3,Capital region,Males,16-24,Unemployed (Estimated number),700
2003Q3,Capital region,Males,25-54,"Unemployment rate, % (Ratio of labour force)",3.2
2003Q3,Capital region,Males,25-54,Unemployed (Estimated number),1200
2003Q3,Capital region,Males,55-74,"Unemployment rate, % (Ratio of labour force)",2.5
2003Q3,Capital region,Males,55-74,Unemployed (Estimated number),200
2003Q3,Capital region,Females,16-74,"Unemployment rate, % (Ratio of labour force)",2.4
2003Q3,Capital region,Females,16-74,Unemployed (Estimated number),1200
2003Q3,Capital region,Females,16-24,"Unemployment rate, % (Ratio of labour force)",2.7
2003Q3,Capital region,Females,16-24,Unemployed (Estimated number),300
2003Q3,Capital region,Females,25-54,"Unemployment rate, % (Ratio of labour force)",2.6
2003Q3,Capital region,Females,25-54,Unemployed (Estimated number),900
2003Q3,Capital region,Females,55-74,"Unemployment rate, % (Ratio of labour force)",1
2003Q3,Capital region,Females,55-74,Unemployed (Estimated number),100
2003Q3,Outside Capital region,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",2.5
2003Q3,Outside Capital region,Males and females,16-74,Unemployed (Estimated number),1500
2003Q3,Outside Capital region,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",5
2003Q3,Outside Capital region,Males and females,16-24,Unemployed (Estimated number),500
2003Q3,Outside Capital region,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",1.7
2003Q3,Outside Capital region,Males and females,25-54,Unemployed (Estimated number),600
2003Q3,Outside Capital region,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",2.7
2003Q3,Outside Capital region,Males and females,55-74,Unemployed (Estimated number),300
2003Q3,Outside Capital region,Males,16-74,"Unemployment rate, % (Ratio of labour force)",2.2
2003Q3,Outside Capital region,Males,16-74,Unemployed (Estimated number),700
2003Q3,Outside Capital region,Males,16-24,"Unemployment rate, % (Ratio of labour force)",4.7
2003Q3,Outside Capital region,Males,16-24,Unemployed (Estimated number),300
2003Q3,Outside Capital region,Males,25-54,"Unemployment rate, % (Ratio of labour force)",1
2003Q3,Outside Capital region,Males,25-54,Unemployed (Estimated number),200
2003Q3,Outside Capital region,Males,55-74,"Unemployment rate, % (Ratio of labour force)",3.3
2003Q3,Outside Capital region,Males,55-74,Unemployed (Estimated number),200
2003Q3,Outside Capital region,Females,16-74,"Unemployment rate, % (Ratio of labour force)",2.9
2003Q3,Outside Capital region,Females,16-74,Unemployed (Estimated number),800
2003Q3,Outside Capital region,Females,16-24,"Unemployment rate, % (Ratio of labour force)",5.2
2003Q3,Outside Capital region,Females,16-24,Unemployed (Estimated number),300
2003Q3,Outside Capital region,Females,25-54,"Unemployment rate, % (Ratio of labour force)",2.6
2003Q3,Outside Capital region,Females,25-54,Unemployed (Estimated number),400
2003Q3,Outside Capital region,Females,55-74,"Unemployment rate, % (Ratio of labour force)",1.8
2003Q3,Outside Capital region,Females,55-74,Unemployed (Estimated number),100
2003Q4,Total,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",3.2
2003Q4,Total,Males and females,16-74,Unemployed (Estimated number),4900
2003Q4,Total,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",9
2003Q4,Total,Males and females,16-24,Unemployed (Estimated number),2100
2003Q4,Total,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",2.5
2003Q4,Total,Males and females,25-54,Unemployed (Estimated number),2600
2003Q4,Total,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",0.6
2003Q4,Total,Males and females,55-74,Unemployed (Estimated number),200
2003Q4,Total,Males,16-74,"Unemployment rate, % (Ratio of labour force)",3.4
2003Q4,Total,Males,16-74,Unemployed (Estimated number),2700
2003Q4,Total,Males,16-24,"Unemployment rate, % (Ratio of labour force)",9.9
2003Q4,Total,Males,16-24,Unemployed (Estimated number),1200
2003Q4,Total,Males,25-54,"Unemployment rate, % (Ratio of labour force)",2.5
2003Q4,Total,Males,25-54,Unemployed (Estimated number),1400
2003Q4,Total,Males,55-74,"Unemployment rate, % (Ratio of labour force)",0.7
2003Q4,Total,Males,55-74,Unemployed (Estimated number),100
2003Q4,Total,Females,16-74,"Unemployment rate, % (Ratio of labour force)",2.9
2003Q4,Total,Females,16-74,Unemployed (Estimated number),2100
2003Q4,Total,Females,16-24,"Unemployment rate, % (Ratio of labour force)",8
2003Q4,Total,Females,16-24,Unemployed (Estimated number),900
2003Q4,Total,Females,25-54,"Unemployment rate, % (Ratio of labour force)",2.4
2003Q4,Total,Females,25-54,Unemployed (Estimated number),1200
2003Q4,Total,Females,55-74,"Unemployment rate, % (Ratio of labour force)",0.6
2003Q4,Total,Females,55-74,Unemployed (Estimated number),100
2003Q4,Capital region,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",3.7
2003Q4,Capital region,Males and females,16-74,Unemployed (Estimated number),3600
2003Q4,Capital region,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",9.2
2003Q4,Capital region,Males and females,16-24,Unemployed (Estimated number),1500
2003Q4,Capital region,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",3.1
2003Q4,Capital region,Males and females,25-54,Unemployed (Estimated number),2100
2003Q4,Capital region,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",0.2
2003Q4,Capital region,Males and females,55-74,Unemployed (Estimated number),0
2003Q4,Capital region,Males,16-74,"Unemployment rate, % (Ratio of labour force)",3.9
2003Q4,Capital region,Males,16-74,Unemployed (Estimated number),2000
2003Q4,Capital region,Males,16-24,"Unemployment rate, % (Ratio of labour force)",8.9
2003Q4,Capital region,Males,16-24,Unemployed (Estimated number),700
2003Q4,Capital region,Males,25-54,"Unemployment rate, % (Ratio of labour force)",3.5
2003Q4,Capital region,Males,25-54,Unemployed (Estimated number),1200
2003Q4,Capital region,Males,55-74,"Unemployment rate, % (Ratio of labour force)",0.4
2003Q4,Capital region,Males,55-74,Unemployed (Estimated number),0
2003Q4,Capital region,Females,16-74,"Unemployment rate, % (Ratio of labour force)",3.5
2003Q4,Capital region,Females,16-74,Unemployed (Estimated number),1700
2003Q4,Capital region,Females,16-24,"Unemployment rate, % (Ratio of labour force)",9.5
2003Q4,Capital region,Females,16-24,Unemployed (Estimated number),800
2003Q4,Capital region,Females,25-54,"Unemployment rate, % (Ratio of labour force)",2.7
2003Q4,Capital region,Females,25-54,Unemployed (Estimated number),900
2003Q4,Capital region,Females,55-74,"Unemployment rate, % (Ratio of labour force)",0
2003Q4,Capital region,Females,55-74,Unemployed (Estimated number),0
2003Q4,Outside Capital region,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",2.2
2003Q4,Outside Capital region,Males and females,16-74,Unemployed (Estimated number),1300
2003Q4,Outside Capital region,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",8.6
2003Q4,Outside Capital region,Males and females,16-24,Unemployed (Estimated number),600
2003Q4,Outside Capital region,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",1.3
2003Q4,Outside Capital region,Males and females,25-54,Unemployed (Estimated number),500
2003Q4,Outside Capital region,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",1.2
2003Q4,Outside Capital region,Males and females,55-74,Unemployed (Estimated number),100
2003Q4,Outside Capital region,Males,16-74,"Unemployment rate, % (Ratio of labour force)",2.5
