Mælikvarði,Atvinnugrein,Ár,value
Index 2008=100,K. Financial and insurance activities,2016,112.6
Index 2008=100,K. Financial and insurance activities,2017,122.5
Index 2008=100,K. Financial and insurance activities,2018,134.6
Index 2008=100,K. Financial and insurance activities,2019,146.5
Index 2008=100,K. Financial and insurance activities,2020,157.4
Index 2008=100,K. Financial and insurance activities,2021,180
Index 2008=100,K. Financial and insurance activities,2022,174.6
Index 2008=100,K. Financial and insurance activities,2023,174.7
Index 2008=100,K. Financial and insurance activities,2024,180.3
Index 2008=100,K. Financial and insurance activities,2025,196
Index 2008=100,"M-N. Professional, scientific and technical activities; administrative and support service activities",2008,100
Index 2008=100,"M-N. Professional, scientific and technical activities; administrative and support service activities",2009,104.5
Index 2008=100,"M-N. Professional, scientific and technical activities; administrative and support service activities",2010,106.1
Index 2008=100,"M-N. Professional, scientific and technical activities; administrative and support service activities",2011,102.8
Index 2008=100,"M-N. Professional, scientific and technical activities; administrative and support service activities",2012,98.4
Index 2008=100,"M-N. Professional, scientific and technical activities; administrative and support service activities",2013,101.6
Index 2008=100,"M-N. Professional, scientific and technical activities; administrative and support service activities",2014,100.7
Index 2008=100,"M-N. Professional, scientific and technical activities; administrative and support service activities",2015,105.4
Index 2008=100,"M-N. Professional, scientific and technical activities; administrative and support service activities",2016,101
Index 2008=100,"M-N. Professional, scientific and technical activities; administrative and support service activities",2017,96.7
Index 2008=100,"M-N. Professional, scientific and technical activities; administrative and support service activities",2018,91
Index 2008=100,"M-N. Professional, scientific and technical activities; administrative and support service activities",2019,103.4
Index 2008=100,"M-N. Professional, scientific and technical activities; administrative and support service activities",2020,94
Index 2008=100,"M-N. Professional, scientific and technical activities; administrative and support service activities",2021,102.1
Index 2008=100,"M-N. Professional, scientific and technical activities; administrative and support service activities",2022,113
Index 2008=100,"M-N. Professional, scientific and technical activities; administrative and support service activities",2023,117.4
Index 2008=100,"M-N. Professional, scientific and technical activities; administrative and support service activities",2024,104.8
Index 2008=100,"M-N. Professional, scientific and technical activities; administrative and support service activities",2025,103.8
Index 2008=100,"M. Professional, scientific and technical activities",2008,100
Index 2008=100,"M. Professional, scientific and technical activities",2009,103.3
Index 2008=100,"M. Professional, scientific and technical activities",2010,108.2
Index 2008=100,"M. Professional, scientific and technical activities",2011,99.6
Index 2008=100,"M. Professional, scientific and technical activities",2012,97.7
Index 2008=100,"M. Professional, scientific and technical activities",2013,100.5
Index 2008=100,"M. Professional, scientific and technical activities",2014,99.9
Index 2008=100,"M. Professional, scientific and technical activities",2015,101.5
