Ársfjórðungur,Atvinnugreinar/Launþegahópur,Eining,value
2016Q3,Total,"Quarterly change, %",-2.5
2016Q3,Total,"Annual change, %",9.6
2016Q3,Private sector,Value of index,79
2016Q3,Private sector,"Quarterly change, %",-3.1
2016Q3,Private sector,"Annual change, %",8.5
2016Q3,Public sector,Value of index,79.5
2016Q3,Public sector,"Quarterly change, %",-1.3
2016Q3,Public sector,"Annual change, %",11
2016Q3,Manufacturing (C),Value of index,78.3
2016Q3,Manufacturing (C),"Quarterly change, %",-3.1
2016Q3,Manufacturing (C),"Annual change, %",9.4
2016Q3,"Electricity, gas, steam and air conditioning supply (D)",Value of index,77.8
2016Q3,"Electricity, gas, steam and air conditioning supply (D)","Quarterly change, %",-6.3
2016Q3,"Electricity, gas, steam and air conditioning supply (D)","Annual change, %",12.8
2016Q3,"Water supply; sewerage, waste management and remediation activities (E)",Value of index,80.3
2016Q3,"Water supply; sewerage, waste management and remediation activities (E)","Quarterly change, %",-2.9
2016Q3,"Water supply; sewerage, waste management and remediation activities (E)","Annual change, %",9
2016Q3,Construction (F),Value of index,82.9
2016Q3,Construction (F),"Quarterly change, %",-3.1
2016Q3,Construction (F),"Annual change, %",7.8
2016Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Value of index,78.5
2016Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Quarterly change, %",-3.2
2016Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Annual change, %",9.2
2016Q3,Transportation and storage (H),Value of index,79.1
2016Q3,Transportation and storage (H),"Quarterly change, %",-2.1
2016Q3,Transportation and storage (H),"Annual change, %",8.8
2016Q3,Accommodation and food service activities (I),Value of index,82
2016Q3,Accommodation and food service activities (I),"Quarterly change, %",-1.5
2016Q3,Accommodation and food service activities (I),"Annual change, %",10.2
2016Q3,Information and communication (J),Value of index,81
2016Q3,Information and communication (J),"Quarterly change, %",-1.9
2016Q3,Information and communication (J),"Annual change, %",7.6
2016Q3,Financial and insurance activities (K),Value of index,80.5
2016Q3,Financial and insurance activities (K),"Quarterly change, %",-3.6
2016Q3,Financial and insurance activities (K),"Annual change, %",8.3
2016Q3,Real estate activities (L),Value of index,83.3
2016Q3,Real estate activities (L),"Quarterly change, %",-1.1
2016Q3,Real estate activities (L),"Annual change, %",12
2016Q3,"Professional, scientific and technical activities (M)",Value of index,83.1
2016Q3,"Professional, scientific and technical activities (M)","Quarterly change, %",-3
2016Q3,"Professional, scientific and technical activities (M)","Annual change, %",6.8
2016Q3,Administrative and support service activities (N),Value of index,80.6
2016Q3,Administrative and support service activities (N),"Quarterly change, %",-2.8
2016Q3,Administrative and support service activities (N),"Annual change, %",8.6
2016Q3,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)",Value of index,79.5
2016Q3,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Quarterly change, %",-1.5
2016Q3,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Annual change, %",11
2016Q4,Total,Value of index,86.4
2016Q4,Total,"Quarterly change, %",8.4
2016Q4,Total,"Annual change, %",6.5
2016Q4,Private sector,Value of index,85.5
2016Q4,Private sector,"Quarterly change, %",8.2
2016Q4,Private sector,"Annual change, %",6.3
2016Q4,Public sector,Value of index,86.3
2016Q4,Public sector,"Quarterly change, %",8.6
2016Q4,Public sector,"Annual change, %",5.6
2016Q4,Manufacturing (C),Value of index,84.1
2016Q4,Manufacturing (C),"Quarterly change, %",7.4
2016Q4,Manufacturing (C),"Annual change, %",6.6
2016Q4,"Electricity, gas, steam and air conditioning supply (D)",Value of index,88.7
2016Q4,"Electricity, gas, steam and air conditioning supply (D)","Quarterly change, %",14
2016Q4,"Electricity, gas, steam and air conditioning supply (D)","Annual change, %",3.4
2016Q4,"Water supply; sewerage, waste management and remediation activities (E)",Value of index,87.6
2016Q4,"Water supply; sewerage, waste management and remediation activities (E)","Quarterly change, %",9.1
2016Q4,"Water supply; sewerage, waste management and remediation activities (E)","Annual change, %",6.8
2016Q4,Construction (F),Value of index,89.3
2016Q4,Construction (F),"Quarterly change, %",7.7
2016Q4,Construction (F),"Annual change, %",6.4
2016Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Value of index,84.9
2016Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Quarterly change, %",8.2
2016Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Annual change, %",7.2
2016Q4,Transportation and storage (H),Value of index,84.9
2016Q4,Transportation and storage (H),"Quarterly change, %",7.3
2016Q4,Transportation and storage (H),"Annual change, %",6.7
2016Q4,Accommodation and food service activities (I),Value of index,87.1
2016Q4,Accommodation and food service activities (I),"Quarterly change, %",6.2
2016Q4,Accommodation and food service activities (I),"Annual change, %",9.7
2016Q4,Information and communication (J),Value of index,85.5
2016Q4,Information and communication (J),"Quarterly change, %",5.6
2016Q4,Information and communication (J),"Annual change, %",5
2016Q4,Financial and insurance activities (K),Value of index,89.7
2016Q4,Financial and insurance activities (K),"Quarterly change, %",11.4
2016Q4,Financial and insurance activities (K),"Annual change, %",7.9
2016Q4,Real estate activities (L),Value of index,91.2
2016Q4,Real estate activities (L),"Quarterly change, %",9.5
2016Q4,Real estate activities (L),"Annual change, %",10.7
2016Q4,"Professional, scientific and technical activities (M)",Value of index,90.9
2016Q4,"Professional, scientific and technical activities (M)","Quarterly change, %",9.4
2016Q4,"Professional, scientific and technical activities (M)","Annual change, %",5.9
2016Q4,Administrative and support service activities (N),Value of index,86.8
2016Q4,Administrative and support service activities (N),"Quarterly change, %",7.7
2016Q4,Administrative and support service activities (N),"Annual change, %",7.6
2016Q4,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)",Value of index,86.5
2016Q4,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Quarterly change, %",8.8
2016Q4,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Annual change, %",5.9
2017Q1,Total,Value of index,85.6
2017Q1,Total,"Quarterly change, %",-0.9
2017Q1,Total,"Annual change, %",6.9
2017Q1,Private sector,Value of index,85.4
2017Q1,Private sector,"Quarterly change, %",-0.1
2017Q1,Private sector,"Annual change, %",5.7
2017Q1,Public sector,Value of index,84.2
2017Q1,Public sector,"Quarterly change, %",-2.4
2017Q1,Public sector,"Annual change, %",8.2
2017Q1,Manufacturing (C),Value of index,84
2017Q1,Manufacturing (C),"Quarterly change, %",-0.1
2017Q1,Manufacturing (C),"Annual change, %",6.2
2017Q1,"Electricity, gas, steam and air conditioning supply (D)",Value of index,84.7
2017Q1,"Electricity, gas, steam and air conditioning supply (D)","Quarterly change, %",-4.5
2017Q1,"Electricity, gas, steam and air conditioning supply (D)","Annual change, %",7.6
2017Q1,"Water supply; sewerage, waste management and remediation activities (E)",Value of index,85.3
2017Q1,"Water supply; sewerage, waste management and remediation activities (E)","Quarterly change, %",-2.6
2017Q1,"Water supply; sewerage, waste management and remediation activities (E)","Annual change, %",3.3
2017Q1,Construction (F),Value of index,86.9
2017Q1,Construction (F),"Quarterly change, %",-2.7
2017Q1,Construction (F),"Annual change, %",4.2
2017Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Value of index,84.5
2017Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Quarterly change, %",-0.5
2017Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Annual change, %",5.4
2017Q1,Transportation and storage (H),Value of index,83.1
2017Q1,Transportation and storage (H),"Quarterly change, %",-2.1
2017Q1,Transportation and storage (H),"Annual change, %",2.6
2017Q1,Accommodation and food service activities (I),Value of index,85.3
2017Q1,Accommodation and food service activities (I),"Quarterly change, %",-2.1
2017Q1,Accommodation and food service activities (I),"Annual change, %",5.3
2017Q1,Information and communication (J),Value of index,86.1
2017Q1,Information and communication (J),"Quarterly change, %",0.7
2017Q1,Information and communication (J),"Annual change, %",5.4
2017Q1,Financial and insurance activities (K),Value of index,99.8
2017Q1,Financial and insurance activities (K),"Quarterly change, %",11.3
2017Q1,Financial and insurance activities (K),"Annual change, %",19.4
2017Q1,Real estate activities (L),Value of index,88.7
2017Q1,Real estate activities (L),"Quarterly change, %",-2.8
2017Q1,Real estate activities (L),"Annual change, %",5.6
2017Q1,"Professional, scientific and technical activities (M)",Value of index,90.2
2017Q1,"Professional, scientific and technical activities (M)","Quarterly change, %",-0.8
2017Q1,"Professional, scientific and technical activities (M)","Annual change, %",5.7
2017Q1,Administrative and support service activities (N),Value of index,84.6
2017Q1,Administrative and support service activities (N),"Quarterly change, %",-2.5
2017Q1,Administrative and support service activities (N),"Annual change, %",3.9
2017Q1,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)",Value of index,84.4
2017Q1,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Quarterly change, %",-2.4
2017Q1,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Annual change, %",7.8
2017Q2,Total,Value of index,87.4
2017Q2,Total,"Quarterly change, %",2.1
2017Q2,Total,"Annual change, %",7
2017Q2,Private sector,Value of index,86.5
2017Q2,Private sector,"Quarterly change, %",1.3
2017Q2,Private sector,"Annual change, %",6.1
2017Q2,Public sector,Value of index,86.5
2017Q2,Public sector,"Quarterly change, %",2.7
2017Q2,Public sector,"Annual change, %",7.5
2017Q2,Manufacturing (C),Value of index,86.1
2017Q2,Manufacturing (C),"Quarterly change, %",2.5
2017Q2,Manufacturing (C),"Annual change, %",6.6
2017Q2,"Electricity, gas, steam and air conditioning supply (D)",Value of index,86.8
2017Q2,"Electricity, gas, steam and air conditioning supply (D)","Quarterly change, %",2.5
2017Q2,"Electricity, gas, steam and air conditioning supply (D)","Annual change, %",4.6
2017Q2,"Water supply; sewerage, waste management and remediation activities (E)",Value of index,87.3
2017Q2,"Water supply; sewerage, waste management and remediation activities (E)","Quarterly change, %",2.3
2017Q2,"Water supply; sewerage, waste management and remediation activities (E)","Annual change, %",5.6
2017Q2,Construction (F),Value of index,90.4
2017Q2,Construction (F),"Quarterly change, %",4
2017Q2,Construction (F),"Annual change, %",5.7
2017Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Value of index,86.2
2017Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Quarterly change, %",2
2017Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Annual change, %",6.3
2017Q2,Transportation and storage (H),Value of index,85.3
2017Q2,Transportation and storage (H),"Quarterly change, %",2.6
2017Q2,Transportation and storage (H),"Annual change, %",5.6
2017Q2,Accommodation and food service activities (I),Value of index,88.5
2017Q2,Accommodation and food service activities (I),"Quarterly change, %",3.8
2017Q2,Accommodation and food service activities (I),"Annual change, %",6.4
2017Q2,Information and communication (J),Value of index,86.9
2017Q2,Information and communication (J),"Quarterly change, %",0.9
2017Q2,Information and communication (J),"Annual change, %",5.2
2017Q2,Financial and insurance activities (K),Value of index,95.8
2017Q2,Financial and insurance activities (K),"Quarterly change, %",-4
2017Q2,Financial and insurance activities (K),"Annual change, %",14.7
2017Q2,Real estate activities (L),Value of index,89.9
2017Q2,Real estate activities (L),"Quarterly change, %",1.4
2017Q2,Real estate activities (L),"Annual change, %",6.8
2017Q2,"Professional, scientific and technical activities (M)",Value of index,90.5
2017Q2,"Professional, scientific and technical activities (M)","Quarterly change, %",0.3
2017Q2,"Professional, scientific and technical activities (M)","Annual change, %",5.6
2017Q2,Administrative and support service activities (N),Value of index,87.2
2017Q2,Administrative and support service activities (N),"Quarterly change, %",3.1
2017Q2,Administrative and support service activities (N),"Annual change, %",5.2
2017Q2,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)",Value of index,86.6
2017Q2,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Quarterly change, %",2.6
2017Q2,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Annual change, %",7.3
2017Q3,Total,Value of index,85.3
2017Q3,Total,"Quarterly change, %",-2.4
2017Q3,Total,"Annual change, %",7
2017Q3,Private sector,Value of index,84.2
2017Q3,Private sector,"Quarterly change, %",-2.7
2017Q3,Private sector,"Annual change, %",6.6
2017Q3,Public sector,Value of index,84.8
2017Q3,Public sector,"Quarterly change, %",-2
2017Q3,Public sector,"Annual change, %",6.7
2017Q3,Manufacturing (C),Value of index,83.5
2017Q3,Manufacturing (C),"Quarterly change, %",-3
2017Q3,Manufacturing (C),"Annual change, %",6.6
2017Q3,"Electricity, gas, steam and air conditioning supply (D)",Value of index,83.4
2017Q3,"Electricity, gas, steam and air conditioning supply (D)","Quarterly change, %",-3.9
2017Q3,"Electricity, gas, steam and air conditioning supply (D)","Annual change, %",7.2
2017Q3,"Water supply; sewerage, waste management and remediation activities (E)",Value of index,84.7
2017Q3,"Water supply; sewerage, waste management and remediation activities (E)","Quarterly change, %",-3
2017Q3,"Water supply; sewerage, waste management and remediation activities (E)","Annual change, %",5.5
2017Q3,Construction (F),Value of index,87.9
2017Q3,Construction (F),"Quarterly change, %",-2.8
2017Q3,Construction (F),"Annual change, %",6
2017Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Value of index,83.9
2017Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Quarterly change, %",-2.7
2017Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Annual change, %",6.9
2017Q3,Transportation and storage (H),Value of index,83.2
2017Q3,Transportation and storage (H),"Quarterly change, %",-2.5
2017Q3,Transportation and storage (H),"Annual change, %",5.2
2017Q3,Accommodation and food service activities (I),Value of index,87
2017Q3,Accommodation and food service activities (I),"Quarterly change, %",-1.7
2017Q3,Accommodation and food service activities (I),"Annual change, %",6.1
2017Q3,Information and communication (J),Value of index,86.7
2017Q3,Information and communication (J),"Quarterly change, %",-0.2
2017Q3,Information and communication (J),"Annual change, %",7
2017Q3,Financial and insurance activities (K),Value of index,92.2
2017Q3,Financial and insurance activities (K),"Quarterly change, %",-3.8
2017Q3,Financial and insurance activities (K),"Annual change, %",14.5
2017Q3,Real estate activities (L),Value of index,89
2017Q3,Real estate activities (L),"Quarterly change, %",-1
2017Q3,Real estate activities (L),"Annual change, %",6.8
2017Q3,"Professional, scientific and technical activities (M)",Value of index,89.1
2017Q3,"Professional, scientific and technical activities (M)","Quarterly change, %",-1.6
2017Q3,"Professional, scientific and technical activities (M)","Annual change, %",7.2
2017Q3,Administrative and support service activities (N),Value of index,85.7
2017Q3,Administrative and support service activities (N),"Quarterly change, %",-1.7
2017Q3,Administrative and support service activities (N),"Annual change, %",6.3
2017Q3,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)",Value of index,84.8
2017Q3,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Quarterly change, %",-2.1
2017Q3,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Annual change, %",6.7
2017Q4,Total,Value of index,91.6
2017Q4,Total,"Quarterly change, %",7.4
2017Q4,Total,"Annual change, %",6
2017Q4,Private sector,Value of index,90.4
2017Q4,Private sector,"Quarterly change, %",7.4
2017Q4,Private sector,"Annual change, %",5.7
2017Q4,Public sector,Value of index,91.3
2017Q4,Public sector,"Quarterly change, %",7.7
2017Q4,Public sector,"Annual change, %",5.8
2017Q4,Manufacturing (C),Value of index,90.5
2017Q4,Manufacturing (C),"Quarterly change, %",8.4
2017Q4,Manufacturing (C),"Annual change, %",7.6
2017Q4,"Electricity, gas, steam and air conditioning supply (D)",Value of index,93.9
2017Q4,"Electricity, gas, steam and air conditioning supply (D)","Quarterly change, %",12.6
2017Q4,"Electricity, gas, steam and air conditioning supply (D)","Annual change, %",5.9
2017Q4,"Water supply; sewerage, waste management and remediation activities (E)",Value of index,92.6
2017Q4,"Water supply; sewerage, waste management and remediation activities (E)","Quarterly change, %",9.3
2017Q4,"Water supply; sewerage, waste management and remediation activities (E)","Annual change, %",5.7
2017Q4,Construction (F),Value of index,93.5
2017Q4,Construction (F),"Quarterly change, %",6.4
2017Q4,Construction (F),"Annual change, %",4.7
2017Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Value of index,90.8
2017Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Quarterly change, %",8.2
2017Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Annual change, %",6.9
2017Q4,Transportation and storage (H),Value of index,89.6
2017Q4,Transportation and storage (H),"Quarterly change, %",7.7
2017Q4,Transportation and storage (H),"Annual change, %",5.5
2017Q4,Accommodation and food service activities (I),Value of index,92.9
2017Q4,Accommodation and food service activities (I),"Quarterly change, %",6.8
2017Q4,Accommodation and food service activities (I),"Annual change, %",6.7
2017Q4,Information and communication (J),Value of index,91.6
2017Q4,Information and communication (J),"Quarterly change, %",5.7
2017Q4,Information and communication (J),"Annual change, %",7.1
2017Q4,Financial and insurance activities (K),Value of index,93.1
2017Q4,Financial and insurance activities (K),"Quarterly change, %",1
2017Q4,Financial and insurance activities (K),"Annual change, %",3.8
2017Q4,Real estate activities (L),Value of index,93.9
2017Q4,Real estate activities (L),"Quarterly change, %",5.5
2017Q4,Real estate activities (L),"Annual change, %",3
2017Q4,"Professional, scientific and technical activities (M)",Value of index,96.5
2017Q4,"Professional, scientific and technical activities (M)","Quarterly change, %",8.3
2017Q4,"Professional, scientific and technical activities (M)","Annual change, %",6.2
2017Q4,Administrative and support service activities (N),Value of index,91.8
2017Q4,Administrative and support service activities (N),"Quarterly change, %",7.1
2017Q4,Administrative and support service activities (N),"Annual change, %",5.8
2017Q4,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)",Value of index,91.6
2017Q4,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Quarterly change, %",8
2017Q4,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Annual change, %",5.9
2018Q1,Total,Value of index,89.9
2018Q1,Total,"Quarterly change, %",-1.9
2018Q1,Total,"Annual change, %",5
2018Q1,Private sector,Value of index,89.3
2018Q1,Private sector,"Quarterly change, %",-1.2
2018Q1,Private sector,"Annual change, %",4.6
2018Q1,Public sector,Value of index,89
2018Q1,Public sector,"Quarterly change, %",-2.5
2018Q1,Public sector,"Annual change, %",5.7
2018Q1,Manufacturing (C),Value of index,88.3
2018Q1,Manufacturing (C),"Quarterly change, %",-2.4
2018Q1,Manufacturing (C),"Annual change, %",5.1
2018Q1,"Electricity, gas, steam and air conditioning supply (D)",Value of index,89.5
2018Q1,"Electricity, gas, steam and air conditioning supply (D)","Quarterly change, %",-4.7
2018Q1,"Electricity, gas, steam and air conditioning supply (D)","Annual change, %",5.7
2018Q1,"Water supply; sewerage, waste management and remediation activities (E)",Value of index,91.7
2018Q1,"Water supply; sewerage, waste management and remediation activities (E)","Quarterly change, %",-1
2018Q1,"Water supply; sewerage, waste management and remediation activities (E)","Annual change, %",7.5
2018Q1,Construction (F),Value of index,90.9
2018Q1,Construction (F),"Quarterly change, %",-2.8
2018Q1,Construction (F),"Annual change, %",4.6
2018Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Value of index,88.6
2018Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Quarterly change, %",-2.4
2018Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Annual change, %",4.9
2018Q1,Transportation and storage (H),Value of index,88.8
2018Q1,Transportation and storage (H),"Quarterly change, %",-0.9
2018Q1,Transportation and storage (H),"Annual change, %",6.9
2018Q1,Accommodation and food service activities (I),Value of index,90.4
2018Q1,Accommodation and food service activities (I),"Quarterly change, %",-2.7
2018Q1,Accommodation and food service activities (I),"Annual change, %",6
2018Q1,Information and communication (J),Value of index,90.6
2018Q1,Information and communication (J),"Quarterly change, %",-1.1
2018Q1,Information and communication (J),"Annual change, %",5.2
2018Q1,Financial and insurance activities (K),Value of index,98.8
2018Q1,Financial and insurance activities (K),"Quarterly change, %",6.1
2018Q1,Financial and insurance activities (K),"Annual change, %",-1
2018Q1,Real estate activities (L),Value of index,93.5
2018Q1,Real estate activities (L),"Quarterly change, %",-0.4
2018Q1,Real estate activities (L),"Annual change, %",5.4
2018Q1,"Professional, scientific and technical activities (M)",Value of index,94.1
2018Q1,"Professional, scientific and technical activities (M)","Quarterly change, %",-2.5
2018Q1,"Professional, scientific and technical activities (M)","Annual change, %",4.3
2018Q1,Administrative and support service activities (N),Value of index,89.4
2018Q1,Administrative and support service activities (N),"Quarterly change, %",-2.6
2018Q1,Administrative and support service activities (N),"Annual change, %",5.7
2018Q1,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)",Value of index,89.1
2018Q1,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Quarterly change, %",-2.7
2018Q1,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Annual change, %",5.6
2018Q2,Total,Value of index,91.8
2018Q2,Total,"Quarterly change, %",2.1
2018Q2,Total,"Annual change, %",5
2018Q2,Private sector,Value of index,90.7
2018Q2,Private sector,"Quarterly change, %",1.6
2018Q2,Private sector,"Annual change, %",4.9
2018Q2,Public sector,Value of index,91.5
2018Q2,Public sector,"Quarterly change, %",2.8
2018Q2,Public sector,"Annual change, %",5.8
2018Q2,Manufacturing (C),Value of index,91.2
2018Q2,Manufacturing (C),"Quarterly change, %",3.3
2018Q2,Manufacturing (C),"Annual change, %",5.9
2018Q2,"Electricity, gas, steam and air conditioning supply (D)",Value of index,91.4
2018Q2,"Electricity, gas, steam and air conditioning supply (D)","Quarterly change, %",2.1
2018Q2,"Electricity, gas, steam and air conditioning supply (D)","Annual change, %",5.3
2018Q2,"Water supply; sewerage, waste management and remediation activities (E)",Value of index,91.2
2018Q2,"Water supply; sewerage, waste management and remediation activities (E)","Quarterly change, %",-0.6
2018Q2,"Water supply; sewerage, waste management and remediation activities (E)","Annual change, %",4.5
2018Q2,Construction (F),Value of index,94
2018Q2,Construction (F),"Quarterly change, %",3.4
2018Q2,Construction (F),"Annual change, %",4
2018Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Value of index,90.6
2018Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Quarterly change, %",2.3
2018Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Annual change, %",5.1
2018Q2,Transportation and storage (H),Value of index,90.2
2018Q2,Transportation and storage (H),"Quarterly change, %",1.6
2018Q2,Transportation and storage (H),"Annual change, %",5.7
2018Q2,Accommodation and food service activities (I),Value of index,93.6
2018Q2,Accommodation and food service activities (I),"Quarterly change, %",3.5
2018Q2,Accommodation and food service activities (I),"Annual change, %",5.8
2018Q2,Information and communication (J),Value of index,91.5
2018Q2,Information and communication (J),"Quarterly change, %",1
2018Q2,Information and communication (J),"Annual change, %",5.3
2018Q2,Financial and insurance activities (K),Value of index,95.3
2018Q2,Financial and insurance activities (K),"Quarterly change, %",-3.6
2018Q2,Financial and insurance activities (K),"Annual change, %",-0.5
2018Q2,Real estate activities (L),Value of index,94
2018Q2,Real estate activities (L),"Quarterly change, %",0.5
2018Q2,Real estate activities (L),"Annual change, %",4.6
2018Q2,"Professional, scientific and technical activities (M)",Value of index,94.7
2018Q2,"Professional, scientific and technical activities (M)","Quarterly change, %",0.6
2018Q2,"Professional, scientific and technical activities (M)","Annual change, %",4.6
2018Q2,Administrative and support service activities (N),Value of index,91.5
2018Q2,Administrative and support service activities (N),"Quarterly change, %",2.3
2018Q2,Administrative and support service activities (N),"Annual change, %",4.9
2018Q2,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)",Value of index,91.6
2018Q2,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Quarterly change, %",2.8
2018Q2,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Annual change, %",5.8
2018Q3,Total,Value of index,89.9
2018Q3,Total,"Quarterly change, %",-2.1
2018Q3,Total,"Annual change, %",5.4
2018Q3,Private sector,Value of index,88.5
2018Q3,Private sector,"Quarterly change, %",-2.4
2018Q3,Private sector,"Annual change, %",5.1
2018Q3,Public sector,Value of index,89.9
2018Q3,Public sector,"Quarterly change, %",-1.8
2018Q3,Public sector,"Annual change, %",6
2018Q3,Manufacturing (C),Value of index,88.7
2018Q3,Manufacturing (C),"Quarterly change, %",-2.8
2018Q3,Manufacturing (C),"Annual change, %",6.2
2018Q3,"Electricity, gas, steam and air conditioning supply (D)",Value of index,87.1
2018Q3,"Electricity, gas, steam and air conditioning supply (D)","Quarterly change, %",-4.7
2018Q3,"Electricity, gas, steam and air conditioning supply (D)","Annual change, %",4.4
2018Q3,"Water supply; sewerage, waste management and remediation activities (E)",Value of index,88.6
2018Q3,"Water supply; sewerage, waste management and remediation activities (E)","Quarterly change, %",-2.9
2018Q3,"Water supply; sewerage, waste management and remediation activities (E)","Annual change, %",4.6
2018Q3,Construction (F),Value of index,91.8
2018Q3,Construction (F),"Quarterly change, %",-2.4
2018Q3,Construction (F),"Annual change, %",4.4
2018Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Value of index,88
2018Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Quarterly change, %",-2.9
2018Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Annual change, %",4.9
2018Q3,Transportation and storage (H),Value of index,88.8
2018Q3,Transportation and storage (H),"Quarterly change, %",-1.6
2018Q3,Transportation and storage (H),"Annual change, %",6.7
2018Q3,Accommodation and food service activities (I),Value of index,91.6
2018Q3,Accommodation and food service activities (I),"Quarterly change, %",-2.1
2018Q3,Accommodation and food service activities (I),"Annual change, %",5.3
2018Q3,Information and communication (J),Value of index,91
2018Q3,Information and communication (J),"Quarterly change, %",-0.6
2018Q3,Information and communication (J),"Annual change, %",5
2018Q3,Financial and insurance activities (K),Value of index,91.1
2018Q3,Financial and insurance activities (K),"Quarterly change, %",-4.4
2018Q3,Financial and insurance activities (K),"Annual change, %",-1.2
2018Q3,Real estate activities (L),Value of index,93.3
2018Q3,Real estate activities (L),"Quarterly change, %",-0.8
2018Q3,Real estate activities (L),"Annual change, %",4.8
2018Q3,"Professional, scientific and technical activities (M)",Value of index,95.4
2018Q3,"Professional, scientific and technical activities (M)","Quarterly change, %",0.7
2018Q3,"Professional, scientific and technical activities (M)","Annual change, %",7.1
2018Q3,Administrative and support service activities (N),Value of index,90
2018Q3,Administrative and support service activities (N),"Quarterly change, %",-1.6
2018Q3,Administrative and support service activities (N),"Annual change, %",5
2018Q3,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)",Value of index,89.8
2018Q3,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Quarterly change, %",-2
