Ársfjórðungur,Atvinnugreinar/Launþegahópur,Eining,value
2008Q4,Public sector,"Quarterly change, %",13.2
2008Q4,Public sector,"Annual change, %",
2008Q4,Manufacturing (C),Value of index,52.6
2008Q4,Manufacturing (C),"Quarterly change, %",11.2
2008Q4,Manufacturing (C),"Annual change, %",
2008Q4,"Electricity, gas, steam and air conditioning supply (D)",Value of index,53.7
2008Q4,"Electricity, gas, steam and air conditioning supply (D)","Quarterly change, %",18.3
2008Q4,"Electricity, gas, steam and air conditioning supply (D)","Annual change, %",
2008Q4,"Water supply; sewerage, waste management and remediation activities (E)",Value of index,56
2008Q4,"Water supply; sewerage, waste management and remediation activities (E)","Quarterly change, %",13.4
2008Q4,"Water supply; sewerage, waste management and remediation activities (E)","Annual change, %",
2008Q4,Construction (F),Value of index,55.9
2008Q4,Construction (F),"Quarterly change, %",6.1
2008Q4,Construction (F),"Annual change, %",
2008Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Value of index,52.6
2008Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Quarterly change, %",9.6
2008Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Annual change, %",
2008Q4,Transportation and storage (H),Value of index,53.9
2008Q4,Transportation and storage (H),"Quarterly change, %",10.9
2008Q4,Transportation and storage (H),"Annual change, %",
2008Q4,Accommodation and food service activities (I),Value of index,52.8
2008Q4,Accommodation and food service activities (I),"Quarterly change, %",7.8
2008Q4,Accommodation and food service activities (I),"Annual change, %",
2008Q4,Information and communication (J),Value of index,52.8
2008Q4,Information and communication (J),"Quarterly change, %",8.2
2008Q4,Information and communication (J),"Annual change, %",
2008Q4,Financial and insurance activities (K),Value of index,56.5
2008Q4,Financial and insurance activities (K),"Quarterly change, %",-1.4
2008Q4,Financial and insurance activities (K),"Annual change, %",
2008Q4,Real estate activities (L),Value of index,72.3
2008Q4,Real estate activities (L),"Quarterly change, %",28.9
2008Q4,Real estate activities (L),"Annual change, %",
2008Q4,"Professional, scientific and technical activities (M)",Value of index,58.7
2008Q4,"Professional, scientific and technical activities (M)","Quarterly change, %",5.4
2008Q4,"Professional, scientific and technical activities (M)","Annual change, %",
2008Q4,Administrative and support service activities (N),Value of index,53.9
2008Q4,Administrative and support service activities (N),"Quarterly change, %",10.2
2008Q4,Administrative and support service activities (N),"Annual change, %",
2008Q4,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)",Value of index,54.2
2008Q4,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Quarterly change, %",13.4
2008Q4,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Annual change, %",
2009Q1,Total,Value of index,52.7
2009Q1,Total,"Quarterly change, %",-2.6
2009Q1,Total,"Annual change, %",2.5
2009Q1,Private sector,Value of index,54.3
2009Q1,Private sector,"Quarterly change, %",-1.5
2009Q1,Private sector,"Annual change, %",0.6
2009Q1,Public sector,Value of index,51.9
2009Q1,Public sector,"Quarterly change, %",-4.3
2009Q1,Public sector,"Annual change, %",7.5
2009Q1,Manufacturing (C),Value of index,50.3
