Atvinnugrein (ÍSAT2008),vsk-þrep,Ár,Tímabil,value
53 Postal and courier activities,Standard VAT-rate,2017,July-August,494.1
53 Postal and courier activities,Standard VAT-rate,2017,Sept.-Oct.,495.5
53 Postal and courier activities,Standard VAT-rate,2017,Nov.-Dec.,618.8
53 Postal and courier activities,Standard VAT-rate,2018,Jan.-Feb.,504.5
53 Postal and courier activities,Standard VAT-rate,2018,March-April,504.4
53 Postal and courier activities,Standard VAT-rate,2018,May-June,563.4
53 Postal and courier activities,Standard VAT-rate,2018,July-August,548.2
53 Postal and courier activities,Standard VAT-rate,2018,Sept.-Oct.,531
53 Postal and courier activities,Standard VAT-rate,2018,Nov.-Dec.,620.2
53 Postal and courier activities,Standard VAT-rate,2019,Jan.-Feb.,555.3
53 Postal and courier activities,Standard VAT-rate,2019,March-April,571.3
53 Postal and courier activities,Standard VAT-rate,2019,May-June,585.2
53 Postal and courier activities,Standard VAT-rate,2019,July-August,604.2
53 Postal and courier activities,Standard VAT-rate,2019,Sept.-Oct.,626.2
53 Postal and courier activities,Standard VAT-rate,2019,Nov.-Dec.,721.1
53 Postal and courier activities,Standard VAT-rate,2020,Jan.-Feb.,565.9
53 Postal and courier activities,Standard VAT-rate,2020,March-April,624.4
53 Postal and courier activities,Standard VAT-rate,2020,May-June,629.2
53 Postal and courier activities,Standard VAT-rate,2020,July-August,617.1
53 Postal and courier activities,Standard VAT-rate,2020,Sept.-Oct.,710.8
53 Postal and courier activities,Standard VAT-rate,2020,Nov.-Dec.,1061.9
53 Postal and courier activities,Standard VAT-rate,2021,Jan.-Feb.,646.4
53 Postal and courier activities,Standard VAT-rate,2021,March-April,661.5
53 Postal and courier activities,Standard VAT-rate,2021,May-June,723.1
53 Postal and courier activities,Standard VAT-rate,2021,July-August,678.1
53 Postal and courier activities,Standard VAT-rate,2021,Sept.-Oct.,696.9
53 Postal and courier activities,Standard VAT-rate,2021,Nov.-Dec.,1068.2
53 Postal and courier activities,Standard VAT-rate,2022,Jan.-Feb.,715.2
53 Postal and courier activities,Standard VAT-rate,2022,March-April,691.6
53 Postal and courier activities,Standard VAT-rate,2022,May-June,793.8
53 Postal and courier activities,Standard VAT-rate,2022,July-August,729.8
53 Postal and courier activities,Standard VAT-rate,2022,Sept.-Oct.,723.7
53 Postal and courier activities,Standard VAT-rate,2022,Nov.-Dec.,980.7
53 Postal and courier activities,Standard VAT-rate,2023,Jan.-Feb.,681.1
53 Postal and courier activities,Standard VAT-rate,2023,March-April,650
53 Postal and courier activities,Standard VAT-rate,2023,May-June,738
53 Postal and courier activities,Standard VAT-rate,2023,July-August,699.8
53 Postal and courier activities,Standard VAT-rate,2023,Sept.-Oct.,716.9
53 Postal and courier activities,Standard VAT-rate,2023,Nov.-Dec.,979.4
53 Postal and courier activities,Standard VAT-rate,2024,Jan.-Feb.,720
53 Postal and courier activities,Standard VAT-rate,2024,March-April,737.2
53 Postal and courier activities,Standard VAT-rate,2024,May-June,883.4
53 Postal and courier activities,Standard VAT-rate,2024,July-August,887.2
53 Postal and courier activities,Standard VAT-rate,2024,Sept.-Oct.,996.7
53 Postal and courier activities,Standard VAT-rate,2024,Nov.-Dec.,1335.9
53 Postal and courier activities,Standard VAT-rate,2025,Jan.-Feb.,975.3
53 Postal and courier activities,Standard VAT-rate,2025,March-April,932.9
53 Postal and courier activities,Standard VAT-rate,2025,May-June,1059.6
53 Postal and courier activities,Standard VAT-rate,2025,July-August,982
53 Postal and courier activities,Standard VAT-rate,2025,Sept.-Oct.,1040.3
53 Postal and courier activities,Standard VAT-rate,2025,Nov.-Dec.,1347
55 Accommodation,Total,2008,Jan.-Feb.,1433.9
55 Accommodation,Total,2008,March-April,1865.7
55 Accommodation,Total,2008,May-June,4110.9
55 Accommodation,Total,2008,July-August,6547.3
55 Accommodation,Total,2008,Sept.-Oct.,3070.7
55 Accommodation,Total,2008,Nov.-Dec.,2050.8
55 Accommodation,Total,2009,Jan.-Feb.,1421
55 Accommodation,Total,2009,March-April,2005.6
55 Accommodation,Total,2009,May-June,4826.4
55 Accommodation,Total,2009,July-August,8643.1
55 Accommodation,Total,2009,Sept.-Oct.,3598.6
55 Accommodation,Total,2009,Nov.-Dec.,2274.2
55 Accommodation,Total,2010,Jan.-Feb.,1617.7
55 Accommodation,Total,2010,March-April,2217.5
55 Accommodation,Total,2010,May-June,4762.5
55 Accommodation,Total,2010,July-August,8706.9
55 Accommodation,Total,2010,Sept.-Oct.,3331.9
55 Accommodation,Total,2010,Nov.-Dec.,2277.1
55 Accommodation,Total,2011,Jan.-Feb.,1847.5
55 Accommodation,Total,2011,March-April,2643.7
55 Accommodation,Total,2011,May-June,5819.9
55 Accommodation,Total,2011,July-August,10656.2
55 Accommodation,Total,2011,Sept.-Oct.,4316.8
55 Accommodation,Total,2011,Nov.-Dec.,2858
55 Accommodation,Total,2012,Jan.-Feb.,2327.8
55 Accommodation,Total,2012,March-April,3223.5
55 Accommodation,Total,2012,May-June,7132
55 Accommodation,Total,2012,July-August,12594.5
55 Accommodation,Total,2012,Sept.-Oct.,5491.8
55 Accommodation,Total,2012,Nov.-Dec.,4345.5
55 Accommodation,Total,2013,Jan.-Feb.,3049.8
55 Accommodation,Total,2013,March-April,4192.3
55 Accommodation,Total,2013,May-June,8607
55 Accommodation,Total,2013,July-August,15153.9
55 Accommodation,Total,2013,Sept.-Oct.,6720
55 Accommodation,Total,2013,Nov.-Dec.,4890
55 Accommodation,Total,2014,Jan.-Feb.,3925
55 Accommodation,Total,2014,March-April,5260.3
55 Accommodation,Total,2014,May-June,10261.3
55 Accommodation,Total,2014,July-August,17554.9
55 Accommodation,Total,2014,Sept.-Oct.,8082.2
55 Accommodation,Total,2014,Nov.-Dec.,7514.6
55 Accommodation,Total,2015,Jan.-Feb.,5038
55 Accommodation,Total,2015,March-April,6393.8
55 Accommodation,Total,2015,May-June,12928.6
55 Accommodation,Total,2015,July-August,20606.4
55 Accommodation,Total,2015,Sept.-Oct.,10703.4
55 Accommodation,Total,2015,Nov.-Dec.,8130.7
55 Accommodation,Total,2016,Jan.-Feb.,7046
55 Accommodation,Total,2016,March-April,9450.5
55 Accommodation,Total,2016,May-June,16545.1
55 Accommodation,Total,2016,July-August,25734.1
55 Accommodation,Total,2016,Sept.-Oct.,15478.1
55 Accommodation,Total,2016,Nov.-Dec.,12852.1
55 Accommodation,Total,2017,Jan.-Feb.,9956.6
55 Accommodation,Total,2017,March-April,11854.7
55 Accommodation,Total,2017,May-June,18314
55 Accommodation,Total,2017,July-August,27924.9
55 Accommodation,Total,2017,Sept.-Oct.,18166.9
55 Accommodation,Total,2017,Nov.-Dec.,12578.1
55 Accommodation,Total,2018,Jan.-Feb.,11055.9
55 Accommodation,Total,2018,March-April,12105.3
55 Accommodation,Total,2018,May-June,18652.4
55 Accommodation,Total,2018,July-August,28886.7
55 Accommodation,Total,2018,Sept.-Oct.,18851.4
55 Accommodation,Total,2018,Nov.-Dec.,14050.2
55 Accommodation,Total,2019,Jan.-Feb.,11191.2
55 Accommodation,Total,2019,March-April,12456.8
55 Accommodation,Total,2019,May-June,18786.5
55 Accommodation,Total,2019,July-August,28866.6
55 Accommodation,Total,2019,Sept.-Oct.,17986.3
55 Accommodation,Total,2019,Nov.-Dec.,12210.1
55 Accommodation,Total,2020,Jan.-Feb.,10889.9
55 Accommodation,Total,2020,March-April,4368.9
55 Accommodation,Total,2020,May-June,3904.4
55 Accommodation,Total,2020,July-August,10543.3
55 Accommodation,Total,2020,Sept.-Oct.,3537.7
55 Accommodation,Total,2020,Nov.-Dec.,3118.2
55 Accommodation,Total,2021,Jan.-Feb.,2264.7
55 Accommodation,Total,2021,March-April,3113.3
55 Accommodation,Total,2021,May-June,8909.8
55 Accommodation,Total,2021,July-August,22595.6
55 Accommodation,Total,2021,Sept.-Oct.,16780.5
55 Accommodation,Total,2021,Nov.-Dec.,11943.2
55 Accommodation,Total,2022,Jan.-Feb.,8595.8
55 Accommodation,Total,2022,March-April,12932.7
55 Accommodation,Total,2022,May-June,22867
55 Accommodation,Total,2022,July-August,35947.6
55 Accommodation,Total,2022,Sept.-Oct.,24597.2
55 Accommodation,Total,2022,Nov.-Dec.,17809.4
55 Accommodation,Total,2023,Jan.-Feb.,15071.2
55 Accommodation,Total,2023,March-April,18844.5
55 Accommodation,Total,2023,May-June,30999.7
55 Accommodation,Total,2023,July-August,42813.1
55 Accommodation,Total,2023,Sept.-Oct.,30887.8
55 Accommodation,Total,2023,Nov.-Dec.,19783.6
55 Accommodation,Total,2024,Jan.-Feb.,16146.4
55 Accommodation,Total,2024,March-April,19893.2
55 Accommodation,Total,2024,May-June,30003.3
55 Accommodation,Total,2024,July-August,44013.6
55 Accommodation,Total,2024,Sept.-Oct.,33575.3
55 Accommodation,Total,2024,Nov.-Dec.,21923
55 Accommodation,Total,2025,Jan.-Feb.,17014.7
55 Accommodation,Total,2025,March-April,20596.9
55 Accommodation,Total,2025,May-June,32277.5
55 Accommodation,Total,2025,July-August,49735.3
55 Accommodation,Total,2025,Sept.-Oct.,33735.6
55 Accommodation,Total,2025,Nov.-Dec.,20369.8
55 Accommodation,Zero VAT-rate,2008,Jan.-Feb.,17.7
55 Accommodation,Zero VAT-rate,2008,March-April,18.6
55 Accommodation,Zero VAT-rate,2008,May-June,31.6
55 Accommodation,Zero VAT-rate,2008,July-August,37.3
55 Accommodation,Zero VAT-rate,2008,Sept.-Oct.,25.2
55 Accommodation,Zero VAT-rate,2008,Nov.-Dec.,47.9
55 Accommodation,Zero VAT-rate,2009,Jan.-Feb.,37.6
55 Accommodation,Zero VAT-rate,2009,March-April,35.4
55 Accommodation,Zero VAT-rate,2009,May-June,72.5
55 Accommodation,Zero VAT-rate,2009,July-August,57.6
55 Accommodation,Zero VAT-rate,2009,Sept.-Oct.,37.7
55 Accommodation,Zero VAT-rate,2009,Nov.-Dec.,47.9
55 Accommodation,Zero VAT-rate,2010,Jan.-Feb.,48.6
55 Accommodation,Zero VAT-rate,2010,March-April,23.2
55 Accommodation,Zero VAT-rate,2010,May-June,48.9
55 Accommodation,Zero VAT-rate,2010,July-August,63.8
55 Accommodation,Zero VAT-rate,2010,Sept.-Oct.,21.8
55 Accommodation,Zero VAT-rate,2010,Nov.-Dec.,53.8
55 Accommodation,Zero VAT-rate,2011,Jan.-Feb.,72.2
55 Accommodation,Zero VAT-rate,2011,March-April,38.3
55 Accommodation,Zero VAT-rate,2011,May-June,46.7
55 Accommodation,Zero VAT-rate,2011,July-August,53.4
55 Accommodation,Zero VAT-rate,2011,Sept.-Oct.,36.6
55 Accommodation,Zero VAT-rate,2011,Nov.-Dec.,91.6
55 Accommodation,Zero VAT-rate,2012,Jan.-Feb.,84.4
55 Accommodation,Zero VAT-rate,2012,March-April,40.5
55 Accommodation,Zero VAT-rate,2012,May-June,94.2
55 Accommodation,Zero VAT-rate,2012,July-August,99.1
55 Accommodation,Zero VAT-rate,2012,Sept.-Oct.,56.5
55 Accommodation,Zero VAT-rate,2012,Nov.-Dec.,108.8
55 Accommodation,Zero VAT-rate,2013,Jan.-Feb.,27.9
55 Accommodation,Zero VAT-rate,2013,March-April,31.2
55 Accommodation,Zero VAT-rate,2013,May-June,59.3
55 Accommodation,Zero VAT-rate,2013,July-August,60.9
55 Accommodation,Zero VAT-rate,2013,Sept.-Oct.,74.2
55 Accommodation,Zero VAT-rate,2013,Nov.-Dec.,121.1
55 Accommodation,Zero VAT-rate,2014,Jan.-Feb.,32
55 Accommodation,Zero VAT-rate,2014,March-April,31
55 Accommodation,Zero VAT-rate,2014,May-June,48.4
55 Accommodation,Zero VAT-rate,2014,July-August,75.1
55 Accommodation,Zero VAT-rate,2014,Sept.-Oct.,45.1
55 Accommodation,Zero VAT-rate,2014,Nov.-Dec.,161.8
55 Accommodation,Zero VAT-rate,2015,Jan.-Feb.,42
55 Accommodation,Zero VAT-rate,2015,March-April,43.2
55 Accommodation,Zero VAT-rate,2015,May-June,73.2
55 Accommodation,Zero VAT-rate,2015,July-August,109.2
55 Accommodation,Zero VAT-rate,2015,Sept.-Oct.,56.3
55 Accommodation,Zero VAT-rate,2015,Nov.-Dec.,301.3
55 Accommodation,Zero VAT-rate,2016,Jan.-Feb.,38
55 Accommodation,Zero VAT-rate,2016,March-April,40.2
55 Accommodation,Zero VAT-rate,2016,May-June,44
55 Accommodation,Zero VAT-rate,2016,July-August,76
55 Accommodation,Zero VAT-rate,2016,Sept.-Oct.,59.7
55 Accommodation,Zero VAT-rate,2016,Nov.-Dec.,92
55 Accommodation,Zero VAT-rate,2017,Jan.-Feb.,42.2
55 Accommodation,Zero VAT-rate,2017,March-April,43.8
55 Accommodation,Zero VAT-rate,2017,May-June,51
55 Accommodation,Zero VAT-rate,2017,July-August,279.3
55 Accommodation,Zero VAT-rate,2017,Sept.-Oct.,49.6
55 Accommodation,Zero VAT-rate,2017,Nov.-Dec.,133
55 Accommodation,Zero VAT-rate,2018,Jan.-Feb.,28.2
55 Accommodation,Zero VAT-rate,2018,March-April,49.5
55 Accommodation,Zero VAT-rate,2018,May-June,49
55 Accommodation,Zero VAT-rate,2018,July-August,50.1
55 Accommodation,Zero VAT-rate,2018,Sept.-Oct.,40.7
55 Accommodation,Zero VAT-rate,2018,Nov.-Dec.,116.8
55 Accommodation,Zero VAT-rate,2019,Jan.-Feb.,42.2
55 Accommodation,Zero VAT-rate,2019,March-April,40.7
55 Accommodation,Zero VAT-rate,2019,May-June,44
55 Accommodation,Zero VAT-rate,2019,July-August,58.3
55 Accommodation,Zero VAT-rate,2019,Sept.-Oct.,41
55 Accommodation,Zero VAT-rate,2019,Nov.-Dec.,71.8
55 Accommodation,Zero VAT-rate,2020,Jan.-Feb.,29.4
55 Accommodation,Zero VAT-rate,2020,March-April,29.4
55 Accommodation,Zero VAT-rate,2020,May-June,37.7
55 Accommodation,Zero VAT-rate,2020,July-August,53.9
55 Accommodation,Zero VAT-rate,2020,Sept.-Oct.,37.9
55 Accommodation,Zero VAT-rate,2020,Nov.-Dec.,117.8
55 Accommodation,Zero VAT-rate,2021,Jan.-Feb.,63.1
55 Accommodation,Zero VAT-rate,2021,March-April,49.4
55 Accommodation,Zero VAT-rate,2021,May-June,61
55 Accommodation,Zero VAT-rate,2021,July-August,50.5
55 Accommodation,Zero VAT-rate,2021,Sept.-Oct.,85.7
55 Accommodation,Zero VAT-rate,2021,Nov.-Dec.,176.1
55 Accommodation,Zero VAT-rate,2022,Jan.-Feb.,34.4
55 Accommodation,Zero VAT-rate,2022,March-April,52.6
55 Accommodation,Zero VAT-rate,2022,May-June,118.6
55 Accommodation,Zero VAT-rate,2022,July-August,109.5
55 Accommodation,Zero VAT-rate,2022,Sept.-Oct.,109.8
55 Accommodation,Zero VAT-rate,2022,Nov.-Dec.,143.7
55 Accommodation,Zero VAT-rate,2023,Jan.-Feb.,53
55 Accommodation,Zero VAT-rate,2023,March-April,59.7
55 Accommodation,Zero VAT-rate,2023,May-June,72.9
55 Accommodation,Zero VAT-rate,2023,July-August,84
55 Accommodation,Zero VAT-rate,2023,Sept.-Oct.,96.7
55 Accommodation,Zero VAT-rate,2023,Nov.-Dec.,194.8
55 Accommodation,Zero VAT-rate,2024,Jan.-Feb.,82.3
55 Accommodation,Zero VAT-rate,2024,March-April,64.4
55 Accommodation,Zero VAT-rate,2024,May-June,100.5
55 Accommodation,Zero VAT-rate,2024,July-August,96.7
55 Accommodation,Zero VAT-rate,2024,Sept.-Oct.,139.7
55 Accommodation,Zero VAT-rate,2024,Nov.-Dec.,253.5
55 Accommodation,Zero VAT-rate,2025,Jan.-Feb.,142.7
55 Accommodation,Zero VAT-rate,2025,March-April,142.5
55 Accommodation,Zero VAT-rate,2025,May-June,233.8
55 Accommodation,Zero VAT-rate,2025,July-August,221.2
55 Accommodation,Zero VAT-rate,2025,Sept.-Oct.,237.6
55 Accommodation,Zero VAT-rate,2025,Nov.-Dec.,251.5
55 Accommodation,Lower VAT-rate,2008,Jan.-Feb.,1185.4
55 Accommodation,Lower VAT-rate,2008,March-April,1567
55 Accommodation,Lower VAT-rate,2008,May-June,3687.5
55 Accommodation,Lower VAT-rate,2008,July-August,6049.2
55 Accommodation,Lower VAT-rate,2008,Sept.-Oct.,2682.9
55 Accommodation,Lower VAT-rate,2008,Nov.-Dec.,1612.1
55 Accommodation,Lower VAT-rate,2009,Jan.-Feb.,1176.1
55 Accommodation,Lower VAT-rate,2009,March-April,1698.7
55 Accommodation,Lower VAT-rate,2009,May-June,4372.1
55 Accommodation,Lower VAT-rate,2009,July-August,8015.9
55 Accommodation,Lower VAT-rate,2009,Sept.-Oct.,3036.7
55 Accommodation,Lower VAT-rate,2009,Nov.-Dec.,1778
55 Accommodation,Lower VAT-rate,2010,Jan.-Feb.,1340.5
55 Accommodation,Lower VAT-rate,2010,March-April,1913.6
55 Accommodation,Lower VAT-rate,2010,May-June,4315.4
55 Accommodation,Lower VAT-rate,2010,July-August,8069.3
55 Accommodation,Lower VAT-rate,2010,Sept.-Oct.,2948.9
55 Accommodation,Lower VAT-rate,2010,Nov.-Dec.,1841.4
55 Accommodation,Lower VAT-rate,2011,Jan.-Feb.,1510.2
55 Accommodation,Lower VAT-rate,2011,March-April,2237
55 Accommodation,Lower VAT-rate,2011,May-June,5286.5
55 Accommodation,Lower VAT-rate,2011,July-August,9958.2
55 Accommodation,Lower VAT-rate,2011,Sept.-Oct.,3811.8
55 Accommodation,Lower VAT-rate,2011,Nov.-Dec.,2321.2
55 Accommodation,Lower VAT-rate,2012,Jan.-Feb.,1932.1
55 Accommodation,Lower VAT-rate,2012,March-April,2830.6
55 Accommodation,Lower VAT-rate,2012,May-June,6506.9
55 Accommodation,Lower VAT-rate,2012,July-August,11739.3
55 Accommodation,Lower VAT-rate,2012,Sept.-Oct.,4922.8
55 Accommodation,Lower VAT-rate,2012,Nov.-Dec.,3604.6
55 Accommodation,Lower VAT-rate,2013,Jan.-Feb.,2721.1
55 Accommodation,Lower VAT-rate,2013,March-April,3712.4
55 Accommodation,Lower VAT-rate,2013,May-June,7960
55 Accommodation,Lower VAT-rate,2013,July-August,14203
55 Accommodation,Lower VAT-rate,2013,Sept.-Oct.,6050.6
55 Accommodation,Lower VAT-rate,2013,Nov.-Dec.,4151.5
55 Accommodation,Lower VAT-rate,2014,Jan.-Feb.,3464
55 Accommodation,Lower VAT-rate,2014,March-April,4708.7
55 Accommodation,Lower VAT-rate,2014,May-June,9540.5
55 Accommodation,Lower VAT-rate,2014,July-August,16471
55 Accommodation,Lower VAT-rate,2014,Sept.-Oct.,7246.8
55 Accommodation,Lower VAT-rate,2014,Nov.-Dec.,6515.4
55 Accommodation,Lower VAT-rate,2015,Jan.-Feb.,4500
55 Accommodation,Lower VAT-rate,2015,March-April,5775.3
55 Accommodation,Lower VAT-rate,2015,May-June,11959.3
55 Accommodation,Lower VAT-rate,2015,July-August,19382.3
55 Accommodation,Lower VAT-rate,2015,Sept.-Oct.,9804.1
55 Accommodation,Lower VAT-rate,2015,Nov.-Dec.,6944.8
55 Accommodation,Lower VAT-rate,2016,Jan.-Feb.,6659
55 Accommodation,Lower VAT-rate,2016,March-April,8963.9
55 Accommodation,Lower VAT-rate,2016,May-June,15884.4
55 Accommodation,Lower VAT-rate,2016,July-August,24972.7
55 Accommodation,Lower VAT-rate,2016,Sept.-Oct.,14782.7
55 Accommodation,Lower VAT-rate,2016,Nov.-Dec.,12029.8
55 Accommodation,Lower VAT-rate,2017,Jan.-Feb.,9366.3
55 Accommodation,Lower VAT-rate,2017,March-April,11236.5
55 Accommodation,Lower VAT-rate,2017,May-June,17462.8
55 Accommodation,Lower VAT-rate,2017,July-August,26866.2
55 Accommodation,Lower VAT-rate,2017,Sept.-Oct.,17444.2
55 Accommodation,Lower VAT-rate,2017,Nov.-Dec.,11675.2
55 Accommodation,Lower VAT-rate,2018,Jan.-Feb.,10518.9
55 Accommodation,Lower VAT-rate,2018,March-April,11391
55 Accommodation,Lower VAT-rate,2018,May-June,17915.2
55 Accommodation,Lower VAT-rate,2018,July-August,28004.9
55 Accommodation,Lower VAT-rate,2018,Sept.-Oct.,18115
55 Accommodation,Lower VAT-rate,2018,Nov.-Dec.,12973.7
55 Accommodation,Lower VAT-rate,2019,Jan.-Feb.,10564.6
55 Accommodation,Lower VAT-rate,2019,March-April,11822
55 Accommodation,Lower VAT-rate,2019,May-June,18023.3
55 Accommodation,Lower VAT-rate,2019,July-August,28013.8
55 Accommodation,Lower VAT-rate,2019,Sept.-Oct.,17209
55 Accommodation,Lower VAT-rate,2019,Nov.-Dec.,11284.4
55 Accommodation,Lower VAT-rate,2020,Jan.-Feb.,10211.4
55 Accommodation,Lower VAT-rate,2020,March-April,3881.6
55 Accommodation,Lower VAT-rate,2020,May-June,3302.6
55 Accommodation,Lower VAT-rate,2020,July-August,9868.6
55 Accommodation,Lower VAT-rate,2020,Sept.-Oct.,2936.2
55 Accommodation,Lower VAT-rate,2020,Nov.-Dec.,2170.2
55 Accommodation,Lower VAT-rate,2021,Jan.-Feb.,1666.6
55 Accommodation,Lower VAT-rate,2021,March-April,2477.9
55 Accommodation,Lower VAT-rate,2021,May-June,8023.8
55 Accommodation,Lower VAT-rate,2021,July-August,21555.1
55 Accommodation,Lower VAT-rate,2021,Sept.-Oct.,15711.8
55 Accommodation,Lower VAT-rate,2021,Nov.-Dec.,10514.3
55 Accommodation,Lower VAT-rate,2022,Jan.-Feb.,7841.6
55 Accommodation,Lower VAT-rate,2022,March-April,11900.9
55 Accommodation,Lower VAT-rate,2022,May-June,21439.6
55 Accommodation,Lower VAT-rate,2022,July-August,34422.6
55 Accommodation,Lower VAT-rate,2022,Sept.-Oct.,23112.5
55 Accommodation,Lower VAT-rate,2022,Nov.-Dec.,16143
55 Accommodation,Lower VAT-rate,2023,Jan.-Feb.,13979.8
55 Accommodation,Lower VAT-rate,2023,March-April,17500.2
55 Accommodation,Lower VAT-rate,2023,May-June,29324.6
55 Accommodation,Lower VAT-rate,2023,July-August,41157.9
55 Accommodation,Lower VAT-rate,2023,Sept.-Oct.,29128
55 Accommodation,Lower VAT-rate,2023,Nov.-Dec.,17826.9
55 Accommodation,Lower VAT-rate,2024,Jan.-Feb.,15028.5
55 Accommodation,Lower VAT-rate,2024,March-April,18544
55 Accommodation,Lower VAT-rate,2024,May-June,28442.3
55 Accommodation,Lower VAT-rate,2024,July-August,42442
55 Accommodation,Lower VAT-rate,2024,Sept.-Oct.,31776.2
55 Accommodation,Lower VAT-rate,2024,Nov.-Dec.,19916.8
55 Accommodation,Lower VAT-rate,2025,Jan.-Feb.,15857.3
55 Accommodation,Lower VAT-rate,2025,March-April,19089.4
55 Accommodation,Lower VAT-rate,2025,May-June,30462.5
55 Accommodation,Lower VAT-rate,2025,July-August,47888.9
55 Accommodation,Lower VAT-rate,2025,Sept.-Oct.,31622.5
55 Accommodation,Lower VAT-rate,2025,Nov.-Dec.,17873.1
55 Accommodation,Standard VAT-rate,2008,Jan.-Feb.,230.8
55 Accommodation,Standard VAT-rate,2008,March-April,280.1
55 Accommodation,Standard VAT-rate,2008,May-June,391.7
55 Accommodation,Standard VAT-rate,2008,July-August,460.8
55 Accommodation,Standard VAT-rate,2008,Sept.-Oct.,362.6
55 Accommodation,Standard VAT-rate,2008,Nov.-Dec.,390.8
55 Accommodation,Standard VAT-rate,2009,Jan.-Feb.,207.3
55 Accommodation,Standard VAT-rate,2009,March-April,271.4
55 Accommodation,Standard VAT-rate,2009,May-June,381.9
55 Accommodation,Standard VAT-rate,2009,July-August,569.6
55 Accommodation,Standard VAT-rate,2009,Sept.-Oct.,524.1
55 Accommodation,Standard VAT-rate,2009,Nov.-Dec.,448.4
55 Accommodation,Standard VAT-rate,2010,Jan.-Feb.,228.6
55 Accommodation,Standard VAT-rate,2010,March-April,280.7
55 Accommodation,Standard VAT-rate,2010,May-June,398.2
55 Accommodation,Standard VAT-rate,2010,July-August,573.8
55 Accommodation,Standard VAT-rate,2010,Sept.-Oct.,361.2
55 Accommodation,Standard VAT-rate,2010,Nov.-Dec.,381.9
55 Accommodation,Standard VAT-rate,2011,Jan.-Feb.,265.2
55 Accommodation,Standard VAT-rate,2011,March-April,368.4
55 Accommodation,Standard VAT-rate,2011,May-June,486.7
55 Accommodation,Standard VAT-rate,2011,July-August,644.6
55 Accommodation,Standard VAT-rate,2011,Sept.-Oct.,468.3
55 Accommodation,Standard VAT-rate,2011,Nov.-Dec.,445.2
55 Accommodation,Standard VAT-rate,2012,Jan.-Feb.,311.2
55 Accommodation,Standard VAT-rate,2012,March-April,352.4
55 Accommodation,Standard VAT-rate,2012,May-June,530.8
55 Accommodation,Standard VAT-rate,2012,July-August,756.1
55 Accommodation,Standard VAT-rate,2012,Sept.-Oct.,512.5
55 Accommodation,Standard VAT-rate,2012,Nov.-Dec.,632.1
55 Accommodation,Standard VAT-rate,2013,Jan.-Feb.,300.7
55 Accommodation,Standard VAT-rate,2013,March-April,448.8
55 Accommodation,Standard VAT-rate,2013,May-June,587.7
55 Accommodation,Standard VAT-rate,2013,July-August,890
55 Accommodation,Standard VAT-rate,2013,Sept.-Oct.,595.2
55 Accommodation,Standard VAT-rate,2013,Nov.-Dec.,617.4
55 Accommodation,Standard VAT-rate,2014,Jan.-Feb.,429
55 Accommodation,Standard VAT-rate,2014,March-April,520.6
55 Accommodation,Standard VAT-rate,2014,May-June,672.4
55 Accommodation,Standard VAT-rate,2014,July-August,1008.9
55 Accommodation,Standard VAT-rate,2014,Sept.-Oct.,790.2
55 Accommodation,Standard VAT-rate,2014,Nov.-Dec.,837.4
55 Accommodation,Standard VAT-rate,2015,Jan.-Feb.,496.1
55 Accommodation,Standard VAT-rate,2015,March-April,575.3
55 Accommodation,Standard VAT-rate,2015,May-June,896.1
55 Accommodation,Standard VAT-rate,2015,July-August,1114.8
55 Accommodation,Standard VAT-rate,2015,Sept.-Oct.,842.9
55 Accommodation,Standard VAT-rate,2015,Nov.-Dec.,884.6
55 Accommodation,Standard VAT-rate,2016,Jan.-Feb.,349
55 Accommodation,Standard VAT-rate,2016,March-April,446.4
55 Accommodation,Standard VAT-rate,2016,May-June,616.7
55 Accommodation,Standard VAT-rate,2016,July-August,685.4
55 Accommodation,Standard VAT-rate,2016,Sept.-Oct.,635.8
55 Accommodation,Standard VAT-rate,2016,Nov.-Dec.,730.3
55 Accommodation,Standard VAT-rate,2017,Jan.-Feb.,548.2
55 Accommodation,Standard VAT-rate,2017,March-April,574.4
55 Accommodation,Standard VAT-rate,2017,May-June,800.2
55 Accommodation,Standard VAT-rate,2017,July-August,779.4
55 Accommodation,Standard VAT-rate,2017,Sept.-Oct.,673.1
55 Accommodation,Standard VAT-rate,2017,Nov.-Dec.,769.9
55 Accommodation,Standard VAT-rate,2018,Jan.-Feb.,508.7
55 Accommodation,Standard VAT-rate,2018,March-April,664.8
55 Accommodation,Standard VAT-rate,2018,May-June,688.2
55 Accommodation,Standard VAT-rate,2018,July-August,831.8
55 Accommodation,Standard VAT-rate,2018,Sept.-Oct.,695.8
55 Accommodation,Standard VAT-rate,2018,Nov.-Dec.,959.7
55 Accommodation,Standard VAT-rate,2019,Jan.-Feb.,584.4
55 Accommodation,Standard VAT-rate,2019,March-April,594.1
55 Accommodation,Standard VAT-rate,2019,May-June,719.1
55 Accommodation,Standard VAT-rate,2019,July-August,794.6
55 Accommodation,Standard VAT-rate,2019,Sept.-Oct.,736.3
55 Accommodation,Standard VAT-rate,2019,Nov.-Dec.,853.9
55 Accommodation,Standard VAT-rate,2020,Jan.-Feb.,649.1
55 Accommodation,Standard VAT-rate,2020,March-April,457.9
55 Accommodation,Standard VAT-rate,2020,May-June,564.2
55 Accommodation,Standard VAT-rate,2020,July-August,620.8
