Atvinnugrein (ÍSAT2008),vsk-þrep,Ár,Tímabil,value
Total,Standard VAT-rate,2009,March-April,183989.8
Total,Standard VAT-rate,2009,May-June,220704.1
Total,Standard VAT-rate,2009,July-August,213626.7
Total,Standard VAT-rate,2009,Sept.-Oct.,214793.8
Total,Standard VAT-rate,2009,Nov.-Dec.,245336.3
Total,Standard VAT-rate,2010,Jan.-Feb.,170298.7
Total,Standard VAT-rate,2010,March-April,196862.8
Total,Standard VAT-rate,2010,May-June,229272.2
Total,Standard VAT-rate,2010,July-August,212956.7
Total,Standard VAT-rate,2010,Sept.-Oct.,207119.2
Total,Standard VAT-rate,2010,Nov.-Dec.,244181
Total,Standard VAT-rate,2011,Jan.-Feb.,173506.4
Total,Standard VAT-rate,2011,March-April,196336.6
Total,Standard VAT-rate,2011,May-June,237387
Total,Standard VAT-rate,2011,July-August,225963.2
Total,Standard VAT-rate,2011,Sept.-Oct.,221646.2
Total,Standard VAT-rate,2011,Nov.-Dec.,263969.4
Total,Standard VAT-rate,2012,Jan.-Feb.,193539.5
Total,Standard VAT-rate,2012,March-April,215924
Total,Standard VAT-rate,2012,May-June,264481.1
Total,Standard VAT-rate,2012,July-August,238254.7
Total,Standard VAT-rate,2012,Sept.-Oct.,236995.3
Total,Standard VAT-rate,2012,Nov.-Dec.,277775.5
Total,Standard VAT-rate,2013,Jan.-Feb.,209056.3
Total,Standard VAT-rate,2013,March-April,228510.9
Total,Standard VAT-rate,2013,May-June,271263.1
Total,Standard VAT-rate,2013,July-August,253277.4
Total,Standard VAT-rate,2013,Sept.-Oct.,252437.9
Total,Standard VAT-rate,2013,Nov.-Dec.,287081.3
Total,Standard VAT-rate,2014,Jan.-Feb.,216653.3
Total,Standard VAT-rate,2014,March-April,238529.4
Total,Standard VAT-rate,2014,May-June,298496.7
Total,Standard VAT-rate,2014,July-August,266958.7
Total,Standard VAT-rate,2014,Sept.-Oct.,270235.9
Total,Standard VAT-rate,2014,Nov.-Dec.,306989.7
Total,Standard VAT-rate,2015,Jan.-Feb.,233486.6
Total,Standard VAT-rate,2015,March-April,265130.4
Total,Standard VAT-rate,2015,May-June,328726
Total,Standard VAT-rate,2015,July-August,297965.3
Total,Standard VAT-rate,2015,Sept.-Oct.,299450.5
Total,Standard VAT-rate,2015,Nov.-Dec.,349478
Total,Standard VAT-rate,2016,Jan.-Feb.,252224.3
Total,Standard VAT-rate,2016,March-April,292810.1
Total,Standard VAT-rate,2016,May-June,362242.4
Total,Standard VAT-rate,2016,July-August,329737.4
Total,Standard VAT-rate,2016,Sept.-Oct.,317729.4
Total,Standard VAT-rate,2016,Nov.-Dec.,370552.4
Total,Standard VAT-rate,2017,Jan.-Feb.,270116.8
Total,Standard VAT-rate,2017,March-April,307768.1
Total,Standard VAT-rate,2017,May-June,387076.4
Total,Standard VAT-rate,2017,July-August,344019.9
Total,Standard VAT-rate,2017,Sept.-Oct.,349769.2
Total,Standard VAT-rate,2017,Nov.-Dec.,396207.5
Total,Standard VAT-rate,2018,Jan.-Feb.,298874.9
Total,Standard VAT-rate,2018,March-April,333420.9
Total,Standard VAT-rate,2018,May-June,398426.5
Total,Standard VAT-rate,2018,July-August,374460.3
Total,Standard VAT-rate,2018,Sept.-Oct.,373766.8
Total,Standard VAT-rate,2018,Nov.-Dec.,417343.5
Total,Standard VAT-rate,2019,Jan.-Feb.,316571.1
Total,Standard VAT-rate,2019,March-April,344410.8
Total,Standard VAT-rate,2019,May-June,396298.1
Total,Standard VAT-rate,2019,July-August,381342.7
Total,Standard VAT-rate,2019,Sept.-Oct.,379322.1
Total,Standard VAT-rate,2019,Nov.-Dec.,411557.7
Total,Standard VAT-rate,2020,Jan.-Feb.,308625
Total,Standard VAT-rate,2020,March-April,320554.2
Total,Standard VAT-rate,2020,May-June,375115.8
Total,Standard VAT-rate,2020,July-August,374015.6
Total,Standard VAT-rate,2020,Sept.-Oct.,388974.1
Total,Standard VAT-rate,2020,Nov.-Dec.,435231
Total,Standard VAT-rate,2021,Jan.-Feb.,321444.6
Total,Standard VAT-rate,2021,March-April,377022.6
Total,Standard VAT-rate,2021,May-June,445938.1
Total,Standard VAT-rate,2021,July-August,442032.7
Total,Standard VAT-rate,2021,Sept.-Oct.,443593
Total,Standard VAT-rate,2021,Nov.-Dec.,535431.3
Total,Standard VAT-rate,2022,Jan.-Feb.,383093.3
Total,Standard VAT-rate,2022,March-April,460233.8
Total,Standard VAT-rate,2022,May-June,557936.6
Total,Standard VAT-rate,2022,July-August,523576.1
Total,Standard VAT-rate,2022,Sept.-Oct.,526535
Total,Standard VAT-rate,2022,Nov.-Dec.,615684.7
Total,Standard VAT-rate,2023,Jan.-Feb.,459251.3
Total,Standard VAT-rate,2023,March-April,523185.9
Total,Standard VAT-rate,2023,May-June,627487.8
Total,Standard VAT-rate,2023,July-August,562635.7
Total,Standard VAT-rate,2023,Sept.-Oct.,570476.1
Total,Standard VAT-rate,2023,Nov.-Dec.,643060.3
Total,Standard VAT-rate,2024,Jan.-Feb.,492159.5
Total,Standard VAT-rate,2024,March-April,561325.8
Total,Standard VAT-rate,2024,May-June,644559.6
Total,Standard VAT-rate,2024,July-August,604231.6
Total,Standard VAT-rate,2024,Sept.-Oct.,627472.7
Total,Standard VAT-rate,2024,Nov.-Dec.,703440
Total,Standard VAT-rate,2025,Jan.-Feb.,574778.9
Total,Standard VAT-rate,2025,March-April,591479.1
Total,Standard VAT-rate,2025,May-June,680706.9
Total,Standard VAT-rate,2025,July-August,634198.7
Total,Standard VAT-rate,2025,Sept.-Oct.,652710.3
Total,Standard VAT-rate,2025,Nov.-Dec.,
Total excluding agriculture and forestry,Total,2008,Jan.-Feb.,362195.5
Total excluding agriculture and forestry,Total,2008,March-April,433392.9
Total excluding agriculture and forestry,Total,2008,May-June,463692.4
Total excluding agriculture and forestry,Total,2008,July-August,464197.7
Total excluding agriculture and forestry,Total,2008,Sept.-Oct.,476403.1
Total excluding agriculture and forestry,Total,2008,Nov.-Dec.,485718.3
Total excluding agriculture and forestry,Total,2009,Jan.-Feb.,348052.4
Total excluding agriculture and forestry,Total,2009,March-April,386823.9
Total excluding agriculture and forestry,Total,2009,May-June,435407.3
Total excluding agriculture and forestry,Total,2009,July-August,455691.6
Total excluding agriculture and forestry,Total,2009,Sept.-Oct.,451889.6
Total excluding agriculture and forestry,Total,2009,Nov.-Dec.,486495
Total excluding agriculture and forestry,Total,2010,Jan.-Feb.,385460.2
Total excluding agriculture and forestry,Total,2010,March-April,451942.7
Total excluding agriculture and forestry,Total,2010,May-June,498817.1
Total excluding agriculture and forestry,Total,2010,July-August,473592.1
Total excluding agriculture and forestry,Total,2010,Sept.-Oct.,456786.4
Total excluding agriculture and forestry,Total,2010,Nov.-Dec.,501897.2
Total excluding agriculture and forestry,Total,2011,Jan.-Feb.,390039.5
Total excluding agriculture and forestry,Total,2011,March-April,447910.3
Total excluding agriculture and forestry,Total,2011,May-June,513340.9
Total excluding agriculture and forestry,Total,2011,July-August,532746.1
Total excluding agriculture and forestry,Total,2011,Sept.-Oct.,517395.8
Total excluding agriculture and forestry,Total,2011,Nov.-Dec.,528148.2
Total excluding agriculture and forestry,Total,2012,Jan.-Feb.,450985.1
Total excluding agriculture and forestry,Total,2012,March-April,499607.3
Total excluding agriculture and forestry,Total,2012,May-June,559627
Total excluding agriculture and forestry,Total,2012,July-August,552631.3
Total excluding agriculture and forestry,Total,2012,Sept.-Oct.,544326.1
Total excluding agriculture and forestry,Total,2012,Nov.-Dec.,556336.2
Total excluding agriculture and forestry,Total,2013,Jan.-Feb.,484175.3
Total excluding agriculture and forestry,Total,2013,March-April,509275.3
Total excluding agriculture and forestry,Total,2013,May-June,558383.2
Total excluding agriculture and forestry,Total,2013,July-August,581070
Total excluding agriculture and forestry,Total,2013,Sept.-Oct.,572796.4
Total excluding agriculture and forestry,Total,2013,Nov.-Dec.,580448.2
Total excluding agriculture and forestry,Total,2014,Jan.-Feb.,474533.4
Total excluding agriculture and forestry,Total,2014,March-April,515977.6
Total excluding agriculture and forestry,Total,2014,May-June,592284.6
Total excluding agriculture and forestry,Total,2014,July-August,599499.6
Total excluding agriculture and forestry,Total,2014,Sept.-Oct.,600334.6
Total excluding agriculture and forestry,Total,2014,Nov.-Dec.,620710.5
Total excluding agriculture and forestry,Total,2015,Jan.-Feb.,515324.8
Total excluding agriculture and forestry,Total,2015,March-April,590925.8
Total excluding agriculture and forestry,Total,2015,May-June,661699.3
Total excluding agriculture and forestry,Total,2015,July-August,654055.9
Total excluding agriculture and forestry,Total,2015,Sept.-Oct.,627663.6
Total excluding agriculture and forestry,Total,2015,Nov.-Dec.,667970.5
Total excluding agriculture and forestry,Total,2016,Jan.-Feb.,538814.6
Total excluding agriculture and forestry,Total,2016,March-April,625197.3
Total excluding agriculture and forestry,Total,2016,May-June,728731.3
Total excluding agriculture and forestry,Total,2016,July-August,738880
Total excluding agriculture and forestry,Total,2016,Sept.-Oct.,681616.9
Total excluding agriculture and forestry,Total,2016,Nov.-Dec.,684129
Total excluding agriculture and forestry,Total,2017,Jan.-Feb.,546079
Total excluding agriculture and forestry,Total,2017,March-April,646775.7
