Menntun,Kyn,Starfsstétt,Ár,value
Total,Males and females,Total,1991,136900
Total,Males and females,Total,1992,136800
Total,Males and females,Total,1993,136600
Total,Males and females,Total,1994,137700
Total,Males and females,Total,1995,141800
Total,Males and females,Total,1996,142000
Total,Males and females,Total,1997,142000
Total,Males and females,Total,1998,147900
Total,Males and females,Total,1999,153300
Total,Males and females,Total,2000,156400
Total,Males and females,Total,2001,159000
Total,Males and females,Total,2002,156700
Total,Males and females,Total,2003,153400
Total,Males and females,Total,2004,153400
Total,Males and females,Total,2005,158600
Total,Males and females,Total,2006,165400
Total,Males and females,Total,2007,172500
Total,Males and females,Total,2008,173700
Total,Males and females,Total,2009,162800
Total,Males and females,Total,2010,162300
Total,Males and females,Total,2011,161800
Total,Males and females,Total,2012,164800
Total,Males and females,Total,2013,170300
Total,Males and females,Total,2014,173600
Total,Males and females,Total,2015,180400
Total,Males and females,Total,2016,188800
Total,Males and females,Total,2017,192200
Total,Males and females,Total,2018,195900
Total,Males and females,Total,2019,196600
Total,Males and females,Total,2020,190300
Total,Males and females,Total,2021,197800
Total,Males and females,Total,2022,211600
Total,Males and females,Total,2023,219200
Total,Males and females,Total,2024,227300
Total,Males and females,Total,2025,224800
Total,Males and females,Legislators and managers,1991,11500
Total,Males and females,Legislators and managers,1992,12800
Total,Males and females,Legislators and managers,1993,12500
Total,Males and females,Legislators and managers,1994,11700
Total,Males and females,Legislators and managers,1995,11200
Total,Males and females,Legislators and managers,1996,10400
Total,Males and females,Legislators and managers,1997,10800
Total,Males and females,Legislators and managers,1998,11400
Total,Males and females,Legislators and managers,1999,10300
Total,Males and females,Legislators and managers,2000,9900
Total,Males and females,Legislators and managers,2001,12400
Total,Males and females,Legislators and managers,2002,12700
Total,Males and females,Legislators and managers,2003,10000
Total,Males and females,Legislators and managers,2004,11500
Total,Males and females,Legislators and managers,2005,11700
Total,Males and females,Legislators and managers,2006,13900
Total,Males and females,Legislators and managers,2007,15900
Total,Males and females,Legislators and managers,2008,16500
Total,Males and females,Legislators and managers,2009,16200
Total,Males and females,Legislators and managers,2010,14100
Total,Males and females,Legislators and managers,2011,14200
Total,Males and females,Legislators and managers,2012,16200
Total,Males and females,Legislators and managers,2013,17900
Total,Males and females,Legislators and managers,2014,16200
Total,Males and females,Legislators and managers,2015,16300
Total,Males and females,Legislators and managers,2016,18300
Total,Males and females,Legislators and managers,2017,18800
Total,Males and females,Legislators and managers,2018,19000
Total,Males and females,Legislators and managers,2019,21000
Total,Males and females,Legislators and managers,2020,23700
Total,Males and females,Legislators and managers,2021,25700
Total,Males and females,Legislators and managers,2022,26800
Total,Males and females,Legislators and managers,2023,27900
Total,Males and females,Legislators and managers,2024,30000
Total,Males and females,Legislators and managers,2025,28000
Total,Males and females,Professionals,1991,16200
Total,Males and females,Professionals,1992,16200
Total,Males and females,Professionals,1993,16000
Total,Males and females,Professionals,1994,17200
Total,Males and females,Professionals,1995,18900
Total,Males and females,Professionals,1996,19600
Total,Males and females,Professionals,1997,18300
Total,Males and females,Professionals,1998,18700
Total,Males and females,Professionals,1999,21500
Total,Males and females,Professionals,2000,21300
Total,Males and females,Professionals,2001,23300
Total,Males and females,Professionals,2002,25100
Total,Males and females,Professionals,2003,25700
Total,Males and females,Professionals,2004,23700
Total,Males and females,Professionals,2005,27100
Total,Males and females,Professionals,2006,28600
Total,Males and females,Professionals,2007,29300
Total,Males and females,Professionals,2008,33700
Total,Males and females,Professionals,2009,32800
Total,Males and females,Professionals,2010,33000
Total,Males and females,Professionals,2011,32500
Total,Males and females,Professionals,2012,33600
Total,Males and females,Professionals,2013,33900
Total,Males and females,Professionals,2014,35600
Total,Males and females,Professionals,2015,38900
Total,Males and females,Professionals,2016,42000
Total,Males and females,Professionals,2017,42300
Total,Males and females,Professionals,2018,44300
Total,Males and females,Professionals,2019,45500
Total,Males and females,Professionals,2020,43500
Total,Males and females,Professionals,2021,46600
Total,Males and females,Professionals,2022,49500
Total,Males and females,Professionals,2023,54900
Total,Males and females,Professionals,2024,58700
Total,Males and females,Professionals,2025,54200
Total,Males and females,Associate professionals,1991,15300
Total,Males and females,Associate professionals,1992,15200
Total,Males and females,Associate professionals,1993,16900
Total,Males and females,Associate professionals,1994,16800
Total,Males and females,Associate professionals,1995,18100
Total,Males and females,Associate professionals,1996,19700
Total,Males and females,Associate professionals,1997,21300
Total,Males and females,Associate professionals,1998,20500
Total,Males and females,Associate professionals,1999,19700
Total,Males and females,Associate professionals,2000,22000
Total,Males and females,Associate professionals,2001,22500
Total,Males and females,Associate professionals,2002,21800
Total,Males and females,Associate professionals,2003,21100
Total,Males and females,Associate professionals,2004,24700
Total,Males and females,Associate professionals,2005,25100
Total,Males and females,Associate professionals,2006,25200
Total,Males and females,Associate professionals,2007,27200
Total,Males and females,Associate professionals,2008,28400
Total,Males and females,Associate professionals,2009,28000
Total,Males and females,Associate professionals,2010,28400
Total,Males and females,Associate professionals,2011,24800
Total,Males and females,Associate professionals,2012,24600
Total,Males and females,Associate professionals,2013,25400
Total,Males and females,Associate professionals,2014,24900
Total,Males and females,Associate professionals,2015,26100
Total,Males and females,Associate professionals,2016,28300
Total,Males and females,Associate professionals,2017,29000
Total,Males and females,Associate professionals,2018,28200
Total,Males and females,Associate professionals,2019,26400
Total,Males and females,Associate professionals,2020,27500
Total,Males and females,Associate professionals,2021,31000
Total,Males and females,Associate professionals,2022,34100
Total,Males and females,Associate professionals,2023,34200
Total,Males and females,Associate professionals,2024,36000
Total,Males and females,Associate professionals,2025,33800
Total,Males and females,Clerks,1991,13400
Total,Males and females,Clerks,1992,13400
Total,Males and females,Clerks,1993,12900
Total,Males and females,Clerks,1994,12500
Total,Males and females,Clerks,1995,12700
Total,Males and females,Clerks,1996,12400
Total,Males and females,Clerks,1997,12300
Total,Males and females,Clerks,1998,13100
Total,Males and females,Clerks,1999,13900
Total,Males and females,Clerks,2000,13900
Total,Males and females,Clerks,2001,13200
Total,Males and females,Clerks,2002,12600
Total,Males and females,Clerks,2003,13100
Total,Males and females,Clerks,2004,11100
Total,Males and females,Clerks,2005,12200
Total,Males and females,Clerks,2006,12200
Total,Males and females,Clerks,2007,11400
Total,Males and females,Clerks,2008,10100
Total,Males and females,Clerks,2009,9100
Total,Males and females,Clerks,2010,8400
Total,Males and females,Clerks,2011,7600
Total,Males and females,Clerks,2012,7300
Total,Males and females,Clerks,2013,6500
Total,Males and females,Clerks,2014,6800
Total,Males and females,Clerks,2015,6900
Total,Males and females,Clerks,2016,8600
Total,Males and females,Clerks,2017,10200
Total,Males and females,Clerks,2018,9300
Total,Males and females,Clerks,2019,9500
Total,Males and females,Clerks,2020,8100
Total,Males and females,Clerks,2021,7500
Total,Males and females,Clerks,2022,8400
Total,Males and females,Clerks,2023,8900
Total,Males and females,Clerks,2024,9600
Total,Males and females,Clerks,2025,9000
Total,Males and females,Service and sales workers,1991,25700
Total,Males and females,Service and sales workers,1992,25300
Total,Males and females,Service and sales workers,1993,24100
Total,Males and females,Service and sales workers,1994,23900
Total,Males and females,Service and sales workers,1995,25600
Total,Males and females,Service and sales workers,1996,26000
Total,Males and females,Service and sales workers,1997,25800
Total,Males and females,Service and sales workers,1998,28000
Total,Males and females,Service and sales workers,1999,31900
Total,Males and females,Service and sales workers,2000,32200
Total,Males and females,Service and sales workers,2001,32000
Total,Males and females,Service and sales workers,2002,30800
Total,Males and females,Service and sales workers,2003,31000
Total,Males and females,Service and sales workers,2004,29300
Total,Males and females,Service and sales workers,2005,31700
Total,Males and females,Service and sales workers,2006,32700
Total,Males and females,Service and sales workers,2007,35700
Total,Males and females,Service and sales workers,2008,34100
Total,Males and females,Service and sales workers,2009,31600
Total,Males and females,Service and sales workers,2010,33400
Total,Males and females,Service and sales workers,2011,36100
Total,Males and females,Service and sales workers,2012,35800
Total,Males and females,Service and sales workers,2013,38600
Total,Males and females,Service and sales workers,2014,40200
Total,Males and females,Service and sales workers,2015,42200
Total,Males and females,Service and sales workers,2016,42400
Total,Males and females,Service and sales workers,2017,43100
Total,Males and females,Service and sales workers,2018,47200
Total,Males and females,Service and sales workers,2019,47200
Total,Males and females,Service and sales workers,2020,42200
Total,Males and females,Service and sales workers,2021,42100
Total,Males and females,Service and sales workers,2022,43900
Total,Males and females,Service and sales workers,2023,44600
Total,Males and females,Service and sales workers,2024,44500
Total,Males and females,Service and sales workers,2025,50000
Total,Males and females,Agricultural and fishery workers,1991,11500
Total,Males and females,Agricultural and fishery workers,1992,12200
Total,Males and females,Agricultural and fishery workers,1993,10500
Total,Males and females,Agricultural and fishery workers,1994,10100
Total,Males and females,Agricultural and fishery workers,1995,10400
Total,Males and females,Agricultural and fishery workers,1996,10000
Total,Males and females,Agricultural and fishery workers,1997,8800
Total,Males and females,Agricultural and fishery workers,1998,9700
Total,Males and females,Agricultural and fishery workers,1999,10200
Total,Males and females,Agricultural and fishery workers,2000,10300
Total,Males and females,Agricultural and fishery workers,2001,9400
Total,Males and females,Agricultural and fishery workers,2002,9000
Total,Males and females,Agricultural and fishery workers,2003,8000
Total,Males and females,Agricultural and fishery workers,2004,7300
Total,Males and females,Agricultural and fishery workers,2005,8200
Total,Males and females,Agricultural and fishery workers,2006,8300
Total,Males and females,Agricultural and fishery workers,2007,7300
Total,Males and females,Agricultural and fishery workers,2008,6700
Total,Males and females,Agricultural and fishery workers,2009,6600
Total,Males and females,Agricultural and fishery workers,2010,7500
Total,Males and females,Agricultural and fishery workers,2011,7900
Total,Males and females,Agricultural and fishery workers,2012,7300
Total,Males and females,Agricultural and fishery workers,2013,6700
Total,Males and females,Agricultural and fishery workers,2014,7000
Total,Males and females,Agricultural and fishery workers,2015,6500
Total,Males and females,Agricultural and fishery workers,2016,6100
Total,Males and females,Agricultural and fishery workers,2017,5700
Total,Males and females,Agricultural and fishery workers,2018,5600
Total,Males and females,Agricultural and fishery workers,2019,6000
Total,Males and females,Agricultural and fishery workers,2020,6100
Total,Males and females,Agricultural and fishery workers,2021,5300
Total,Males and females,Agricultural and fishery workers,2022,6400
Total,Males and females,Agricultural and fishery workers,2023,6000
Total,Males and females,Agricultural and fishery workers,2024,6000
Total,Males and females,Agricultural and fishery workers,2025,6200
Total,Males and females,Craft and related trades workers,1991,23100
Total,Males and females,Craft and related trades workers,1992,21700
Total,Males and females,Craft and related trades workers,1993,23400
Total,Males and females,Craft and related trades workers,1994,24200
Total,Males and females,Craft and related trades workers,1995,24800
Total,Males and females,Craft and related trades workers,1996,23400
Total,Males and females,Craft and related trades workers,1997,22400
Total,Males and females,Craft and related trades workers,1998,23800
Total,Males and females,Craft and related trades workers,1999,24400
Total,Males and females,Craft and related trades workers,2000,24200
Total,Males and females,Craft and related trades workers,2001,24200
Total,Males and females,Craft and related trades workers,2002,22500
Total,Males and females,Craft and related trades workers,2003,21900
Total,Males and females,Craft and related trades workers,2004,21100
Total,Males and females,Craft and related trades workers,2005,20400
Total,Males and females,Craft and related trades workers,2006,21700
Total,Males and females,Craft and related trades workers,2007,21300
Total,Males and females,Craft and related trades workers,2008,21700
Total,Males and females,Craft and related trades workers,2009,18900
Total,Males and females,Craft and related trades workers,2010,19800
Total,Males and females,Craft and related trades workers,2011,20500
Total,Males and females,Craft and related trades workers,2012,19800
Total,Males and females,Craft and related trades workers,2013,20200
Total,Males and females,Craft and related trades workers,2014,20000
Total,Males and females,Craft and related trades workers,2015,20600
Total,Males and females,Craft and related trades workers,2016,20100
Total,Males and females,Craft and related trades workers,2017,20600
Total,Males and females,Craft and related trades workers,2018,21100
Total,Males and females,Craft and related trades workers,2019,19800
Total,Males and females,Craft and related trades workers,2020,18800
Total,Males and females,Craft and related trades workers,2021,20100
Total,Males and females,Craft and related trades workers,2022,20200
Total,Males and females,Craft and related trades workers,2023,20000
Total,Males and females,Craft and related trades workers,2024,20900
Total,Males and females,Craft and related trades workers,2025,21300
Total,Males and females,Plant and machine operators,1991,8400
Total,Males and females,Plant and machine operators,1992,8700
Total,Males and females,Plant and machine operators,1993,10500
Total,Males and females,Plant and machine operators,1994,11100
Total,Males and females,Plant and machine operators,1995,9000
Total,Males and females,Plant and machine operators,1996,9300
Total,Males and females,Plant and machine operators,1997,9600
Total,Males and females,Plant and machine operators,1998,9700
Total,Males and females,Plant and machine operators,1999,9500
Total,Males and females,Plant and machine operators,2000,10600
Total,Males and females,Plant and machine operators,2001,10200
Total,Males and females,Plant and machine operators,2002,9800
Total,Males and females,Plant and machine operators,2003,8200
Total,Males and females,Plant and machine operators,2004,9900
Total,Males and females,Plant and machine operators,2005,9500
Total,Males and females,Plant and machine operators,2006,9300
Total,Males and females,Plant and machine operators,2007,9500
Total,Males and females,Plant and machine operators,2008,9300
Total,Males and females,Plant and machine operators,2009,8500
Total,Males and females,Plant and machine operators,2010,7600
Total,Males and females,Plant and machine operators,2011,8100
Total,Males and females,Plant and machine operators,2012,8100
Total,Males and females,Plant and machine operators,2013,8400
Total,Males and females,Plant and machine operators,2014,8400
Total,Males and females,Plant and machine operators,2015,9200
Total,Males and females,Plant and machine operators,2016,9300
Total,Males and females,Plant and machine operators,2017,10200
Total,Males and females,Plant and machine operators,2018,10000
Total,Males and females,Plant and machine operators,2019,10000
Total,Males and females,Plant and machine operators,2020,9400
Total,Males and females,Plant and machine operators,2021,8500
Total,Males and females,Plant and machine operators,2022,10300
Total,Males and females,Plant and machine operators,2023,10900
Total,Males and females,Plant and machine operators,2024,9400
Total,Males and females,Plant and machine operators,2025,9800
Total,Males and females,Elementary occupations,1991,11800
Total,Males and females,Elementary occupations,1992,11200
Total,Males and females,Elementary occupations,1993,9900
Total,Males and females,Elementary occupations,1994,10000
Total,Males and females,Elementary occupations,1995,11100
Total,Males and females,Elementary occupations,1996,11200
Total,Males and females,Elementary occupations,1997,12700
Total,Males and females,Elementary occupations,1998,13000
Total,Males and females,Elementary occupations,1999,12000
Total,Males and females,Elementary occupations,2000,11900
Total,Males and females,Elementary occupations,2001,12000
Total,Males and females,Elementary occupations,2002,12500
Total,Males and females,Elementary occupations,2003,14300
Total,Males and females,Elementary occupations,2004,14800
Total,Males and females,Elementary occupations,2005,12700
Total,Males and females,Elementary occupations,2006,13400
Total,Males and females,Elementary occupations,2007,14700
Total,Males and females,Elementary occupations,2008,13200
Total,Males and females,Elementary occupations,2009,11100
Total,Males and females,Elementary occupations,2010,10100
Total,Males and females,Elementary occupations,2011,10200
Total,Males and females,Elementary occupations,2012,12100
Total,Males and females,Elementary occupations,2013,12700
Total,Males and females,Elementary occupations,2014,14500
Total,Males and females,Elementary occupations,2015,13800
Total,Males and females,Elementary occupations,2016,13600
Total,Males and females,Elementary occupations,2017,12300
Total,Males and females,Elementary occupations,2018,11200
Total,Males and females,Elementary occupations,2019,11300
Total,Males and females,Elementary occupations,2020,10900
Total,Males and females,Elementary occupations,2021,11100
Total,Males and females,Elementary occupations,2022,12000
Total,Males and females,Elementary occupations,2023,11800
Total,Males and females,Elementary occupations,2024,12200
Total,Males and females,Elementary occupations,2025,12600
Primary and lower sedondary (ISCED 1+2),Males and females,Total,1991,57300
Primary and lower sedondary (ISCED 1+2),Males and females,Total,1992,57800
Primary and lower sedondary (ISCED 1+2),Males and females,Total,1993,56500
Primary and lower sedondary (ISCED 1+2),Males and females,Total,1994,54500
Primary and lower sedondary (ISCED 1+2),Males and females,Total,1995,53900
Primary and lower sedondary (ISCED 1+2),Males and females,Total,1996,55700
Primary and lower sedondary (ISCED 1+2),Males and females,Total,1997,59200
Primary and lower sedondary (ISCED 1+2),Males and females,Total,1998,62900
Primary and lower sedondary (ISCED 1+2),Males and females,Total,1999,65500
Primary and lower sedondary (ISCED 1+2),Males and females,Total,2000,68000
Primary and lower sedondary (ISCED 1+2),Males and females,Total,2001,66500
Primary and lower sedondary (ISCED 1+2),Males and females,Total,2002,60300
Primary and lower sedondary (ISCED 1+2),Males and females,Total,2003,58500
Primary and lower sedondary (ISCED 1+2),Males and females,Total,2004,57500
Primary and lower sedondary (ISCED 1+2),Males and females,Total,2005,58700
Primary and lower sedondary (ISCED 1+2),Males and females,Total,2006,61100
Primary and lower sedondary (ISCED 1+2),Males and females,Total,2007,62200
Primary and lower sedondary (ISCED 1+2),Males and females,Total,2008,64500
Primary and lower sedondary (ISCED 1+2),Males and females,Total,2009,56700
Primary and lower sedondary (ISCED 1+2),Males and females,Total,2010,55700
Primary and lower sedondary (ISCED 1+2),Males and females,Total,2011,54700
Primary and lower sedondary (ISCED 1+2),Males and females,Total,2012,53600
Primary and lower sedondary (ISCED 1+2),Males and females,Total,2013,54800
Primary and lower sedondary (ISCED 1+2),Males and females,Total,2014,54300
Primary and lower sedondary (ISCED 1+2),Males and females,Total,2015,54500
Primary and lower sedondary (ISCED 1+2),Males and females,Total,2016,51500
Primary and lower sedondary (ISCED 1+2),Males and females,Total,2017,51900
Primary and lower sedondary (ISCED 1+2),Males and females,Total,2018,52100
Primary and lower sedondary (ISCED 1+2),Males and females,Total,2019,48900
Primary and lower sedondary (ISCED 1+2),Males and females,Total,2020,45600
Primary and lower sedondary (ISCED 1+2),Males and females,Total,2021,42300
Primary and lower sedondary (ISCED 1+2),Males and females,Total,2022,47400
Primary and lower sedondary (ISCED 1+2),Males and females,Total,2023,46100
Primary and lower sedondary (ISCED 1+2),Males and females,Total,2024,48900
Primary and lower sedondary (ISCED 1+2),Males and females,Total,2025,52500
Primary and lower sedondary (ISCED 1+2),Males and females,Legislators and managers,1991,2500
Primary and lower sedondary (ISCED 1+2),Males and females,Legislators and managers,1992,3000
Primary and lower sedondary (ISCED 1+2),Males and females,Legislators and managers,1993,2900
Primary and lower sedondary (ISCED 1+2),Males and females,Legislators and managers,1994,2400
Primary and lower sedondary (ISCED 1+2),Males and females,Legislators and managers,1995,2000
Primary and lower sedondary (ISCED 1+2),Males and females,Legislators and managers,1996,2100
Primary and lower sedondary (ISCED 1+2),Males and females,Legislators and managers,1997,2500
Primary and lower sedondary (ISCED 1+2),Males and females,Legislators and managers,1998,2700
Primary and lower sedondary (ISCED 1+2),Males and females,Legislators and managers,1999,2200
Primary and lower sedondary (ISCED 1+2),Males and females,Legislators and managers,2000,2000
Primary and lower sedondary (ISCED 1+2),Males and females,Legislators and managers,2001,2000
Primary and lower sedondary (ISCED 1+2),Males and females,Legislators and managers,2002,1700
Primary and lower sedondary (ISCED 1+2),Males and females,Legislators and managers,2003,1600
Primary and lower sedondary (ISCED 1+2),Males and females,Legislators and managers,2004,2100
Primary and lower sedondary (ISCED 1+2),Males and females,Legislators and managers,2005,2300
Primary and lower sedondary (ISCED 1+2),Males and females,Legislators and managers,2006,2400
Primary and lower sedondary (ISCED 1+2),Males and females,Legislators and managers,2007,2500
Primary and lower sedondary (ISCED 1+2),Males and females,Legislators and managers,2008,3000
Primary and lower sedondary (ISCED 1+2),Males and females,Legislators and managers,2009,2900
Primary and lower sedondary (ISCED 1+2),Males and females,Legislators and managers,2010,2400
Primary and lower sedondary (ISCED 1+2),Males and females,Legislators and managers,2011,2400
Primary and lower sedondary (ISCED 1+2),Males and females,Legislators and managers,2012,2900
Primary and lower sedondary (ISCED 1+2),Males and females,Legislators and managers,2013,2900
Primary and lower sedondary (ISCED 1+2),Males and females,Legislators and managers,2014,2500
Primary and lower sedondary (ISCED 1+2),Males and females,Legislators and managers,2015,2000
Primary and lower sedondary (ISCED 1+2),Males and females,Legislators and managers,2016,2200
Primary and lower sedondary (ISCED 1+2),Males and females,Legislators and managers,2017,2400
Primary and lower sedondary (ISCED 1+2),Males and females,Legislators and managers,2018,2500
Primary and lower sedondary (ISCED 1+2),Males and females,Legislators and managers,2019,2900
Primary and lower sedondary (ISCED 1+2),Males and females,Legislators and managers,2020,2800
Primary and lower sedondary (ISCED 1+2),Males and females,Legislators and managers,2021,2900
Primary and lower sedondary (ISCED 1+2),Males and females,Legislators and managers,2022,3400
Primary and lower sedondary (ISCED 1+2),Males and females,Legislators and managers,2023,3600
Primary and lower sedondary (ISCED 1+2),Males and females,Legislators and managers,2024,4400
Primary and lower sedondary (ISCED 1+2),Males and females,Legislators and managers,2025,4500
Primary and lower sedondary (ISCED 1+2),Males and females,Professionals,1991,400
Primary and lower sedondary (ISCED 1+2),Males and females,Professionals,1992,400
Primary and lower sedondary (ISCED 1+2),Males and females,Professionals,1993,400
Primary and lower sedondary (ISCED 1+2),Males and females,Professionals,1994,400
Primary and lower sedondary (ISCED 1+2),Males and females,Professionals,1995,500
Primary and lower sedondary (ISCED 1+2),Males and females,Professionals,1996,400
Primary and lower sedondary (ISCED 1+2),Males and females,Professionals,1997,500
Primary and lower sedondary (ISCED 1+2),Males and females,Professionals,1998,500
Primary and lower sedondary (ISCED 1+2),Males and females,Professionals,1999,700
Primary and lower sedondary (ISCED 1+2),Males and females,Professionals,2000,300
Primary and lower sedondary (ISCED 1+2),Males and females,Professionals,2001,600
Primary and lower sedondary (ISCED 1+2),Males and females,Professionals,2002,800
Primary and lower sedondary (ISCED 1+2),Males and females,Professionals,2003,600
Primary and lower sedondary (ISCED 1+2),Males and females,Professionals,2004,500
Primary and lower sedondary (ISCED 1+2),Males and females,Professionals,2005,500
Primary and lower sedondary (ISCED 1+2),Males and females,Professionals,2006,600
Primary and lower sedondary (ISCED 1+2),Males and females,Professionals,2007,900
Primary and lower sedondary (ISCED 1+2),Males and females,Professionals,2008,1200
Primary and lower sedondary (ISCED 1+2),Males and females,Professionals,2009,1100
Primary and lower sedondary (ISCED 1+2),Males and females,Professionals,2010,1000
Primary and lower sedondary (ISCED 1+2),Males and females,Professionals,2011,800
Primary and lower sedondary (ISCED 1+2),Males and females,Professionals,2012,900
Primary and lower sedondary (ISCED 1+2),Males and females,Professionals,2013,1100
Primary and lower sedondary (ISCED 1+2),Males and females,Professionals,2014,1100
Primary and lower sedondary (ISCED 1+2),Males and females,Professionals,2015,1100
Primary and lower sedondary (ISCED 1+2),Males and females,Professionals,2016,1100
Primary and lower sedondary (ISCED 1+2),Males and females,Professionals,2017,1000
Primary and lower sedondary (ISCED 1+2),Males and females,Professionals,2018,1200
Primary and lower sedondary (ISCED 1+2),Males and females,Professionals,2019,800
Primary and lower sedondary (ISCED 1+2),Males and females,Professionals,2020,800
Primary and lower sedondary (ISCED 1+2),Males and females,Professionals,2021,800
Primary and lower sedondary (ISCED 1+2),Males and females,Professionals,2022,900
Primary and lower sedondary (ISCED 1+2),Males and females,Professionals,2023,1400
Primary and lower sedondary (ISCED 1+2),Males and females,Professionals,2024,1400
Primary and lower sedondary (ISCED 1+2),Males and females,Professionals,2025,1100
Primary and lower sedondary (ISCED 1+2),Males and females,Associate professionals,1991,2900
Primary and lower sedondary (ISCED 1+2),Males and females,Associate professionals,1992,3300
Primary and lower sedondary (ISCED 1+2),Males and females,Associate professionals,1993,3600
Primary and lower sedondary (ISCED 1+2),Males and females,Associate professionals,1994,3300
Primary and lower sedondary (ISCED 1+2),Males and females,Associate professionals,1995,3500
Primary and lower sedondary (ISCED 1+2),Males and females,Associate professionals,1996,4300
Primary and lower sedondary (ISCED 1+2),Males and females,Associate professionals,1997,5100
Primary and lower sedondary (ISCED 1+2),Males and females,Associate professionals,1998,4800
Primary and lower sedondary (ISCED 1+2),Males and females,Associate professionals,1999,4300
Primary and lower sedondary (ISCED 1+2),Males and females,Associate professionals,2000,5400
Primary and lower sedondary (ISCED 1+2),Males and females,Associate professionals,2001,6100
Primary and lower sedondary (ISCED 1+2),Males and females,Associate professionals,2002,5100
Primary and lower sedondary (ISCED 1+2),Males and females,Associate professionals,2003,4200
Primary and lower sedondary (ISCED 1+2),Males and females,Associate professionals,2004,5000
Primary and lower sedondary (ISCED 1+2),Males and females,Associate professionals,2005,5400
Primary and lower sedondary (ISCED 1+2),Males and females,Associate professionals,2006,5600
Primary and lower sedondary (ISCED 1+2),Males and females,Associate professionals,2007,6000
Primary and lower sedondary (ISCED 1+2),Males and females,Associate professionals,2008,7400
Primary and lower sedondary (ISCED 1+2),Males and females,Associate professionals,2009,7800
Primary and lower sedondary (ISCED 1+2),Males and females,Associate professionals,2010,7700
Primary and lower sedondary (ISCED 1+2),Males and females,Associate professionals,2011,6600
Primary and lower sedondary (ISCED 1+2),Males and females,Associate professionals,2012,6300
Primary and lower sedondary (ISCED 1+2),Males and females,Associate professionals,2013,6300
Primary and lower sedondary (ISCED 1+2),Males and females,Associate professionals,2014,6200
Primary and lower sedondary (ISCED 1+2),Males and females,Associate professionals,2015,6300
Primary and lower sedondary (ISCED 1+2),Males and females,Associate professionals,2016,5300
Primary and lower sedondary (ISCED 1+2),Males and females,Associate professionals,2017,4800
Primary and lower sedondary (ISCED 1+2),Males and females,Associate professionals,2018,4900
Primary and lower sedondary (ISCED 1+2),Males and females,Associate professionals,2019,4000
Primary and lower sedondary (ISCED 1+2),Males and females,Associate professionals,2020,4100
Primary and lower sedondary (ISCED 1+2),Males and females,Associate professionals,2021,4000
Primary and lower sedondary (ISCED 1+2),Males and females,Associate professionals,2022,4800
Primary and lower sedondary (ISCED 1+2),Males and females,Associate professionals,2023,4500
Primary and lower sedondary (ISCED 1+2),Males and females,Associate professionals,2024,4500
Primary and lower sedondary (ISCED 1+2),Males and females,Associate professionals,2025,4700
Primary and lower sedondary (ISCED 1+2),Males and females,Clerks,1991,6900
Primary and lower sedondary (ISCED 1+2),Males and females,Clerks,1992,7400
Primary and lower sedondary (ISCED 1+2),Males and females,Clerks,1993,6900
Primary and lower sedondary (ISCED 1+2),Males and females,Clerks,1994,6200
Primary and lower sedondary (ISCED 1+2),Males and females,Clerks,1995,6100
Primary and lower sedondary (ISCED 1+2),Males and females,Clerks,1996,5600
Primary and lower sedondary (ISCED 1+2),Males and females,Clerks,1997,6400
Primary and lower sedondary (ISCED 1+2),Males and females,Clerks,1998,7000
Primary and lower sedondary (ISCED 1+2),Males and females,Clerks,1999,7800
Primary and lower sedondary (ISCED 1+2),Males and females,Clerks,2000,7500
Primary and lower sedondary (ISCED 1+2),Males and females,Clerks,2001,6900
Primary and lower sedondary (ISCED 1+2),Males and females,Clerks,2002,6700
Primary and lower sedondary (ISCED 1+2),Males and females,Clerks,2003,7300
Primary and lower sedondary (ISCED 1+2),Males and females,Clerks,2004,5900
Primary and lower sedondary (ISCED 1+2),Males and females,Clerks,2005,5700
Primary and lower sedondary (ISCED 1+2),Males and females,Clerks,2006,5800
Primary and lower sedondary (ISCED 1+2),Males and females,Clerks,2007,5700
Primary and lower sedondary (ISCED 1+2),Males and females,Clerks,2008,5500
Primary and lower sedondary (ISCED 1+2),Males and females,Clerks,2009,4200
Primary and lower sedondary (ISCED 1+2),Males and females,Clerks,2010,3600
Primary and lower sedondary (ISCED 1+2),Males and females,Clerks,2011,3500
Primary and lower sedondary (ISCED 1+2),Males and females,Clerks,2012,3100
Primary and lower sedondary (ISCED 1+2),Males and females,Clerks,2013,2600
Primary and lower sedondary (ISCED 1+2),Males and females,Clerks,2014,2700
Primary and lower sedondary (ISCED 1+2),Males and females,Clerks,2015,2800
Primary and lower sedondary (ISCED 1+2),Males and females,Clerks,2016,3100
Primary and lower sedondary (ISCED 1+2),Males and females,Clerks,2017,3000
Primary and lower sedondary (ISCED 1+2),Males and females,Clerks,2018,2900
Primary and lower sedondary (ISCED 1+2),Males and females,Clerks,2019,2600
Primary and lower sedondary (ISCED 1+2),Males and females,Clerks,2020,1800
Primary and lower sedondary (ISCED 1+2),Males and females,Clerks,2021,1600
Primary and lower sedondary (ISCED 1+2),Males and females,Clerks,2022,1900
Primary and lower sedondary (ISCED 1+2),Males and females,Clerks,2023,2400
Primary and lower sedondary (ISCED 1+2),Males and females,Clerks,2024,2700
Primary and lower sedondary (ISCED 1+2),Males and females,Clerks,2025,2600
Primary and lower sedondary (ISCED 1+2),Males and females,Service and sales workers,1991,14500
