Kyn og landsvæði,Atvinnigrein (aðal- og aukastarf),Ár,Eining,value
Total,J - Information and communication,2004,Number (main and second job),7300
Total,J - Information and communication,2004,95% Conf.Int,700
Total,J - Information and communication,2005,Number (main and second job),7400
Total,J - Information and communication,2005,95% Conf.Int,700
Total,J - Information and communication,2006,Number (main and second job),7700
Total,J - Information and communication,2006,95% Conf.Int,700
Total,J - Information and communication,2007,Number (main and second job),8100
Total,J - Information and communication,2007,95% Conf.Int,700
Total,J - Information and communication,2008,Number (main and second job),7700
Total,J - Information and communication,2008,95% Conf.Int,700
Total,J - Information and communication,2009,Number (main and second job),8200
Total,J - Information and communication,2009,95% Conf.Int,800
Total,J - Information and communication,2010,Number (main and second job),7300
Total,J - Information and communication,2010,95% Conf.Int,700
Total,J - Information and communication,2011,Number (main and second job),7000
Total,J - Information and communication,2011,95% Conf.Int,700
Total,J - Information and communication,2012,Number (main and second job),7500
Total,J - Information and communication,2012,95% Conf.Int,700
Total,J - Information and communication,2013,Number (main and second job),7500
Total,J - Information and communication,2013,95% Conf.Int,700
Total,J - Information and communication,2014,Number (main and second job),8500
Total,J - Information and communication,2014,95% Conf.Int,800
Total,J - Information and communication,2015,Number (main and second job),9600
Total,J - Information and communication,2015,95% Conf.Int,900
Total,J - Information and communication,2016,Number (main and second job),10100
Total,J - Information and communication,2016,95% Conf.Int,900
Total,J - Information and communication,2017,Number (main and second job),10300
Total,J - Information and communication,2017,95% Conf.Int,1000
Total,J - Information and communication,2018,Number (main and second job),9700
Total,J - Information and communication,2018,95% Conf.Int,900
Total,J - Information and communication,2019,Number (main and second job),9200
Total,J - Information and communication,2019,95% Conf.Int,900
Total,J - Information and communication,2020,Number (main and second job),9800
Total,J - Information and communication,2020,95% Conf.Int,900
Total,J - Information and communication,2021,Number (main and second job),9500
Total,J - Information and communication,2021,95% Conf.Int,900
Total,J - Information and communication,2022,Number (main and second job),10400
Total,J - Information and communication,2022,95% Conf.Int,1000
Total,J - Information and communication,2023,Number (main and second job),11400
Total,J - Information and communication,2023,95% Conf.Int,1200
Total,J - Information and communication,2024,Number (main and second job),11300
Total,J - Information and communication,2024,95% Conf.Int,1200
Total,J - Information and communication,2025,Number (main and second job),10100
Total,J - Information and communication,2025,95% Conf.Int,1100
Total,K - Financial and insurance activities,1991,Number (main and second job),4900
Total,K - Financial and insurance activities,1991,95% Conf.Int,700
Total,K - Financial and insurance activities,1992,Number (main and second job),5200
Total,K - Financial and insurance activities,1992,95% Conf.Int,700
Total,K - Financial and insurance activities,1993,Number (main and second job),5200
Total,K - Financial and insurance activities,1993,95% Conf.Int,700
Total,K - Financial and insurance activities,1994,Number (main and second job),4600
Total,K - Financial and insurance activities,1994,95% Conf.Int,600
Total,K - Financial and insurance activities,1995,Number (main and second job),4800
Total,K - Financial and insurance activities,1995,95% Conf.Int,600
Total,K - Financial and insurance activities,1996,Number (main and second job),4600
Total,K - Financial and insurance activities,1996,95% Conf.Int,600
Total,K - Financial and insurance activities,1997,Number (main and second job),4300
Total,K - Financial and insurance activities,1997,95% Conf.Int,600
Total,K - Financial and insurance activities,1998,Number (main and second job),4700
Total,K - Financial and insurance activities,1998,95% Conf.Int,700
Total,K - Financial and insurance activities,1999,Number (main and second job),5800
Total,K - Financial and insurance activities,1999,95% Conf.Int,800
Total,K - Financial and insurance activities,2000,Number (main and second job),6700
Total,K - Financial and insurance activities,2000,95% Conf.Int,800
Total,K - Financial and insurance activities,2001,Number (main and second job),6700
Total,K - Financial and insurance activities,2001,95% Conf.Int,800
Total,K - Financial and insurance activities,2002,Number (main and second job),6200
Total,K - Financial and insurance activities,2002,95% Conf.Int,800
Total,K - Financial and insurance activities,2003,Number (main and second job),6100
Total,K - Financial and insurance activities,2003,95% Conf.Int,600
Total,K - Financial and insurance activities,2004,Number (main and second job),6900
Total,K - Financial and insurance activities,2004,95% Conf.Int,600
Total,K - Financial and insurance activities,2005,Number (main and second job),6700
Total,K - Financial and insurance activities,2005,95% Conf.Int,600
Total,K - Financial and insurance activities,2006,Number (main and second job),7500
Total,K - Financial and insurance activities,2006,95% Conf.Int,700
Total,K - Financial and insurance activities,2007,Number (main and second job),8700
Total,K - Financial and insurance activities,2007,95% Conf.Int,800
Total,K - Financial and insurance activities,2008,Number (main and second job),8900
Total,K - Financial and insurance activities,2008,95% Conf.Int,800
Total,K - Financial and insurance activities,2009,Number (main and second job),7900
Total,K - Financial and insurance activities,2009,95% Conf.Int,700
Total,K - Financial and insurance activities,2010,Number (main and second job),8000
Total,K - Financial and insurance activities,2010,95% Conf.Int,700
Total,K - Financial and insurance activities,2011,Number (main and second job),8100
Total,K - Financial and insurance activities,2011,95% Conf.Int,700
Total,K - Financial and insurance activities,2012,Number (main and second job),7100
Total,K - Financial and insurance activities,2012,95% Conf.Int,700
Total,K - Financial and insurance activities,2013,Number (main and second job),6700
Total,K - Financial and insurance activities,2013,95% Conf.Int,700
Total,K - Financial and insurance activities,2014,Number (main and second job),6500
Total,K - Financial and insurance activities,2014,95% Conf.Int,700
Total,K - Financial and insurance activities,2015,Number (main and second job),6200
Total,K - Financial and insurance activities,2015,95% Conf.Int,700
Total,K - Financial and insurance activities,2016,Number (main and second job),6200
Total,K - Financial and insurance activities,2016,95% Conf.Int,700
Total,K - Financial and insurance activities,2017,Number (main and second job),5600
Total,K - Financial and insurance activities,2017,95% Conf.Int,700
Total,K - Financial and insurance activities,2018,Number (main and second job),6200
Total,K - Financial and insurance activities,2018,95% Conf.Int,700
Total,K - Financial and insurance activities,2019,Number (main and second job),7000
Total,K - Financial and insurance activities,2019,95% Conf.Int,800
Total,K - Financial and insurance activities,2020,Number (main and second job),7400
Total,K - Financial and insurance activities,2020,95% Conf.Int,800
Total,K - Financial and insurance activities,2021,Number (main and second job),6700
Total,K - Financial and insurance activities,2021,95% Conf.Int,700
Total,K - Financial and insurance activities,2022,Number (main and second job),6300
Total,K - Financial and insurance activities,2022,95% Conf.Int,800
Total,K - Financial and insurance activities,2023,Number (main and second job),5500
Total,K - Financial and insurance activities,2023,95% Conf.Int,800
Total,K - Financial and insurance activities,2024,Number (main and second job),6300
Total,K - Financial and insurance activities,2024,95% Conf.Int,900
Total,K - Financial and insurance activities,2025,Number (main and second job),6900
Total,K - Financial and insurance activities,2025,95% Conf.Int,900
Total,L - Real estate activities,1991,Number (main and second job),400
Total,L - Real estate activities,1991,95% Conf.Int,200
Total,L - Real estate activities,1992,Number (main and second job),200
Total,L - Real estate activities,1992,95% Conf.Int,100
Total,L - Real estate activities,1993,Number (main and second job),200
Total,L - Real estate activities,1993,95% Conf.Int,100
Total,L - Real estate activities,1994,Number (main and second job),300
Total,L - Real estate activities,1994,95% Conf.Int,200
Total,L - Real estate activities,1995,Number (main and second job),500
Total,L - Real estate activities,1995,95% Conf.Int,200
Total,L - Real estate activities,1996,Number (main and second job),500
Total,L - Real estate activities,1996,95% Conf.Int,200
Total,L - Real estate activities,1997,Number (main and second job),600
Total,L - Real estate activities,1997,95% Conf.Int,200
Total,L - Real estate activities,1998,Number (main and second job),500
Total,L - Real estate activities,1998,95% Conf.Int,200
Total,L - Real estate activities,1999,Number (main and second job),400
Total,L - Real estate activities,1999,95% Conf.Int,200
Total,L - Real estate activities,2000,Number (main and second job),400
Total,L - Real estate activities,2000,95% Conf.Int,200
Total,L - Real estate activities,2001,Number (main and second job),400
Total,L - Real estate activities,2001,95% Conf.Int,200
Total,L - Real estate activities,2002,Number (main and second job),900
Total,L - Real estate activities,2002,95% Conf.Int,300
Total,L - Real estate activities,2003,Number (main and second job),800
Total,L - Real estate activities,2003,95% Conf.Int,200
Total,L - Real estate activities,2004,Number (main and second job),1000
Total,L - Real estate activities,2004,95% Conf.Int,300
Total,L - Real estate activities,2005,Number (main and second job),1300
Total,L - Real estate activities,2005,95% Conf.Int,300
Total,L - Real estate activities,2006,Number (main and second job),1100
Total,L - Real estate activities,2006,95% Conf.Int,300
Total,L - Real estate activities,2007,Number (main and second job),1500
Total,L - Real estate activities,2007,95% Conf.Int,300
Total,L - Real estate activities,2008,Number (main and second job),1400
Total,L - Real estate activities,2008,95% Conf.Int,300
Total,L - Real estate activities,2009,Number (main and second job),800
Total,L - Real estate activities,2009,95% Conf.Int,200
Total,L - Real estate activities,2010,Number (main and second job),800
Total,L - Real estate activities,2010,95% Conf.Int,200
Total,L - Real estate activities,2011,Number (main and second job),800
Total,L - Real estate activities,2011,95% Conf.Int,200
Total,L - Real estate activities,2012,Number (main and second job),1000
Total,L - Real estate activities,2012,95% Conf.Int,300
Total,L - Real estate activities,2013,Number (main and second job),900
Total,L - Real estate activities,2013,95% Conf.Int,200
Total,L - Real estate activities,2014,Number (main and second job),700
Total,L - Real estate activities,2014,95% Conf.Int,200
Total,L - Real estate activities,2015,Number (main and second job),1100
Total,L - Real estate activities,2015,95% Conf.Int,300
Total,L - Real estate activities,2016,Number (main and second job),1300
Total,L - Real estate activities,2016,95% Conf.Int,300
Total,L - Real estate activities,2017,Number (main and second job),1600
Total,L - Real estate activities,2017,95% Conf.Int,400
Total,L - Real estate activities,2018,Number (main and second job),1400
Total,L - Real estate activities,2018,95% Conf.Int,300
Total,L - Real estate activities,2019,Number (main and second job),1600
Total,L - Real estate activities,2019,95% Conf.Int,400
Total,L - Real estate activities,2020,Number (main and second job),1000
Total,L - Real estate activities,2020,95% Conf.Int,300
Total,L - Real estate activities,2021,Number (main and second job),1200
Total,L - Real estate activities,2021,95% Conf.Int,300
Total,L - Real estate activities,2022,Number (main and second job),1300
Total,L - Real estate activities,2022,95% Conf.Int,300
Total,L - Real estate activities,2023,Number (main and second job),1600
Total,L - Real estate activities,2023,95% Conf.Int,400
Total,L - Real estate activities,2024,Number (main and second job),2000
Total,L - Real estate activities,2024,95% Conf.Int,500
Total,L - Real estate activities,2025,Number (main and second job),2100
Total,L - Real estate activities,2025,95% Conf.Int,500
Total,M-N - Various specialiced activities,1991,Number (main and second job),6900
Total,M-N - Various specialiced activities,1991,95% Conf.Int,900
Total,M-N - Various specialiced activities,1992,Number (main and second job),6500
Total,M-N - Various specialiced activities,1992,95% Conf.Int,800
Total,M-N - Various specialiced activities,1993,Number (main and second job),6700
Total,M-N - Various specialiced activities,1993,95% Conf.Int,800
Total,M-N - Various specialiced activities,1994,Number (main and second job),7500
Total,M-N - Various specialiced activities,1994,95% Conf.Int,900
Total,M-N - Various specialiced activities,1995,Number (main and second job),7600
Total,M-N - Various specialiced activities,1995,95% Conf.Int,800
Total,M-N - Various specialiced activities,1996,Number (main and second job),7400
Total,M-N - Various specialiced activities,1996,95% Conf.Int,800
Total,M-N - Various specialiced activities,1997,Number (main and second job),7800
Total,M-N - Various specialiced activities,1997,95% Conf.Int,900
Total,M-N - Various specialiced activities,1998,Number (main and second job),8400
Total,M-N - Various specialiced activities,1998,95% Conf.Int,900
Total,M-N - Various specialiced activities,1999,Number (main and second job),9200
Total,M-N - Various specialiced activities,1999,95% Conf.Int,900
Total,M-N - Various specialiced activities,2000,Number (main and second job),10300
Total,M-N - Various specialiced activities,2000,95% Conf.Int,1000
Total,M-N - Various specialiced activities,2001,Number (main and second job),11000
Total,M-N - Various specialiced activities,2001,95% Conf.Int,1100
Total,M-N - Various specialiced activities,2002,Number (main and second job),10700
Total,M-N - Various specialiced activities,2002,95% Conf.Int,1000
Total,M-N - Various specialiced activities,2003,Number (main and second job),13600
Total,M-N - Various specialiced activities,2003,95% Conf.Int,900
Total,M-N - Various specialiced activities,2004,Number (main and second job),14000
Total,M-N - Various specialiced activities,2004,95% Conf.Int,900
Total,M-N - Various specialiced activities,2005,Number (main and second job),13600
Total,M-N - Various specialiced activities,2005,95% Conf.Int,900
Total,M-N - Various specialiced activities,2006,Number (main and second job),14800
Total,M-N - Various specialiced activities,2006,95% Conf.Int,1000
Total,M-N - Various specialiced activities,2007,Number (main and second job),15300
Total,M-N - Various specialiced activities,2007,95% Conf.Int,1000
Total,M-N - Various specialiced activities,2008,Number (main and second job),14700
Total,M-N - Various specialiced activities,2008,95% Conf.Int,1000
Total,M-N - Various specialiced activities,2009,Number (main and second job),14300
Total,M-N - Various specialiced activities,2009,95% Conf.Int,1000
Total,M-N - Various specialiced activities,2010,Number (main and second job),14700
Total,M-N - Various specialiced activities,2010,95% Conf.Int,1000
Total,M-N - Various specialiced activities,2011,Number (main and second job),15000
Total,M-N - Various specialiced activities,2011,95% Conf.Int,1000
Total,M-N - Various specialiced activities,2012,Number (main and second job),15500
Total,M-N - Various specialiced activities,2012,95% Conf.Int,1000
Total,M-N - Various specialiced activities,2013,Number (main and second job),16000
Total,M-N - Various specialiced activities,2013,95% Conf.Int,1100
Total,M-N - Various specialiced activities,2014,Number (main and second job),18000
Total,M-N - Various specialiced activities,2014,95% Conf.Int,1200
Total,M-N - Various specialiced activities,2015,Number (main and second job),18300
Total,M-N - Various specialiced activities,2015,95% Conf.Int,1200
Total,M-N - Various specialiced activities,2016,Number (main and second job),20500
Total,M-N - Various specialiced activities,2016,95% Conf.Int,1300
Total,M-N - Various specialiced activities,2017,Number (main and second job),22100
Total,M-N - Various specialiced activities,2017,95% Conf.Int,1500
Total,M-N - Various specialiced activities,2018,Number (main and second job),23500
Total,M-N - Various specialiced activities,2018,95% Conf.Int,1400
Total,M-N - Various specialiced activities,2019,Number (main and second job),22300
Total,M-N - Various specialiced activities,2019,95% Conf.Int,1400
Total,M-N - Various specialiced activities,2020,Number (main and second job),19800
Total,M-N - Various specialiced activities,2020,95% Conf.Int,1300
Total,M-N - Various specialiced activities,2021,Number (main and second job),18100
Total,M-N - Various specialiced activities,2021,95% Conf.Int,1300
Total,M-N - Various specialiced activities,2022,Number (main and second job),20000
Total,M-N - Various specialiced activities,2022,95% Conf.Int,1400
Total,M-N - Various specialiced activities,2023,Number (main and second job),22200
Total,M-N - Various specialiced activities,2023,95% Conf.Int,1700
Total,M-N - Various specialiced activities,2024,Number (main and second job),22700
Total,M-N - Various specialiced activities,2024,95% Conf.Int,1700
Total,M-N - Various specialiced activities,2025,Number (main and second job),22800
Total,M-N - Various specialiced activities,2025,95% Conf.Int,1700
Total,"M - Professional, scientific and technical activities",1991,Number (main and second job),5200
Total,"M - Professional, scientific and technical activities",1991,95% Conf.Int,800
Total,"M - Professional, scientific and technical activities",1992,Number (main and second job),4800
Total,"M - Professional, scientific and technical activities",1992,95% Conf.Int,700
Total,"M - Professional, scientific and technical activities",1993,Number (main and second job),4900
Total,"M - Professional, scientific and technical activities",1993,95% Conf.Int,700
Total,"M - Professional, scientific and technical activities",1994,Number (main and second job),5100
Total,"M - Professional, scientific and technical activities",1994,95% Conf.Int,700
Total,"M - Professional, scientific and technical activities",1995,Number (main and second job),5200
Total,"M - Professional, scientific and technical activities",1995,95% Conf.Int,700
Total,"M - Professional, scientific and technical activities",1996,Number (main and second job),4700
Total,"M - Professional, scientific and technical activities",1996,95% Conf.Int,700
Total,"M - Professional, scientific and technical activities",1997,Number (main and second job),4700
Total,"M - Professional, scientific and technical activities",1997,95% Conf.Int,700
Total,"M - Professional, scientific and technical activities",1998,Number (main and second job),5300
Total,"M - Professional, scientific and technical activities",1998,95% Conf.Int,700
Total,"M - Professional, scientific and technical activities",1999,Number (main and second job),6400
Total,"M - Professional, scientific and technical activities",1999,95% Conf.Int,800
Total,"M - Professional, scientific and technical activities",2000,Number (main and second job),6900
Total,"M - Professional, scientific and technical activities",2000,95% Conf.Int,800
Total,"M - Professional, scientific and technical activities",2001,Number (main and second job),7200
Total,"M - Professional, scientific and technical activities",2001,95% Conf.Int,900
Total,"M - Professional, scientific and technical activities",2002,Number (main and second job),7000
Total,"M - Professional, scientific and technical activities",2002,95% Conf.Int,800
Total,"M - Professional, scientific and technical activities",2003,Number (main and second job),8900
Total,"M - Professional, scientific and technical activities",2003,95% Conf.Int,700
Total,"M - Professional, scientific and technical activities",2004,Number (main and second job),8500
Total,"M - Professional, scientific and technical activities",2004,95% Conf.Int,700
Total,"M - Professional, scientific and technical activities",2005,Number (main and second job),8500
Total,"M - Professional, scientific and technical activities",2005,95% Conf.Int,700
Total,"M - Professional, scientific and technical activities",2006,Number (main and second job),9200
Total,"M - Professional, scientific and technical activities",2006,95% Conf.Int,800
Total,"M - Professional, scientific and technical activities",2007,Number (main and second job),9700
Total,"M - Professional, scientific and technical activities",2007,95% Conf.Int,800
Total,"M - Professional, scientific and technical activities",2008,Number (main and second job),9700
Total,"M - Professional, scientific and technical activities",2008,95% Conf.Int,800
Total,"M - Professional, scientific and technical activities",2009,Number (main and second job),9700
Total,"M - Professional, scientific and technical activities",2009,95% Conf.Int,800
Total,"M - Professional, scientific and technical activities",2010,Number (main and second job),10000
Total,"M - Professional, scientific and technical activities",2010,95% Conf.Int,800
Total,"M - Professional, scientific and technical activities",2011,Number (main and second job),10000
Total,"M - Professional, scientific and technical activities",2011,95% Conf.Int,800
Total,"M - Professional, scientific and technical activities",2012,Number (main and second job),9600
Total,"M - Professional, scientific and technical activities",2012,95% Conf.Int,800
Total,"M - Professional, scientific and technical activities",2013,Number (main and second job),9900
Total,"M - Professional, scientific and technical activities",2013,95% Conf.Int,800
Total,"M - Professional, scientific and technical activities",2014,Number (main and second job),10600
Total,"M - Professional, scientific and technical activities",2014,95% Conf.Int,900
Total,"M - Professional, scientific and technical activities",2015,Number (main and second job),11700
Total,"M - Professional, scientific and technical activities",2015,95% Conf.Int,900
Total,"M - Professional, scientific and technical activities",2016,Number (main and second job),12500
Total,"M - Professional, scientific and technical activities",2016,95% Conf.Int,1000
Total,"M - Professional, scientific and technical activities",2017,Number (main and second job),13600
Total,"M - Professional, scientific and technical activities",2017,95% Conf.Int,1100
Total,"M - Professional, scientific and technical activities",2018,Number (main and second job),14700
Total,"M - Professional, scientific and technical activities",2018,95% Conf.Int,1100
Total,"M - Professional, scientific and technical activities",2019,Number (main and second job),14300
Total,"M - Professional, scientific and technical activities",2019,95% Conf.Int,1100
Total,"M - Professional, scientific and technical activities",2020,Number (main and second job),13600
Total,"M - Professional, scientific and technical activities",2020,95% Conf.Int,1000
Total,"M - Professional, scientific and technical activities",2021,Number (main and second job),11900
Total,"M - Professional, scientific and technical activities",2021,95% Conf.Int,1000
Total,"M - Professional, scientific and technical activities",2022,Number (main and second job),12600
Total,"M - Professional, scientific and technical activities",2022,95% Conf.Int,1100
Total,"M - Professional, scientific and technical activities",2023,Number (main and second job),13100
Total,"M - Professional, scientific and technical activities",2023,95% Conf.Int,1200
Total,"M - Professional, scientific and technical activities",2024,Number (main and second job),14100
Total,"M - Professional, scientific and technical activities",2024,95% Conf.Int,1300
Total,"M - Professional, scientific and technical activities",2025,Number (main and second job),12200
Total,"M - Professional, scientific and technical activities",2025,95% Conf.Int,1200
Total,N - Administrative and support service activities,1991,Number (main and second job),1600
Total,N - Administrative and support service activities,1991,95% Conf.Int,400
Total,N - Administrative and support service activities,1992,Number (main and second job),1600
Total,N - Administrative and support service activities,1992,95% Conf.Int,400
Total,N - Administrative and support service activities,1993,Number (main and second job),1800
Total,N - Administrative and support service activities,1993,95% Conf.Int,400
Total,N - Administrative and support service activities,1994,Number (main and second job),2400
Total,N - Administrative and support service activities,1994,95% Conf.Int,500
Total,N - Administrative and support service activities,1995,Number (main and second job),2400
Total,N - Administrative and support service activities,1995,95% Conf.Int,500
Total,N - Administrative and support service activities,1996,Number (main and second job),2700
Total,N - Administrative and support service activities,1996,95% Conf.Int,500
Total,N - Administrative and support service activities,1997,Number (main and second job),3100
Total,N - Administrative and support service activities,1997,95% Conf.Int,500
Total,N - Administrative and support service activities,1998,Number (main and second job),3100
Total,N - Administrative and support service activities,1998,95% Conf.Int,500
Total,N - Administrative and support service activities,1999,Number (main and second job),2800
Total,N - Administrative and support service activities,1999,95% Conf.Int,500
Total,N - Administrative and support service activities,2000,Number (main and second job),3400
Total,N - Administrative and support service activities,2000,95% Conf.Int,600
Total,N - Administrative and support service activities,2001,Number (main and second job),3800
Total,N - Administrative and support service activities,2001,95% Conf.Int,600
Total,N - Administrative and support service activities,2002,Number (main and second job),3700
Total,N - Administrative and support service activities,2002,95% Conf.Int,600
Total,N - Administrative and support service activities,2003,Number (main and second job),4800
Total,N - Administrative and support service activities,2003,95% Conf.Int,500
Total,N - Administrative and support service activities,2004,Number (main and second job),5600
Total,N - Administrative and support service activities,2004,95% Conf.Int,600
Total,N - Administrative and support service activities,2005,Number (main and second job),5100
Total,N - Administrative and support service activities,2005,95% Conf.Int,600
Total,N - Administrative and support service activities,2006,Number (main and second job),5600
Total,N - Administrative and support service activities,2006,95% Conf.Int,600
Total,N - Administrative and support service activities,2007,Number (main and second job),5600
Total,N - Administrative and support service activities,2007,95% Conf.Int,600
Total,N - Administrative and support service activities,2008,Number (main and second job),4900
Total,N - Administrative and support service activities,2008,95% Conf.Int,600
Total,N - Administrative and support service activities,2009,Number (main and second job),4600
Total,N - Administrative and support service activities,2009,95% Conf.Int,600
Total,N - Administrative and support service activities,2010,Number (main and second job),4700
Total,N - Administrative and support service activities,2010,95% Conf.Int,600
Total,N - Administrative and support service activities,2011,Number (main and second job),5100
Total,N - Administrative and support service activities,2011,95% Conf.Int,600
Total,N - Administrative and support service activities,2012,Number (main and second job),6000
Total,N - Administrative and support service activities,2012,95% Conf.Int,700
Total,N - Administrative and support service activities,2013,Number (main and second job),6200
Total,N - Administrative and support service activities,2013,95% Conf.Int,700
Total,N - Administrative and support service activities,2014,Number (main and second job),7400
Total,N - Administrative and support service activities,2014,95% Conf.Int,800
Total,N - Administrative and support service activities,2015,Number (main and second job),6900
Total,N - Administrative and support service activities,2015,95% Conf.Int,800
Total,N - Administrative and support service activities,2016,Number (main and second job),8000
Total,N - Administrative and support service activities,2016,95% Conf.Int,900
Total,N - Administrative and support service activities,2017,Number (main and second job),8800
Total,N - Administrative and support service activities,2017,95% Conf.Int,1000
Total,N - Administrative and support service activities,2018,Number (main and second job),8800
Total,N - Administrative and support service activities,2018,95% Conf.Int,900
Total,N - Administrative and support service activities,2019,Number (main and second job),8000
Total,N - Administrative and support service activities,2019,95% Conf.Int,900
Total,N - Administrative and support service activities,2020,Number (main and second job),6200
Total,N - Administrative and support service activities,2020,95% Conf.Int,800
Total,N - Administrative and support service activities,2021,Number (main and second job),6200
Total,N - Administrative and support service activities,2021,95% Conf.Int,800
Total,N - Administrative and support service activities,2022,Number (main and second job),7500
Total,N - Administrative and support service activities,2022,95% Conf.Int,900
Total,N - Administrative and support service activities,2023,Number (main and second job),9200
Total,N - Administrative and support service activities,2023,95% Conf.Int,1200
Total,N - Administrative and support service activities,2024,Number (main and second job),8700
Total,N - Administrative and support service activities,2024,95% Conf.Int,1100
Total,N - Administrative and support service activities,2025,Number (main and second job),10600
Total,N - Administrative and support service activities,2025,95% Conf.Int,1300
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",1991,Number (main and second job),400
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",1991,95% Conf.Int,200
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",1992,Number (main and second job),400
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",1992,95% Conf.Int,200
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",1993,Number (main and second job),400
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",1993,95% Conf.Int,200
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",1994,Number (main and second job),400
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",1994,95% Conf.Int,200
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",1995,Number (main and second job),400
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",1995,95% Conf.Int,200
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",1996,Number (main and second job),400
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",1996,95% Conf.Int,200
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",1997,Number (main and second job),500
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",1997,95% Conf.Int,200
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",1998,Number (main and second job),600
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",1998,95% Conf.Int,200
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",1999,Number (main and second job),500
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",1999,95% Conf.Int,200
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",2000,Number (main and second job),400
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",2000,95% Conf.Int,200
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",2001,Number (main and second job),700
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",2001,95% Conf.Int,300
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",2002,Number (main and second job),400
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",2002,95% Conf.Int,200
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",2003,Number (main and second job),1200
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",2003,95% Conf.Int,300
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",2004,Number (main and second job),1200
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",2004,95% Conf.Int,300
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",2005,Number (main and second job),800
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",2005,95% Conf.Int,200
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",2006,Number (main and second job),1000
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",2006,95% Conf.Int,300
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",2007,Number (main and second job),1000
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",2007,95% Conf.Int,300
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",2008,Number (main and second job),800
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",2008,95% Conf.Int,200
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",2009,Number (main and second job),900
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",2009,95% Conf.Int,300
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",2010,Number (main and second job),1000
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",2010,95% Conf.Int,300
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",2011,Number (main and second job),1100
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",2011,95% Conf.Int,300
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",2012,Number (main and second job),1500
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",2012,95% Conf.Int,300
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",2013,Number (main and second job),1200
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",2013,95% Conf.Int,300
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",2014,Number (main and second job),2000
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",2014,95% Conf.Int,400
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",2015,Number (main and second job),2200
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",2015,95% Conf.Int,400
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",2016,Number (main and second job),3100
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",2016,95% Conf.Int,500
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",2017,Number (main and second job),3800
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",2017,95% Conf.Int,600
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",2018,Number (main and second job),3400
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",2018,95% Conf.Int,600
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",2019,Number (main and second job),2900
Total,"N:79 - Travel agency, tour operator and other reservation service and related activities",2019,95% Conf.Int,500
