Kyn og landsvæði,Atvinnigrein (aðal- og aukastarf),Ár,Eining,value
Total,A:3 - Fishing and aquaculture,2025,95% Conf.Int,700
Total,B-C - Manufacturing and Mining and quarrying,1991,Number (main and second job),22300
Total,B-C - Manufacturing and Mining and quarrying,1991,95% Conf.Int,1500
Total,B-C - Manufacturing and Mining and quarrying,1992,Number (main and second job),20800
Total,B-C - Manufacturing and Mining and quarrying,1992,95% Conf.Int,1400
Total,B-C - Manufacturing and Mining and quarrying,1993,Number (main and second job),21900
Total,B-C - Manufacturing and Mining and quarrying,1993,95% Conf.Int,1400
Total,B-C - Manufacturing and Mining and quarrying,1994,Number (main and second job),23400
Total,B-C - Manufacturing and Mining and quarrying,1994,95% Conf.Int,1400
Total,B-C - Manufacturing and Mining and quarrying,1995,Number (main and second job),22400
Total,B-C - Manufacturing and Mining and quarrying,1995,95% Conf.Int,1400
Total,B-C - Manufacturing and Mining and quarrying,1996,Number (main and second job),22300
Total,B-C - Manufacturing and Mining and quarrying,1996,95% Conf.Int,1400
Total,B-C - Manufacturing and Mining and quarrying,1997,Number (main and second job),23500
Total,B-C - Manufacturing and Mining and quarrying,1997,95% Conf.Int,1500
Total,B-C - Manufacturing and Mining and quarrying,1998,Number (main and second job),23100
Total,B-C - Manufacturing and Mining and quarrying,1998,95% Conf.Int,1500
Total,B-C - Manufacturing and Mining and quarrying,1999,Number (main and second job),21700
Total,B-C - Manufacturing and Mining and quarrying,1999,95% Conf.Int,1400
Total,B-C - Manufacturing and Mining and quarrying,2000,Number (main and second job),21900
Total,B-C - Manufacturing and Mining and quarrying,2000,95% Conf.Int,1500
Total,B-C - Manufacturing and Mining and quarrying,2001,Number (main and second job),21300
Total,B-C - Manufacturing and Mining and quarrying,2001,95% Conf.Int,1500
Total,B-C - Manufacturing and Mining and quarrying,2002,Number (main and second job),20900
Total,B-C - Manufacturing and Mining and quarrying,2002,95% Conf.Int,1500
Total,B-C - Manufacturing and Mining and quarrying,2003,Number (main and second job),21300
Total,B-C - Manufacturing and Mining and quarrying,2003,95% Conf.Int,1100
Total,B-C - Manufacturing and Mining and quarrying,2004,Number (main and second job),21300
Total,B-C - Manufacturing and Mining and quarrying,2004,95% Conf.Int,1200
Total,B-C - Manufacturing and Mining and quarrying,2005,Number (main and second job),20700
Total,B-C - Manufacturing and Mining and quarrying,2005,95% Conf.Int,1200
Total,B-C - Manufacturing and Mining and quarrying,2006,Number (main and second job),19200
Total,B-C - Manufacturing and Mining and quarrying,2006,95% Conf.Int,1100
Total,B-C - Manufacturing and Mining and quarrying,2007,Number (main and second job),18900
Total,B-C - Manufacturing and Mining and quarrying,2007,95% Conf.Int,1200
Total,B-C - Manufacturing and Mining and quarrying,2008,Number (main and second job),19400
Total,B-C - Manufacturing and Mining and quarrying,2008,95% Conf.Int,1200
Total,B-C - Manufacturing and Mining and quarrying,2009,Number (main and second job),18800
Total,B-C - Manufacturing and Mining and quarrying,2009,95% Conf.Int,1200
Total,B-C - Manufacturing and Mining and quarrying,2010,Number (main and second job),17800
Total,B-C - Manufacturing and Mining and quarrying,2010,95% Conf.Int,1100
Total,B-C - Manufacturing and Mining and quarrying,2011,Number (main and second job),18900
Total,B-C - Manufacturing and Mining and quarrying,2011,95% Conf.Int,1200
Total,B-C - Manufacturing and Mining and quarrying,2012,Number (main and second job),20800
Total,B-C - Manufacturing and Mining and quarrying,2012,95% Conf.Int,1200
Total,B-C - Manufacturing and Mining and quarrying,2013,Number (main and second job),21400
Total,B-C - Manufacturing and Mining and quarrying,2013,95% Conf.Int,1300
Total,B-C - Manufacturing and Mining and quarrying,2014,Number (main and second job),21600
Total,B-C - Manufacturing and Mining and quarrying,2014,95% Conf.Int,1300
Total,B-C - Manufacturing and Mining and quarrying,2015,Number (main and second job),20600
Total,B-C - Manufacturing and Mining and quarrying,2015,95% Conf.Int,1300
Total,B-C - Manufacturing and Mining and quarrying,2016,Number (main and second job),20500
Total,B-C - Manufacturing and Mining and quarrying,2016,95% Conf.Int,1400
Total,B-C - Manufacturing and Mining and quarrying,2017,Number (main and second job),19500
Total,B-C - Manufacturing and Mining and quarrying,2017,95% Conf.Int,1400
Total,B-C - Manufacturing and Mining and quarrying,2018,Number (main and second job),18800
Total,B-C - Manufacturing and Mining and quarrying,2018,95% Conf.Int,1300
Total,B-C - Manufacturing and Mining and quarrying,2019,Number (main and second job),19500
Total,B-C - Manufacturing and Mining and quarrying,2019,95% Conf.Int,1400
Total,B-C - Manufacturing and Mining and quarrying,2020,Number (main and second job),19100
Total,B-C - Manufacturing and Mining and quarrying,2020,95% Conf.Int,1300
Total,B-C - Manufacturing and Mining and quarrying,2021,Number (main and second job),18500
Total,B-C - Manufacturing and Mining and quarrying,2021,95% Conf.Int,1300
Total,B-C - Manufacturing and Mining and quarrying,2022,Number (main and second job),17800
Total,B-C - Manufacturing and Mining and quarrying,2022,95% Conf.Int,1400
Total,B-C - Manufacturing and Mining and quarrying,2023,Number (main and second job),19100
Total,B-C - Manufacturing and Mining and quarrying,2023,95% Conf.Int,1600
Total,B-C - Manufacturing and Mining and quarrying,2024,Number (main and second job),20800
Total,B-C - Manufacturing and Mining and quarrying,2024,95% Conf.Int,1700
Total,B-C - Manufacturing and Mining and quarrying,2025,Number (main and second job),20800
Total,B-C - Manufacturing and Mining and quarrying,2025,95% Conf.Int,1700
Total,B - Mining and quarrying,1991,Number (main and second job),100
Total,B - Mining and quarrying,1991,95% Conf.Int,100
Total,B - Mining and quarrying,1992,Number (main and second job),200
Total,B - Mining and quarrying,1992,95% Conf.Int,100
Total,B - Mining and quarrying,1993,Number (main and second job),0
Total,B - Mining and quarrying,1993,95% Conf.Int,100
Total,B - Mining and quarrying,1994,Number (main and second job),0
Total,B - Mining and quarrying,1994,95% Conf.Int,100
Total,B - Mining and quarrying,1995,Number (main and second job),0
Total,B - Mining and quarrying,1995,95% Conf.Int,100
Total,B - Mining and quarrying,1996,Number (main and second job),100
Total,B - Mining and quarrying,1996,95% Conf.Int,100
Total,B - Mining and quarrying,1997,Number (main and second job),100
Total,B - Mining and quarrying,1997,95% Conf.Int,100
Total,B - Mining and quarrying,1998,Number (main and second job),100
Total,B - Mining and quarrying,1998,95% Conf.Int,100
Total,B - Mining and quarrying,1999,Number (main and second job),300
Total,B - Mining and quarrying,1999,95% Conf.Int,200
Total,B - Mining and quarrying,2000,Number (main and second job),300
Total,B - Mining and quarrying,2000,95% Conf.Int,200
Total,B - Mining and quarrying,2001,Number (main and second job),300
Total,B - Mining and quarrying,2001,95% Conf.Int,200
Total,B - Mining and quarrying,2002,Number (main and second job),300
Total,B - Mining and quarrying,2002,95% Conf.Int,200
Total,B - Mining and quarrying,2003,Number (main and second job),200
Total,B - Mining and quarrying,2003,95% Conf.Int,100
Total,B - Mining and quarrying,2004,Number (main and second job),100
Total,B - Mining and quarrying,2004,95% Conf.Int,100
Total,B - Mining and quarrying,2005,Number (main and second job),0
Total,B - Mining and quarrying,2005,95% Conf.Int,0
Total,B - Mining and quarrying,2006,Number (main and second job),100
Total,B - Mining and quarrying,2006,95% Conf.Int,100
Total,B - Mining and quarrying,2007,Number (main and second job),100
Total,B - Mining and quarrying,2007,95% Conf.Int,100
Total,B - Mining and quarrying,2008,Number (main and second job),100
Total,B - Mining and quarrying,2008,95% Conf.Int,100
Total,B - Mining and quarrying,2009,Number (main and second job),100
Total,B - Mining and quarrying,2009,95% Conf.Int,100
Total,B - Mining and quarrying,2010,Number (main and second job),200
Total,B - Mining and quarrying,2010,95% Conf.Int,100
Total,B - Mining and quarrying,2011,Number (main and second job),0
Total,B - Mining and quarrying,2011,95% Conf.Int,0
Total,B - Mining and quarrying,2012,Number (main and second job),0
Total,B - Mining and quarrying,2012,95% Conf.Int,100
Total,B - Mining and quarrying,2013,Number (main and second job),100
Total,B - Mining and quarrying,2013,95% Conf.Int,100
Total,B - Mining and quarrying,2014,Number (main and second job),200
Total,B - Mining and quarrying,2014,95% Conf.Int,100
Total,B - Mining and quarrying,2015,Number (main and second job),200
Total,B - Mining and quarrying,2015,95% Conf.Int,100
Total,B - Mining and quarrying,2016,Number (main and second job),0
Total,B - Mining and quarrying,2016,95% Conf.Int,0
Total,B - Mining and quarrying,2017,Number (main and second job),0
Total,B - Mining and quarrying,2017,95% Conf.Int,100
Total,B - Mining and quarrying,2018,Number (main and second job),100
Total,B - Mining and quarrying,2018,95% Conf.Int,100
Total,B - Mining and quarrying,2019,Number (main and second job),200
Total,B - Mining and quarrying,2019,95% Conf.Int,100
Total,B - Mining and quarrying,2020,Number (main and second job),100
Total,B - Mining and quarrying,2020,95% Conf.Int,100
Total,B - Mining and quarrying,2021,Number (main and second job),100
Total,B - Mining and quarrying,2021,95% Conf.Int,100
Total,B - Mining and quarrying,2022,Number (main and second job),100
Total,B - Mining and quarrying,2022,95% Conf.Int,100
Total,B - Mining and quarrying,2023,Number (main and second job),100
Total,B - Mining and quarrying,2023,95% Conf.Int,100
Total,B - Mining and quarrying,2024,Number (main and second job),200
Total,B - Mining and quarrying,2024,95% Conf.Int,200
Total,B - Mining and quarrying,2025,Number (main and second job),100
Total,B - Mining and quarrying,2025,95% Conf.Int,100
Total,C - Manufacturing,1991,Number (main and second job),22200
Total,C - Manufacturing,1991,95% Conf.Int,1500
Total,C - Manufacturing,1992,Number (main and second job),20700
Total,C - Manufacturing,1992,95% Conf.Int,1400
Total,C - Manufacturing,1993,Number (main and second job),21900
Total,C - Manufacturing,1993,95% Conf.Int,1400
Total,C - Manufacturing,1994,Number (main and second job),23300
Total,C - Manufacturing,1994,95% Conf.Int,1400
Total,C - Manufacturing,1995,Number (main and second job),22400
Total,C - Manufacturing,1995,95% Conf.Int,1400
Total,C - Manufacturing,1996,Number (main and second job),22300
